source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362,0.0000000000,read,real,scaling,value,N/A
Cu2Ag2O3_4362_POSCAR,4.0415552514,15.2543,5.4025,174.9969,10.3708,-3.7926261816970E-01
Cu2Ag2O3_4362_POSCAR,4.5804292849,10.2204,4.2663,174.9969,10.3708,-2.6407096793939E-01
Cu2Ag2O3_4362_POSCAR,4.8498663016,8.0473,4.0239,174.9969,10.3708,-2.2903448258367E-01
Cu2Ag2O3_4362_POSCAR,4.3109922681,12.7245,4.6282,174.9969,10.3708,-3.1293577677186E-01
Cu2Ag2O3_4362_POSCAR,5.3887403352,4.9057,3.2552,174.9969,10.3708,-1.8362470069584E-01
Cu2Ag2O3_4362_POSCAR,5.1193033184,6.3026,3.7281,174.9969,10.3708,-2.0396035454370E-01
Cu2Ag2O3_4362_POSCAR,5.6581773519,3.7190,2.5793,174.9969,10.3712,-1.6475425456942E-01
Cu2Ag2O3_4362_POSCAR,5.9276143687,2.6715,1.8296,174.9969,10.5136,-1.4620830009353E-01
Cu2Ag2O3_4362_POSCAR,6.4664884022,1.1528,0.7343,175.7163,13.1435,-1.1352513724973E-01
Cu2Ag2O3_4362_POSCAR,6.1970513854,1.7996,1.1876,175.0020,12.6118,-1.2875798312620E-01
Cu2Ag2O3_4362_POSCAR,7.0053624357,0.4504,0.2762,255.9817,15.0852,-1.1328813134023E-01
Cu2Ag2O3_4362_POSCAR,6.7359254189,0.7209,0.4483,192.7397,14.3729,-1.0859797906624E-01
Cu2Ag2O3_4362_POSCAR,7.2747994525,0.2855,0.1737,301.7097,15.3017,-1.0666002432807E-01
Cu2Ag2O3_4362_POSCAR,7.5442364692,0.1849,0.1121,318.6360,15.3770,-9.4192759229967E-02
Cu2Ag2O3_4362_POSCAR,7.8136734860,0.1228,0.0743,325.1520,15.4092,-8.1753198572478E-02
Cu2Ag2O3_4362_POSCAR,8.0831105027,0.0836,0.0505,328.1035,15.4253,-7.0671518382307E-02
Cu2Ag2O3_4362_POSCAR,8.6219845363,0.0417,0.0251,330.4984,15.4397,-5.2902094723909E-02
Cu2Ag2O3_4362_POSCAR,8.3525475195,0.0584,0.0352,329.6288,15.4343,-6.1089686765299E-02
Cu2Ag2O3_4362_POSCAR,8.8914215530,0.0304,0.0183,331.0299,15.4431,-4.5925856793026E-02
Cu2Ag2O3_4362_POSCAR,9.1608585698,0.0226,0.0136,331.3743,15.4454,-3.9952793508323E-02
Cu2Ag2O3_4362_POSCAR,9.4302955865,0.0171,0.0103,331.6057,15.4469,-3.4795441470752E-02
Cu2Ag2O3_4362_POSCAR,9.6997326033,0.0132,0.0079,331.7653,15.4480,-3.0316824474037E-02
Cu2Ag2O3_4362_POSCAR,9.9691696200,0.0103,0.0062,331.8800,15.4488,-2.6418913036729E-02
Cu2Ag2O3_4362_POSCAR,10.2386066368,0.0082,0.0049,331.9632,15.4493,-2.3043805303039E-02
Cu2Ag2O3_4362_POSCAR,10.5080436536,0.0066,0.0039,332.0252,15.4497,-2.0135814133009E-02
Cu2Ag2O3_4362_POSCAR,10.7774806703,0.0053,0.0032,332.0732,15.4501,-1.7636967758741E-02
Cu2Ag2O3_4362_POSCAR,11.0469176871,0.0044,0.0026,332.1086,15.4503,-1.5490051667046E-02
Cu2Ag2O3_4362_POSCAR,11.3163547038,0.0036,0.0022,332.1366,15.4505,-1.3635133244065E-02
Cu2Ag2O3_4362_POSCAR,11.5857917206,0.0031,0.0018,332.1584,15.4507,-1.2023715324477E-02
Cu2Ag2O3_4362_POSCAR,11.8552287373,0.0026,0.0015,332.1760,15.4508,-1.0613228715788E-02
Cu2Ag2O3_4362_POSCAR,12.1246657541,0.0022,0.0013,332.1899,15.4509,-9.3725451963593E-03
Cu2Ag2O3_4362_POSCAR,12.3941027709,0.0019,0.0011,332.2012,15.4509,-8.2780681927320E-03
Cu2Ag2O3_4362_POSCAR,12.6635397876,0.0016,0.0010,332.2116,15.4510,-7.3129111345013E-03
Cu2Ag2O3_4362_POSCAR,12.9329768044,0.0014,0.0008,332.2199,15.4511,-6.4613457424521E-03
Cu2Ag2O3_4362_POSCAR,13.2024138211,0.0012,0.0007,332.2262,15.4511,-5.7127496769172E-03
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
Cu2AgO4_1225882,0.0000000000,read,real,scaling,value,N/A
