source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816,0.0000000000,read,real,scaling,value,N/A
Ag2HgO2_29816_POSCAR,5.6014500420,10.6803,4.0248,268.6130,10.3708,-3.4370778838886E-01
Ag2HgO2_29816_POSCAR,4.6678750350,15.4737,5.5138,268.6130,10.3708,-5.6262764222156E-01
Ag2HgO2_29816_POSCAR,5.2902583730,12.5036,4.2962,268.6130,10.3708,-3.8604415071712E-01
Ag2HgO2_29816_POSCAR,4.9790667040,13.9957,4.7089,268.6130,10.3708,-4.5459571328045E-01
Ag2HgO2_29816_POSCAR,6.8462167180,2.8746,2.3428,268.6130,10.3733,-2.1759912809476E-01
Ag2HgO2_29816_POSCAR,6.5350250490,4.3589,2.8821,268.6130,10.3708,-2.4811231767795E-01
Ag2HgO2_29816_POSCAR,6.2238333800,6.2974,3.3586,268.6130,10.3708,-2.8046238619013E-01
Ag2HgO2_29816_POSCAR,5.9126417110,8.5224,3.7373,268.6130,10.3708,-3.1181065567750E-01
Ag2HgO2_29816_POSCAR,7.1574083870,1.8265,1.8018,268.6169,10.5466,-1.9132710086127E-01
Ag2HgO2_29816_POSCAR,7.7797917250,0.6998,0.9205,289.7710,12.8725,-1.5664743383871E-01
Ag2HgO2_29816_POSCAR,8.0909833940,0.4367,0.6187,354.9669,13.5182,-1.5807874156238E-01
Ag2HgO2_29816_POSCAR,7.4686000560,1.1335,1.3176,269.4532,12.2978,-1.7134615500037E-01
Ag2HgO2_29816_POSCAR,8.4021750630,0.2781,0.4057,395.9651,14.5872,-1.5047722606570E-01
Ag2HgO2_29816_POSCAR,8.7133667320,0.1817,0.2639,410.5326,15.1189,-1.3360406600449E-01
Ag2HgO2_29816_POSCAR,9.0245584010,0.1218,0.1726,416.1563,15.3035,-1.1711366774372E-01
Ag2HgO2_29816_POSCAR,9.3357500700,0.0837,0.1145,418.7247,15.3746,-1.0214806649851E-01
Ag2HgO2_29816_POSCAR,9.9581334080,0.0425,0.0534,420.8361,15.4236,-7.6414323657313E-02
Ag2HgO2_29816_POSCAR,9.6469417390,0.0590,0.0774,420.0644,15.4069,-8.8608187468712E-02
