source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635,0.0000000000,read,real,scaling,value,N/A
Ag2HgS2_9635_POSCAR,6.3841176000,12.2294,8.5183,268.6130,125.8109,-2.5344622083696E-01
Ag2HgS2_9635_POSCAR,5.9851102500,15.1907,10.2973,268.6130,125.8109,-3.0317694208144E-01
Ag2HgS2_9635_POSCAR,6.7831249500,9.6435,7.1524,268.6130,125.8109,-2.1970830413309E-01
Ag2HgS2_9635_POSCAR,7.1821323000,7.6576,6.0033,268.6130,125.8109,-1.9368300899326E-01
Ag2HgS2_9635_POSCAR,7.9801470000,4.7957,4.2480,268.6130,125.8109,-1.5262862799037E-01
Ag2HgS2_9635_POSCAR,8.3791543500,3.5623,3.5082,268.6130,125.8109,-1.3595394001269E-01
Ag2HgS2_9635_POSCAR,7.5811396500,6.1308,5.0481,268.6130,125.8109,-1.7152173310928E-01
Ag2HgS2_9635_POSCAR,8.7781617000,2.4846,2.7867,268.6130,125.8111,-1.2003525949147E-01
Ag2HgS2_9635_POSCAR,9.1771690500,1.6351,2.1235,268.6304,125.8444,-1.0480048252852E-01
Ag2HgS2_9635_POSCAR,9.5761764000,1.0337,1.5633,270.4217,127.6795,-9.1820034513984E-02
Ag2HgS2_9635_POSCAR,9.9751837500,0.6430,1.1144,299.2655,130.7734,-8.4604896278726E-02
Ag2HgS2_9635_POSCAR,10.3741911000,0.4015,0.7682,365.5298,131.2918,-8.2183942768954E-02
Ag2HgS2_9635_POSCAR,10.7731984500,0.2549,0.5149,400.1954,132.3906,-7.8791598722756E-02
Ag2HgS2_9635_POSCAR,11.1722058000,0.1657,0.3400,412.2539,133.3341,-7.0266659823880E-02
Ag2HgS2_9635_POSCAR,11.5712131500,0.1104,0.2244,416.9912,133.6971,-6.1510315615306E-02
Ag2HgS2_9635_POSCAR,11.9702205000,0.0755,0.1496,419.1934,133.8278,-5.3221698203974E-02
Ag2HgS2_9635_POSCAR,12.7682352000,0.0379,0.0699,421.0339,133.9090,-3.9148799664275E-02
Ag2HgS2_9635_POSCAR,12.3692278500,0.0529,0.1013,420.3587,133.8825,-4.5717618374989E-02
Ag2HgS2_9635_POSCAR,13.1672425500,0.0278,0.0492,421.4521,133.9234,-3.3522137195959E-02
Ag2HgS2_9635_POSCAR,13.5662499000,0.0207,0.0354,421.7239,133.9319,-2.8748512076944E-02
Ag2HgS2_9635_POSCAR,13.9652572500,0.0157,0.0259,421.9087,133.9372,-2.4696250916403E-02
Ag2HgS2_9635_POSCAR,14.3642646000,0.0121,0.0193,422.0373,133.9406,-2.1239235129186E-02
Ag2HgS2_9635_POSCAR,14.7632719500,0.0095,0.0146,422.1292,133.9430,-1.8273736658408E-02
