source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284,0.0000000000,read,real,scaling,value,N/A
Nb13AgO33_1210284_POSCAR,3.4627694399,12.1245,2.0830,428.8962,10.3908,-3.6090922032333E-01
Nb13AgO33_1210284_POSCAR,3.0780172800,15.6221,2.2966,428.8962,10.3745,-5.2349459709359E-01
Nb13AgO33_1210284_POSCAR,2.8856412000,18.2701,2.6306,428.8962,10.3711,-6.2127621627489E-01
Nb13AgO33_1210284_POSCAR,3.2703933600,13.8006,2.1517,428.8962,10.3824,-4.3494499349084E-01
Nb13AgO33_1210284_POSCAR,3.6551455199,10.4437,2.0456,428.8962,10.3976,-3.0439195863804E-01
Nb13AgO33_1210284_POSCAR,3.8475215999,8.8276,2.0187,428.8962,10.4039,-2.6173925460055E-01
Nb13AgO33_1210284_POSCAR,4.0398976799,7.3793,1.9875,428.8962,10.4132,-2.2811370826295E-01
Nb13AgO33_1210284_POSCAR,4.2322737599,6.1622,1.9358,428.8962,10.4342,-2.0044141866153E-01
Nb13AgO33_1210284_POSCAR,4.4246498399,5.1643,1.8444,428.8962,10.4986,-1.7770603314109E-01
Nb13AgO33_1210284_POSCAR,5.0017780799,2.9010,1.2463,432.5490,12.4968,-1.2441338545050E-01
Nb13AgO33_1210284_POSCAR,4.6170259199,4.3262,1.6968,428.8963,10.7420,-1.5688260098254E-01
Nb13AgO33_1210284_POSCAR,4.8094019999,3.5828,1.4914,428.9153,11.5440,-1.3984213123764E-01
Nb13AgO33_1210284_POSCAR,5.1941541599,2.2785,0.9893,543.5092,12.8180,-1.2503018217383E-01
Nb13AgO33_1210284_POSCAR,5.3865302399,1.7262,0.7465,579.9114,13.1156,-1.1614467651155E-01
Nb13AgO33_1210284_POSCAR,5.5789063199,1.2600,0.5385,588.3248,13.8953,-1.0937560295055E-01
Nb13AgO33_1210284_POSCAR,5.7712823999,0.8917,0.3759,1249.1279,14.7248,-1.6521497294258E-01
Nb13AgO33_1210284_POSCAR,6.1560345599,0.4264,0.1758,1475.0433,15.2986,-1.4438028546850E-01
Nb13AgO33_1210284_POSCAR,5.9636584799,0.6188,0.2577,1471.0767,15.1349,-1.5720711950996E-01
Nb13AgO33_1210284_POSCAR,6.3484106399,0.2946,0.1205,1475.2237,15.3685,-1.3312873807941E-01
Nb13AgO33_1210284_POSCAR,6.5407867199,0.2054,0.0835,1475.2435,15.4021,-1.2280409265598E-01
Nb13AgO33_1210284_POSCAR,6.7331627999,0.1451,0.0587,1475.2475,15.4201,-1.1290521585474E-01
Nb13AgO33_1210284_POSCAR,6.9255388799,0.1041,0.0419,1475.2487,15.4305,-1.0323889715333E-01
Nb13AgO33_1210284_POSCAR,7.1179149599,0.0758,0.0304,1475.2491,15.4369,-9.3854210245802E-02
Nb13AgO33_1210284_POSCAR,7.3102910399,0.0561,0.0224,1475.2494,15.4411,-8.4909940808050E-02
Nb13AgO33_1210284_POSCAR,7.6950431999,0.0322,0.0127,1475.2496,15.4458,-6.8896849737594E-02
Nb13AgO33_1210284_POSCAR,7.5026671199,0.0422,0.0168,1475.2495,15.4439,-7.6555684725248E-02
Nb13AgO33_1210284_POSCAR,7.8874192799,0.0248,0.0098,1475.2496,15.4471,-6.1967113169353E-02
Nb13AgO33_1210284_POSCAR,8.0797953599,0.0194,0.0076,1475.2496,15.4481,-5.5737705129955E-02
Nb13AgO33_1210284_POSCAR,8.2721714399,0.0154,0.0060,1475.2497,15.4488,-5.0139146355808E-02
Nb13AgO33_1210284_POSCAR,8.4645475199,0.0123,0.0048,1475.2497,15.4494,-4.5093623404403E-02
Nb13AgO33_1210284_POSCAR,8.6569235999,0.0100,0.0039,1475.2497,15.4498,-4.0529826203629E-02
Nb13AgO33_1210284_POSCAR,8.8492996799,0.0082,0.0031,1475.2497,15.4501,-3.6392224311735E-02
Nb13AgO33_1210284_POSCAR,9.0416757599,0.0067,0.0026,1475.2497,15.4503,-3.2634483541988E-02
Nb13AgO33_1210284_POSCAR,9.2340518399,0.0056,0.0021,1475.2497,15.4505,-2.9223204711150E-02
Nb13AgO33_1210284_POSCAR,9.4264279199,0.0047,0.0018,1475.2497,15.4507,-2.6134929102666E-02
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596,0.0000000000,read,real,scaling,value,N/A
Nb14AgO36_1210596_POSCAR,3.1934888546,11.0277,4.1051,428.8962,10.3708,-4.6375912274998E-01
Nb14AgO36_1210596_POSCAR,3.0056365690,12.3834,4.2757,428.8962,10.3708,-5.5799186694993E-01
Nb14AgO36_1210596_POSCAR,3.3813411401,9.5501,3.9572,428.8962,10.3708,-3.8430096216498E-01
Nb14AgO36_1210596_POSCAR,2.8177842834,13.9441,4.6067,428.8962,10.3708,-6.6111963943307E-01
Nb14AgO36_1210596_POSCAR,3.5691934257,8.1877,3.7434,428.8962,10.3708,-3.2356177101886E-01
Nb14AgO36_1210596_POSCAR,3.7570457112,7.1789,3.4139,428.8962,10.3708,-2.7794617418813E-01
Nb14AgO36_1210596_POSCAR,3.9448979968,6.4734,2.9968,428.8962,10.3708,-2.4217969735336E-01
Nb14AgO36_1210596_POSCAR,4.1327502824,5.8904,2.5739,428.8962,10.3712,-2.1228920401193E-01
Nb14AgO36_1210596_POSCAR,4.6963071390,3.8410,1.4315,428.8988,11.8336,-1.4824745679634E-01
Nb14AgO36_1210596_POSCAR,4.3206025679,5.2857,2.1860,428.8962,10.3796,-1.8736480237919E-01
Nb14AgO36_1210596_POSCAR,4.5084548535,4.6013,1.8124,428.8962,10.5332,-1.6615961794788E-01
Nb14AgO36_1210596_POSCAR,4.8841594246,3.0414,1.0616,430.1470,12.7608,-1.3240159189853E-01
Nb14AgO36_1210596_POSCAR,5.0720117102,2.2722,0.7432,544.8709,13.1230,-1.3353945594818E-01
Nb14AgO36_1210596_POSCAR,5.2598639957,1.6119,0.5007,580.3345,14.0943,-1.2285722838404E-01
Nb14AgO36_1210596_POSCAR,5.4477162813,1.1038,0.3316,663.2106,14.9046,-1.1672279029451E-01
Nb14AgO36_1210596_POSCAR,5.6355685669,0.7432,0.2195,1446.8361,15.2217,-1.7366959094643E-01
Nb14AgO36_1210596_POSCAR,6.0112731380,0.3382,0.0996,1475.1979,15.3886,-1.5056486271019E-01
