source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696,0.0000000000,read,real,scaling,value,N/A
Nb2AgS4_1220696_POSCAR,2.7180839120,15.2889,9.4756,428.8962,125.8109,-1.6141922992786E-01
Nb2AgS4_1220696_POSCAR,3.0578444010,12.8503,5.7072,428.8962,125.8109,-1.1189986198256E-01
Nb2AgS4_1220696_POSCAR,2.8879641565,13.8820,7.1458,428.8962,125.8109,-1.3423935359139E-01
Nb2AgS4_1220696_POSCAR,2.5482036675,17.7672,12.7176,428.8962,125.8109,-1.9643418849493E-01
Nb2AgS4_1220696_POSCAR,3.2277246455,11.7034,4.8880,428.8962,125.8109,-9.3473749855527E-02
Nb2AgS4_1220696_POSCAR,3.3976048900,10.2795,4.4075,428.8962,125.8109,-7.9005258333719E-02
Nb2AgS4_1220696_POSCAR,3.5674851345,8.7334,4.0505,428.8962,125.8109,-6.8153456741638E-02
Nb2AgS4_1220696_POSCAR,3.7373653790,7.2781,3.6630,428.8962,125.8109,-5.9905577209049E-02
Nb2AgS4_1220696_POSCAR,4.0771258680,4.6432,2.5203,428.8962,125.8123,-4.8054059583824E-02
Nb2AgS4_1220696_POSCAR,3.9072456235,5.9380,3.1530,428.8962,125.8109,-5.3348256131780E-02
Nb2AgS4_1220696_POSCAR,4.2470061125,3.4164,1.8578,428.9653,126.0764,-4.4223136302860E-02
Nb2AgS4_1220696_POSCAR,4.4168863570,2.3690,1.2806,520.6520,130.1866,-4.5430356534122E-02
Nb2AgS4_1220696_POSCAR,4.7566468460,1.0305,0.5506,800.1477,132.1807,-4.6929215060858E-02
Nb2AgS4_1220696_POSCAR,4.5867666015,1.5769,0.8467,580.4240,131.1417,-4.4938241327000E-02
Nb2AgS4_1220696_POSCAR,4.9265270905,0.6731,0.3586,1465.5612,133.2538,-5.8288558281559E-02
Nb2AgS4_1220696_POSCAR,5.0964073350,0.4443,0.2363,1474.9764,133.6697,-5.4083310106222E-02
Nb2AgS4_1220696_POSCAR,5.2662875795,0.2982,0.1585,1475.2221,133.8153,-4.9668870109811E-02
Nb2AgS4_1220696_POSCAR,5.6060480685,0.1424,0.0758,1475.2476,133.9045,-4.0253828511761E-02
Nb2AgS4_1220696_POSCAR,5.7759283130,0.1014,0.0540,1475.2487,133.9203,-3.5558592482422E-02
Nb2AgS4_1220696_POSCAR,5.4361678240,0.2040,0.1085,1475.2436,133.8754,-4.5038944464822E-02
Nb2AgS4_1220696_POSCAR,5.9458085575,0.0736,0.0392,1475.2492,133.9296,-3.1201142026833E-02
Nb2AgS4_1220696_POSCAR,6.1156888020,0.0543,0.0290,1475.2494,133.9355,-2.7323690779261E-02
Nb2AgS4_1220696_POSCAR,6.2855690465,0.0407,0.0218,1475.2495,133.9394,-2.3948699839032E-02
Nb2AgS4_1220696_POSCAR,6.4554492910,0.0311,0.0167,1475.2496,133.9420,-2.1024260721265E-02
Nb2AgS4_1220696_POSCAR,6.6253295355,0.0240,0.0129,1475.2496,133.9439,-1.8474988527781E-02
Nb2AgS4_1220696_POSCAR,6.7952097800,0.0188,0.0101,1475.2496,133.9452,-1.6231120164202E-02
Nb2AgS4_1220696_POSCAR,6.9650900245,0.0149,0.0081,1475.2497,133.9462,-1.4243462970946E-02
Nb2AgS4_1220696_POSCAR,7.1349702690,0.0120,0.0065,1475.2497,133.9469,-1.2480132050451E-02
Nb2AgS4_1220696_POSCAR,7.3048505135,0.0097,0.0053,1475.2497,133.9475,-1.0919499748583E-02
Nb2AgS4_1220696_POSCAR,7.4747307580,0.0079,0.0043,1475.2497,133.9479,-9.5463950906884E-03
Nb2AgS4_1220696_POSCAR,7.6446110025,0.0066,0.0036,1475.2497,133.9482,-8.3433396169818E-03
Nb2AgS4_1220696_POSCAR,7.8144912470,0.0055,0.0030,1475.2497,133.9485,-7.2942505691835E-03
Nb2AgS4_1220696_POSCAR,7.9843714915,0.0046,0.0025,1475.2497,133.9487,-6.3832999576191E-03
Nb2AgS4_1220696_POSCAR,8.1542517360,0.0039,0.0021,1475.2497,133.9489,-5.5942641086786E-03
Nb2AgS4_1220696_POSCAR,8.3241319805,0.0033,0.0018,1475.2497,133.9490,-4.9105142340175E-03
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596,0.0000000000,read,real,scaling,value,N/A
Nb4AgS8_1220596_POSCAR,2.7073647997,15.3582,9.6187,428.8962,125.8109,-2.6771177933381E-01
Nb4AgS8_1220596_POSCAR,2.8765750997,13.9217,7.2365,428.8962,125.8109,-2.1987905946064E-01
Nb4AgS8_1220596_POSCAR,2.5381544997,17.8851,12.8849,428.8962,125.8109,-3.2817250438854E-01
Nb4AgS8_1220596_POSCAR,3.0457853997,12.8851,5.7531,428.8962,125.8109,-1.8241831956911E-01
