source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150,0.0000000000,read,real,scaling,value,N/A
ReAgO2_1209150_POSCAR,4.1364455785,17.8084,5.9030,332.1448,10.3708,-3.8527635089853E-01
ReAgO2_1209150_POSCAR,4.9637346942,10.4696,4.4584,332.1448,10.3708,-2.2044444189568E-01
ReAgO2_1209150_POSCAR,4.4122086171,15.2480,5.3454,332.1448,10.3708,-3.1027831392263E-01
ReAgO2_1209150_POSCAR,4.6879716556,12.7190,4.9402,332.1448,10.3708,-2.5802835521497E-01
ReAgO2_1209150_POSCAR,5.2394977328,8.6781,3.8314,332.1448,10.3708,-1.9215171019636E-01
ReAgO2_1209150_POSCAR,5.7910238099,5.8044,2.5680,446.5732,10.3712,-1.7065359842740E-01
ReAgO2_1209150_POSCAR,5.5152607713,7.1675,3.1623,332.1448,10.3708,-1.7043092498858E-01
ReAgO2_1209150_POSCAR,6.0667868485,4.5712,2.0548,561.4338,10.3957,-1.6925396484723E-01
ReAgO2_1209150_POSCAR,6.3425498870,3.4494,1.5792,561.4338,11.1382,-1.5499183961087E-01
ReAgO2_1209150_POSCAR,6.6183129256,2.4552,1.1389,561.4338,12.6815,-1.4824107116581E-01
ReAgO2_1209150_POSCAR,6.8940759641,1.6521,0.7719,561.4387,13.0633,-1.4706348079693E-01
ReAgO2_1209150_POSCAR,7.1698390027,1.0720,0.5023,581.8167,14.0856,-1.4032282406437E-01
ReAgO2_1209150_POSCAR,7.4456020413,0.6866,0.3218,824.0911,14.9401,-1.4493156733430E-01
ReAgO2_1209150_POSCAR,7.7213650798,0.4420,0.2069,835.9611,15.2462,-1.2728337868341E-01
ReAgO2_1209150_POSCAR,7.9971281184,0.2888,0.1349,836.2907,15.3528,-1.1031930157076E-01
ReAgO2_1209150_POSCAR,8.5486541955,0.1313,0.0610,836.3269,15.4186,-8.3084381707331E-02
