source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770,0.0000000000,read,real,scaling,value,N/A
Ta2AgS4_1217770_POSCAR,2.5357017000,17.2099,13.8101,458.7677,125.8109,-1.9477494577390E-01
Ta2AgS4_1217770_POSCAR,2.7047484800,14.9714,11.0796,458.7677,125.8109,-1.6266517292556E-01
Ta2AgS4_1217770_POSCAR,3.0428420400,12.5517,7.3479,458.7677,125.8109,-1.0666414530163E-01
Ta2AgS4_1217770_POSCAR,2.8737952600,13.6130,8.8894,458.7677,125.8109,-1.3202213132683E-01
Ta2AgS4_1217770_POSCAR,3.3809356000,10.0241,5.2399,458.7677,125.8109,-7.6624099149618E-02
Ta2AgS4_1217770_POSCAR,3.2118888200,11.4012,6.2148,458.7677,125.8109,-8.8812924378539E-02
Ta2AgS4_1217770_POSCAR,3.7190291600,7.1435,3.5822,458.7677,125.8109,-5.9777551488900E-02
Ta2AgS4_1217770_POSCAR,3.5499823800,8.5431,4.3568,458.7677,125.8109,-6.7463818644055E-02
Ta2AgS4_1217770_POSCAR,3.8880759400,5.8389,2.8811,458.7677,125.8110,-5.3138103992131E-02
Ta2AgS4_1217770_POSCAR,4.0571227200,4.5635,2.2110,458.7677,125.8276,-4.8284914498455E-02
Ta2AgS4_1217770_POSCAR,4.2261695000,3.3508,1.5935,458.9151,127.4026,-4.6194439782154E-02
Ta2AgS4_1217770_POSCAR,4.3952162800,2.3178,1.0859,591.7166,130.8270,-4.7094764994545E-02
Ta2AgS4_1217770_POSCAR,4.5642630600,1.5396,0.7147,659.5412,131.4378,-4.4590735485095E-02
Ta2AgS4_1217770_POSCAR,4.7333098400,1.0048,0.4648,831.4171,132.6904,-4.4132836573393E-02
Ta2AgS4_1217770_POSCAR,4.9023566200,0.6558,0.3035,1159.6594,133.4737,-4.6209519790311E-02
