source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795,0.0000000000,read,real,scaling,value,N/A
YAgS2_1096795_POSCAR,3.0558400478,15.6424,5.6765,451.0845,125.8109,-8.8715681168816E-02
YAgS2_1096795_POSCAR,3.2468300508,13.9738,4.8021,451.0845,125.8109,-7.3815874032365E-02
YAgS2_1096795_POSCAR,2.8648500448,18.2779,7.5910,451.0845,125.8109,-1.0620548626335E-01
YAgS2_1096795_POSCAR,3.4378200538,12.6294,4.3973,451.0845,125.8109,-6.1487424690220E-02
YAgS2_1096795_POSCAR,4.0107900628,8.0303,3.8028,451.0845,125.8109,-3.5212789508222E-02
YAgS2_1096795_POSCAR,3.6288100568,11.1700,4.1814,451.0845,125.8109,-5.1007450284319E-02
YAgS2_1096795_POSCAR,4.2017800658,6.5707,3.4676,451.0845,125.8109,-3.0212307559563E-02
YAgS2_1096795_POSCAR,3.8198000598,9.5759,4.0145,451.0845,125.8109,-4.2153387513897E-02
YAgS2_1096795_POSCAR,4.3927700688,5.1453,2.9668,451.0845,125.8109,-2.6686082134042E-02
YAgS2_1096795_POSCAR,4.7747500747,2.6319,1.6972,521.2010,126.6532,-2.3154601824589E-02
YAgS2_1096795_POSCAR,4.5837600718,3.7931,2.3386,451.0934,125.8170,-2.4018746651213E-02
YAgS2_1096795_POSCAR,4.9657400777,1.7456,1.1548,1126.9647,130.6802,-2.8824187938286E-02
YAgS2_1096795_POSCAR,5.5387100867,0.4757,0.3179,2364.9730,133.4217,-2.9126712162563E-02
YAgS2_1096795_POSCAR,5.1567300807,1.1310,0.7567,1197.8951,131.3196,-2.7299161843114E-02
YAgS2_1096795_POSCAR,5.3477200837,0.7300,0.4895,2322.1048,132.5430,-3.2445903328435E-02
YAgS2_1096795_POSCAR,5.7297000897,0.3151,0.2092,2365.8139,133.7291,-2.5991545512129E-02
YAgS2_1096795_POSCAR,6.1116800957,0.1470,0.0959,2365.8865,133.8874,-2.0568771875122E-02
YAgS2_1096795_POSCAR,5.9206900927,0.2129,0.1402,2365.8761,133.8398,-2.3179536861897E-02
YAgS2_1096795_POSCAR,6.3026700987,0.1036,0.0670,2365.8894,133.9112,-1.8114926429737E-02
YAgS2_1096795_POSCAR,6.4936601016,0.0745,0.0477,2365.8905,133.9244,-1.5839419279480E-02
YAgS2_1096795_POSCAR,6.6846501046,0.0545,0.0346,2365.8911,133.9323,-1.3784700933635E-02
YAgS2_1096795_POSCAR,7.0666301106,0.0308,0.0192,2365.8915,133.9407,-1.0411597482674E-02
YAgS2_1096795_POSCAR,7.2576201136,0.0237,0.0147,2365.8916,133.9430,-9.0672582242944E-03
YAgS2_1096795_POSCAR,6.8756401076,0.0406,0.0256,2365.8913,133.9373,-1.1976783373513E-02
YAgS2_1096795_POSCAR,7.4486101166,0.0184,0.0114,2365.8917,133.9446,-7.9098615230014E-03
YAgS2_1096795_POSCAR,7.8305901226,0.0116,0.0071,2365.8917,133.9466,-6.0353899687961E-03
YAgS2_1096795_POSCAR,7.6396001196,0.0145,0.0089,2365.8917,133.9458,-6.9076799202295E-03
YAgS2_1096795_POSCAR,8.0215801256,0.0094,0.0057,2365.8918,133.9473,-5.2726724718372E-03
YAgS2_1096795_POSCAR,8.2125701286,0.0077,0.0046,2365.8918,133.9478,-4.6056191242623E-03
YAgS2_1096795_POSCAR,8.4035601315,0.0063,0.0038,2365.8918,133.9482,-4.0216149044085E-03
YAgS2_1096795_POSCAR,8.7855401375,0.0044,0.0026,2365.8918,133.9487,-3.0705542084237E-03
YAgS2_1096795_POSCAR,8.5945501345,0.0053,0.0031,2365.8918,133.9485,-3.5130850130003E-03
YAgS2_1096795_POSCAR,9.1675201435,0.0031,0.0019,2365.8918,133.9490,-2.3547774680946E-03
YAgS2_1096795_POSCAR,8.9765301405,0.0037,0.0022,2365.8918,133.9489,-2.6870361261568E-03
YAgS2_1096795_POSCAR,9.3585101465,0.0027,0.0016,2365.8918,133.9492,-2.0671002785328E-03
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
YAgS2_1207671,0.0000000000,read,real,scaling,value,N/A
