source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367,0.0000000000,read,real,scaling,value,N/A
Cr3AuO8_641367_POSCAR,3.8606552708,9.2750,2.8647,153.3435,10.3708,-1.1677864190077E-01
Cr3AuO8_641367_POSCAR,4.1180322888,7.7280,2.4121,153.3435,10.3723,-9.5859142968666E-02
Cr3AuO8_641367_POSCAR,4.3754093069,6.4140,2.2011,153.3437,10.3786,-8.0225640687153E-02
Cr3AuO8_641367_POSCAR,4.6327863249,5.3978,2.0972,285.6905,10.3886,-8.1030181063315E-02
Cr3AuO8_641367_POSCAR,4.8901633430,4.7590,2.0304,285.6905,10.4010,-6.8979513186333E-02
Cr3AuO8_641367_POSCAR,5.1475403610,4.4043,1.9597,285.6905,10.4234,-6.3639826929971E-02
Cr3AuO8_641367_POSCAR,5.4049173791,4.2049,1.8540,285.6905,10.4897,-5.4803053611860E-02
Cr3AuO8_641367_POSCAR,5.6622943972,4.0672,1.6958,285.6905,10.7445,-4.7504903909441E-02
Cr3AuO8_641367_POSCAR,5.9196714152,3.9240,1.4947,285.6905,11.5279,-4.1441722009073E-02
Cr3AuO8_641367_POSCAR,6.1770484333,3.7169,1.2790,285.6905,12.4145,-3.5942415212807E-02
Cr3AuO8_641367_POSCAR,6.4344254513,3.3938,1.0667,285.6905,12.7564,-3.0727570519887E-02
Cr3AuO8_641367_POSCAR,6.6918024694,2.9317,0.8592,285.6905,12.9333,-2.8510289668499E-02
Cr3AuO8_641367_POSCAR,6.9491794874,2.3659,0.6595,285.6905,13.3620,-2.7037017420479E-02
Cr3AuO8_641367_POSCAR,7.2065565055,1.7840,0.4808,285.6914,14.2009,-2.4397379723164E-02
Cr3AuO8_641367_POSCAR,7.4639335235,1.2738,0.3362,287.1770,14.8875,-2.2460006866140E-02
Cr3AuO8_641367_POSCAR,7.7213105416,0.8786,0.2294,511.4444,15.2011,-2.4092441652064E-02
Cr3AuO8_641367_POSCAR,7.9786875596,0.5966,0.1552,685.7243,15.3279,-2.4012079668842E-02
Cr3AuO8_641367_POSCAR,8.4934415957,0.2762,0.0722,690.6955,15.4107,-2.0641925512288E-02
Cr3AuO8_641367_POSCAR,8.2360645777,0.4044,0.1053,690.4366,15.3834,-2.2232813009665E-02
Cr3AuO8_641367_POSCAR,8.7508186138,0.1910,0.0503,690.7290,15.4255,-1.9264865875708E-02
Cr3AuO8_641367_POSCAR,9.2655726499,0.0956,0.0256,690.7391,15.4395,-1.7093997095068E-02
Cr3AuO8_641367_POSCAR,9.0081956318,0.1341,0.0356,690.7366,15.4341,-1.8095880155393E-02
Cr3AuO8_641367_POSCAR,9.5229496679,0.0693,0.0187,690.7402,15.4429,-1.6175733103888E-02
Cr3AuO8_641367_POSCAR,9.7803266860,0.0510,0.0139,690.7408,15.4452,-1.5252492350607E-02
Cr3AuO8_641367_POSCAR,10.2950807221,0.0289,0.0081,690.7412,15.4479,-1.3217518217237E-02
Cr3AuO8_641367_POSCAR,10.0377037040,0.0381,0.0105,690.7411,15.4468,-1.4267878695795E-02
Cr3AuO8_641367_POSCAR,10.5524577402,0.0222,0.0063,690.7414,15.4487,-1.2134322348278E-02
Cr3AuO8_641367_POSCAR,10.8098347582,0.0173,0.0049,690.7414,15.4493,-1.1068079177936E-02
Cr3AuO8_641367_POSCAR,11.3245887943,0.0109,0.0032,690.7415,15.4501,-9.1320506447090E-03
Cr3AuO8_641367_POSCAR,11.0672117763,0.0136,0.0039,690.7415,15.4497,-1.0059316295570E-02
Cr3AuO8_641367_POSCAR,11.5819658124,0.0088,0.0026,690.7416,15.4503,-8.2928446153145E-03
Cr3AuO8_641367_POSCAR,11.8393428304,0.0071,0.0021,690.7416,15.4505,-7.5362812261116E-03
Cr3AuO8_641367_POSCAR,12.3540968665,0.0048,0.0015,690.7416,15.4508,-6.2254753219494E-03
Cr3AuO8_641367_POSCAR,12.0967198485,0.0058,0.0017,690.7416,15.4507,-6.8511459353568E-03
Cr3AuO8_641367_POSCAR,12.6114738846,0.0040,0.0012,690.7416,15.4509,-5.6498253963595E-03
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996,0.0000000000,read,real,scaling,value,N/A
CrAuO2_996996_POSCAR,2.1967853376,18.6824,5.2378,153.3435,10.3708,-9.5317857717321E-02
CrAuO2_996996_POSCAR,2.4896900493,14.6434,4.2667,153.3435,10.3708,-6.4317493523208E-02
CrAuO2_996996_POSCAR,2.3432376934,16.7511,4.5646,153.3435,10.3708,-7.7602872111691E-02
CrAuO2_996996_POSCAR,2.6361424051,12.4760,4.1018,153.3435,10.3708,-5.3410244342031E-02
CrAuO2_996996_POSCAR,2.7825947609,10.3722,3.9474,153.3435,10.3708,-4.4822724640528E-02
CrAuO2_996996_POSCAR,2.9290471168,8.4274,3.7082,153.3435,10.3708,-3.8892217795680E-02
CrAuO2_996996_POSCAR,3.0754994726,6.7039,3.2991,153.3435,10.3708,-3.5015281036719E-02
CrAuO2_996996_POSCAR,3.2219518285,5.1277,2.6966,285.6905,10.3710,-3.8759017846507E-02
CrAuO2_996996_POSCAR,3.5148565401,2.4690,1.3539,285.6905,12.1684,-3.3265077403836E-02
CrAuO2_996996_POSCAR,3.3684041843,3.6788,1.9954,285.6905,10.4106,-3.5586663454253E-02
CrAuO2_996996_POSCAR,3.8077612518,0.9976,0.5461,357.0456,13.8562,-3.0017212665275E-02
CrAuO2_996996_POSCAR,3.6613088960,1.5834,0.8695,285.7067,12.9218,-3.0455817238217E-02
CrAuO2_996996_POSCAR,3.9542136077,0.6305,0.3434,682.5658,14.8597,-3.5101504724906E-02
CrAuO2_996996_POSCAR,4.1006659635,0.4048,0.2191,690.4350,15.2225,-3.1547335478212E-02
CrAuO2_996996_POSCAR,4.2471183193,0.2654,0.1427,690.7023,15.3437,-2.8239499978528E-02
CrAuO2_996996_POSCAR,4.3935706752,0.1782,0.0951,690.7313,15.3926,-2.5379875495789E-02
CrAuO2_996996_POSCAR,4.5400230310,0.1225,0.0649,690.7375,15.4159,-2.2823218436634E-02
CrAuO2_996996_POSCAR,4.6864753868,0.0862,0.0453,690.7396,15.4285,-2.0423333860055E-02
CrAuO2_996996_POSCAR,4.8329277427,0.0619,0.0323,690.7405,15.4359,-1.8121308269942E-02
CrAuO2_996996_POSCAR,4.9793800985,0.0454,0.0236,690.7409,15.4405,-1.5945217529377E-02
CrAuO2_996996_POSCAR,5.1258324544,0.0339,0.0175,690.7411,15.4435,-1.3954194143263E-02
