source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113,0.0000000000,read,real,scaling,value,N/A
CrAuS2_7113_POSCAR,2.7506161819,11.4036,8.9302,153.3435,125.8109,-8.6782659137524E-02
CrAuS2_7113_POSCAR,2.5787026706,14.3003,11.9132,153.3435,125.8109,-1.0288471787466E-01
CrAuS2_7113_POSCAR,2.9225296933,9.1484,6.7870,153.3435,125.8109,-7.5145854785868E-02
CrAuS2_7113_POSCAR,3.0944432047,7.6562,5.4640,153.3435,125.8109,-6.5052823793813E-02
CrAuS2_7113_POSCAR,3.2663567161,6.7669,4.7133,153.3435,125.8109,-5.6351689647766E-02
CrAuS2_7113_POSCAR,3.7820972502,4.6925,3.3049,285.6905,125.8109,-4.2145787531422E-02
CrAuS2_7113_POSCAR,3.4382702274,6.1507,4.2399,284.7157,125.8109,-5.6517268554643E-02
CrAuS2_7113_POSCAR,3.6101837388,5.5193,3.8174,285.6905,125.8109,-4.9142866734399E-02
CrAuS2_7113_POSCAR,3.9540107615,3.6665,2.6694,285.6905,125.8113,-3.5722539421183E-02
CrAuS2_7113_POSCAR,4.1259242729,2.6177,1.9902,285.6905,125.9066,-3.0276928523169E-02
CrAuS2_7113_POSCAR,4.2978377843,1.7431,1.3836,285.6921,129.4547,-2.6264158719888E-02
CrAuS2_7113_POSCAR,4.4697512957,1.1174,0.9170,299.9231,131.0467,-2.3562848547713E-02
CrAuS2_7113_POSCAR,4.6416648070,0.7088,0.5937,666.0732,131.9439,-2.7526489448876E-02
CrAuS2_7113_POSCAR,4.9854918298,0.2942,0.2494,690.6814,133.6372,-2.4282341555590E-02
CrAuS2_7113_POSCAR,4.8135783184,0.4529,0.3830,690.1221,133.1387,-2.5934157102925E-02
CrAuS2_7113_POSCAR,5.1574053411,0.1951,0.1652,690.7281,133.8057,-2.2644910324654E-02
CrAuS2_7113_POSCAR,5.3293188525,0.1324,0.1116,690.7368,133.8723,-2.0825026239928E-02
CrAuS2_7113_POSCAR,5.6731458753,0.0651,0.0543,690.7404,133.9201,-1.6699991395617E-02
CrAuS2_7113_POSCAR,5.5012323639,0.0918,0.0771,690.7393,133.9035,-1.8798248677079E-02
CrAuS2_7113_POSCAR,5.8450593866,0.0470,0.0391,690.7408,133.9297,-1.4699864543774E-02
CrAuS2_7113_POSCAR,6.0169728980,0.0347,0.0287,690.7411,133.9357,-1.2909786262236E-02
CrAuS2_7113_POSCAR,6.1888864094,0.0260,0.0214,690.7413,133.9396,-1.1361956322591E-02
CrAuS2_7113_POSCAR,6.3607999207,0.0198,0.0162,690.7414,133.9422,-1.0033194264640E-02
CrAuS2_7113_POSCAR,6.7046269435,0.0120,0.0098,690.7415,133.9454,-7.8562684904327E-03
CrAuS2_7113_POSCAR,6.5327134321,0.0153,0.0125,690.7415,133.9440,-8.8785333833240E-03
CrAuS2_7113_POSCAR,6.8765404549,0.0095,0.0078,690.7415,133.9463,-6.9386817699313E-03
CrAuS2_7113_POSCAR,7.0484539662,0.0077,0.0062,690.7416,133.9470,-6.1115685799685E-03
CrAuS2_7113_POSCAR,7.3922809890,0.0051,0.0041,690.7416,133.9480,-4.7029487447810E-03
CrAuS2_7113_POSCAR,7.2203674776,0.0062,0.0050,690.7416,133.9476,-5.3671880797163E-03
CrAuS2_7113_POSCAR,7.5641945003,0.0042,0.0034,690.7416,133.9483,-4.1150487546587E-03
CrAuS2_7113_POSCAR,7.7361080117,0.0035,0.0028,690.7416,133.9486,-3.5981762007578E-03
CrAuS2_7113_POSCAR,7.9080215231,0.0030,0.0024,690.7416,133.9488,-3.1475116636808E-03
CrAuS2_7113_POSCAR,8.0799350345,0.0025,0.0020,690.7416,133.9490,-2.7556960438132E-03
CrAuS2_7113_POSCAR,8.2518485458,0.0022,0.0017,690.7416,133.9491,-2.4157349701403E-03
CrAuS2_7113_POSCAR,8.4237620572,0.0019,0.0015,690.7416,133.9492,-2.1213948893534E-03
