source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163,0.0000000000,read,real,scaling,value,N/A
MnAuO2_997163_POSCAR,2.2985041311,17.4218,4.7581,113.8463,10.3708,-9.1451947703524E-02
MnAuO2_997163_POSCAR,2.4517377398,15.2448,4.3441,113.8463,10.3708,-7.4458402428474E-02
MnAuO2_997163_POSCAR,2.6049713485,12.6605,4.1408,113.8463,10.3708,-6.2560456326403E-02
MnAuO2_997163_POSCAR,2.7582049573,10.1220,3.9780,113.8463,10.3708,-5.4245846536511E-02
MnAuO2_997163_POSCAR,3.2179057835,4.5768,2.7126,239.5554,10.3709,-4.5951112205252E-02
MnAuO2_997163_POSCAR,2.9114385660,7.9735,3.7405,113.8463,10.3708,-4.7721988793687E-02
MnAuO2_997163_POSCAR,3.0646721747,6.1894,3.3292,113.8463,10.3708,-4.1743523959428E-02
MnAuO2_997163_POSCAR,3.3711393922,3.1349,1.9921,239.5554,10.4116,-3.9717001974330E-02
MnAuO2_997163_POSCAR,3.9840738272,0.4688,0.3233,795.2584,14.9351,-3.7978205222734E-02
MnAuO2_997163_POSCAR,3.5243730010,2.0050,1.3362,239.5555,12.2337,-3.5315712336715E-02
MnAuO2_997163_POSCAR,3.8308402184,0.7563,0.5226,590.5195,13.9778,-3.7785004439875E-02
MnAuO2_997163_POSCAR,3.6776066097,1.2356,0.8458,241.1058,12.9492,-3.0930383410414E-02
MnAuO2_997163_POSCAR,4.1373074359,0.2972,0.2031,801.9515,15.2532,-3.2895811796223E-02
MnAuO2_997163_POSCAR,4.2905410446,0.1934,0.1304,802.5442,15.3579,-2.8292976204993E-02
MnAuO2_997163_POSCAR,4.4437746534,0.1293,0.0859,802.6604,15.4002,-2.4484412046271E-02
MnAuO2_997163_POSCAR,4.5970082621,0.0887,0.0581,802.6967,15.4205,-2.1381010382244E-02
MnAuO2_997163_POSCAR,4.7502418709,0.0624,0.0402,802.7118,15.4315,-1.8807767047465E-02
MnAuO2_997163_POSCAR,4.9034754796,0.0448,0.0285,802.7193,15.4380,-1.6602275446359E-02
MnAuO2_997163_POSCAR,5.0567090883,0.0329,0.0206,802.7235,15.4420,-1.4653213746666E-02
MnAuO2_997163_POSCAR,5.2099426971,0.0246,0.0152,802.7261,15.4446,-1.2896745211733E-02
MnAuO2_997163_POSCAR,5.3631763058,0.0188,0.0114,802.7278,15.4464,-1.1310997734349E-02
MnAuO2_997163_POSCAR,5.6696435233,0.0114,0.0068,802.7297,15.4485,-8.6545376306111E-03
MnAuO2_997163_POSCAR,5.5164099145,0.0145,0.0087,802.7289,15.4476,-9.8960047038140E-03
MnAuO2_997163_POSCAR,5.8228771320,0.0091,0.0054,802.7302,15.4491,-7.5811102821497E-03
MnAuO2_997163_POSCAR,5.9761107407,0.0073,0.0043,802.7306,15.4496,-6.6594278590072E-03
MnAuO2_997163_POSCAR,6.1293443495,0.0060,0.0035,802.7309,15.4499,-5.8671490085901E-03
MnAuO2_997163_POSCAR,6.2825779582,0.0049,0.0028,802.7312,15.4502,-5.1811786694449E-03
MnAuO2_997163_POSCAR,6.4358115670,0.0041,0.0023,802.7314,15.4504,-4.5818538522538E-03
MnAuO2_997163_POSCAR,6.7422787844,0.0029,0.0016,802.7316,15.4507,-3.5827314956927E-03
MnAuO2_997163_POSCAR,6.5890451757,0.0034,0.0020,802.7315,15.4506,-4.0530036094978E-03
MnAuO2_997163_POSCAR,6.8955123932,0.0025,0.0014,802.7317,15.4508,-3.1649110637111E-03
MnAuO2_997163_POSCAR,7.0487460019,0.0021,0.0012,802.7318,15.4509,-2.7940689863977E-03
MnAuO2_997163_POSCAR,7.2019796106,0.0018,0.0010,802.7319,15.4510,-2.4656883921967E-03
