source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370,0.0000000000,read,real,scaling,value,N/A
Ta5AuS_669370_POSCAR,6.1519169594,18.1768,11.2598,458.7677,125.8109,-1.2186672916519E+00
Ta5AuS_669370_POSCAR,6.9209065793,15.6297,7.6760,458.7677,125.8109,-8.3936662392786E-01
Ta5AuS_669370_POSCAR,6.5364117693,16.7601,9.0985,458.7677,125.8109,-1.0114772032928E+00
Ta5AuS_669370_POSCAR,5.7674221494,20.8767,14.1628,458.7677,125.8109,-1.4750320335225E+00
Ta5AuS_669370_POSCAR,8.0743910092,9.9107,6.0204,458.7677,125.8109,-4.8301330473421E-01
Ta5AuS_669370_POSCAR,8.4588858191,7.5573,5.5886,458.7677,125.8109,-4.1425802396584E-01
Ta5AuS_669370_POSCAR,7.6898961992,12.2380,6.3862,458.7677,125.8109,-5.7580411678107E-01
Ta5AuS_669370_POSCAR,7.3054013893,14.1952,6.8612,458.7677,125.8109,-6.9462280735264E-01
Ta5AuS_669370_POSCAR,8.8433806291,5.4824,4.9627,458.7677,125.8109,-3.6557770723758E-01
Ta5AuS_669370_POSCAR,9.6123702490,2.5843,3.1280,499.4833,125.8109,-3.1508356112421E-01
Ta5AuS_669370_POSCAR,9.2278754391,3.8249,4.1072,458.7717,125.8109,-3.3210258961049E-01
Ta5AuS_669370_POSCAR,9.9968650590,1.7027,2.2102,658.8179,125.8277,-3.5295593251819E-01
Ta5AuS_669370_POSCAR,10.3813598689,1.1065,1.4839,707.7533,128.4809,-3.6620032399984E-01
Ta5AuS_669370_POSCAR,11.5348442988,0.3143,0.4168,1163.8035,132.9636,-4.7450510769280E-01
Ta5AuS_669370_POSCAR,10.7658546789,0.7185,0.9718,1152.9177,130.9827,-4.6013055478579E-01
Ta5AuS_669370_POSCAR,11.1503494889,0.4712,0.6337,1163.5868,131.7484,-5.0347340206696E-01
Ta5AuS_669370_POSCAR,11.9193391088,0.2138,0.2784,1163.8198,133.5557,-4.3882990504168E-01
Ta5AuS_669370_POSCAR,12.6883287287,0.1053,0.1315,1163.8233,133.8505,-3.5977494866477E-01
Ta5AuS_669370_POSCAR,12.3038339188,0.1485,0.1895,1163.8225,133.7663,-4.0006162074971E-01
Ta5AuS_669370_POSCAR,13.0728235387,0.0762,0.0931,1163.8236,133.8900,-3.1971937783720E-01
Ta5AuS_669370_POSCAR,13.4573183486,0.0562,0.0671,1163.8237,133.9111,-2.8152301194182E-01
Ta5AuS_669370_POSCAR,13.8418131586,0.0421,0.0492,1163.8238,133.9234,-2.4639310119901E-01
Ta5AuS_669370_POSCAR,14.2263079686,0.0321,0.0368,1163.8238,133.9311,-2.1496577526020E-01
Ta5AuS_669370_POSCAR,14.6108027785,0.0248,0.0279,1163.8239,133.9361,-1.8732141686981E-01
Ta5AuS_669370_POSCAR,15.3797923984,0.0155,0.0168,1163.8239,133.9419,-1.4227555858068E-01
Ta5AuS_669370_POSCAR,14.9952975885,0.0195,0.0215,1163.8239,133.9395,-1.6322524377059E-01
Ta5AuS_669370_POSCAR,15.7642872084,0.0124,0.0132,1163.8239,133.9437,-1.2405612191920E-01
Ta5AuS_669370_POSCAR,16.1487820184,0.0101,0.0106,1163.8239,133.9450,-1.0817665426623E-01
Ta5AuS_669370_POSCAR,16.5332768283,0.0082,0.0085,1163.8239,133.9460,-9.4335894062530E-02
Ta5AuS_669370_POSCAR,16.9177716383,0.0068,0.0069,1163.8239,133.9467,-8.2269386246062E-02
Ta5AuS_669370_POSCAR,17.3022664482,0.0057,0.0057,1163.8239,133.9473,-7.1762578601041E-02
Ta5AuS_669370_POSCAR,17.6867612582,0.0048,0.0048,1163.8239,133.9477,-6.2629572293335E-02
Ta5AuS_669370_POSCAR,18.4557508781,0.0035,0.0034,1163.8239,133.9483,-4.7839505401309E-02
Ta5AuS_669370_POSCAR,18.0712560682,0.0041,0.0040,1163.8239,133.9481,-5.4704548939210E-02
Ta5AuS_669370_POSCAR,18.8402456881,0.0030,0.0029,1163.8239,133.9486,-4.1900864660489E-02
