source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193,0.0000000000,read,real,scaling,value,N/A
VAuS2_11193_POSCAR,2.7404775285,13.3483,8.7462,269.3349,125.8109,-2.0294866924193E-01
VAuS2_11193_POSCAR,2.4180684075,18.5014,14.5839,269.3349,125.8109,-2.8073429666263E-01
VAuS2_11193_POSCAR,2.9016820890,11.9788,6.8609,269.3349,125.8109,-1.7147412924387E-01
VAuS2_11193_POSCAR,2.5792729680,15.3070,11.3421,269.3349,125.8109,-2.3630304293995E-01
VAuS2_11193_POSCAR,3.0628866495,10.6283,5.6394,269.3349,125.8109,-1.4241046242020E-01
VAuS2_11193_POSCAR,3.3852957705,7.8662,4.3705,269.3349,125.8109,-1.0229955013234E-01
VAuS2_11193_POSCAR,3.5465003310,6.7640,3.9403,269.3349,125.8109,-8.9173410255441E-02
VAuS2_11193_POSCAR,3.2240912100,9.1882,4.8780,269.3349,125.8109,-1.1927779172062E-01
VAuS2_11193_POSCAR,3.8689094520,4.7213,2.8551,269.3349,125.8110,-6.7249472957954E-02
VAuS2_11193_POSCAR,4.0301140125,3.6250,2.1881,269.3362,125.8310,-5.7979794566353E-02
VAuS2_11193_POSCAR,4.1913185730,2.5989,1.5605,273.0305,127.7070,-5.0798319198589E-02
VAuS2_11193_POSCAR,3.7077048915,5.7643,3.4541,269.3349,125.8109,-7.7739080410306E-02
VAuS2_11193_POSCAR,4.6749322545,0.7663,0.4561,1058.6974,132.7412,-5.4752574986787E-02
VAuS2_11193_POSCAR,4.5137276940,1.1686,0.6964,310.0344,131.4980,-4.1363254350816E-02
VAuS2_11193_POSCAR,4.3525231335,1.7679,1.0566,290.0194,130.8740,-4.5830810052118E-02
VAuS2_11193_POSCAR,4.8361368150,0.5056,0.3009,1114.9656,133.4827,-5.0046664026279E-02
VAuS2_11193_POSCAR,5.4809550570,0.1132,0.0677,1116.0956,133.9107,-3.3653553291982E-02
VAuS2_11193_POSCAR,5.1585459360,0.2303,0.1373,1116.0817,133.8434,-4.0773299470348E-02
VAuS2_11193_POSCAR,5.3197504965,0.1599,0.0955,1116.0927,133.8879,-3.7035596557616E-02
VAuS2_11193_POSCAR,4.9973413755,0.3383,0.2015,1116.0109,133.7442,-4.5050346945534E-02
VAuS2_11193_POSCAR,5.6421596175,0.0817,0.0489,1116.0967,133.9236,-3.0477578051966E-02
VAuS2_11193_POSCAR,5.8033641780,0.0599,0.0360,1116.0972,133.9315,-2.7431404639414E-02
VAuS2_11193_POSCAR,5.9645687385,0.0448,0.0270,1116.0974,133.9366,-2.4523052695104E-02
VAuS2_11193_POSCAR,6.1257732990,0.0339,0.0205,1116.0976,133.9400,-2.1808552911459E-02
VAuS2_11193_POSCAR,6.2869778595,0.0261,0.0158,1116.0977,133.9424,-1.9342800856594E-02
VAuS2_11193_POSCAR,6.6093869805,0.0161,0.0098,1116.0978,133.9454,-1.5239371033161E-02
VAuS2_11193_POSCAR,6.4481824200,0.0204,0.0124,1116.0977,133.9441,-1.7154916326697E-02
VAuS2_11193_POSCAR,6.7705915410,0.0128,0.0079,1116.0978,133.9463,-1.3566545205271E-02
VAuS2_11193_POSCAR,6.9317961015,0.0104,0.0064,1116.0978,133.9470,-1.2098698625995E-02
VAuS2_11193_POSCAR,7.2542052225,0.0070,0.0043,1116.0979,133.9479,-9.6401199527859E-03
VAuS2_11193_POSCAR,7.0930006620,0.0085,0.0052,1116.0978,133.9475,-1.0800685772771E-02
VAuS2_11193_POSCAR,7.4154097830,0.0058,0.0036,1116.0979,133.9482,-8.5960449341991E-03
VAuS2_11193_POSCAR,7.5766143435,0.0049,0.0030,1116.0979,133.9485,-7.6558012664928E-03
VAuS2_11193_POSCAR,7.8990234645,0.0035,0.0022,1116.0979,133.9489,-6.0532866587287E-03
VAuS2_11193_POSCAR,7.7378189040,0.0041,0.0026,1116.0979,133.9487,-6.8107751314823E-03
