source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304,0.0000000000,read,real,scaling,value,N/A
CdFeO3_1290304_POSCAR,4.0343241313,23.6824,5.6331,263.4508,10.3708,-2.8775364669142E-01
CdFeO3_1290304_POSCAR,4.3032790734,20.5027,4.8745,263.4508,10.3708,-2.2864344622547E-01
CdFeO3_1290304_POSCAR,4.8411889575,12.9264,4.0960,263.4508,10.3708,-1.5888508424408E-01
CdFeO3_1290304_POSCAR,4.5722340154,16.8050,4.4080,263.4508,10.3708,-1.8689337029868E-01
CdFeO3_1290304_POSCAR,5.1101438996,9.4296,3.7715,263.4508,10.3708,-1.3936535896743E-01
CdFeO3_1290304_POSCAR,5.3790988417,6.6124,3.3031,263.4508,10.3708,-1.2425484158611E-01
CdFeO3_1290304_POSCAR,5.9170087259,2.8852,1.9319,263.4508,10.4361,-1.2102481274011E-01
CdFeO3_1290304_POSCAR,5.6480537838,4.4650,2.6562,263.4508,10.3710,-1.2167913903754E-01
CdFeO3_1290304_POSCAR,6.4549186100,1.0979,0.8121,285.5731,12.9952,-1.0900212042683E-01
CdFeO3_1290304_POSCAR,6.1859636679,1.7951,1.2877,263.4513,12.3901,-1.1557723928471E-01
CdFeO3_1290304_POSCAR,6.7238735521,0.6744,0.5011,466.0354,14.0921,-1.3060564041542E-01
CdFeO3_1290304_POSCAR,6.9928284942,0.4220,0.3100,468.1479,14.9810,-1.3696067153368E-01
CdFeO3_1290304_POSCAR,7.2617834363,0.2709,0.1950,468.1860,15.2676,-1.2452937631679E-01
CdFeO3_1290304_POSCAR,7.5307383784,0.1786,0.1255,468.1891,15.3633,-1.0868952185404E-01
CdFeO3_1290304_POSCAR,7.7996933204,0.1211,0.0829,468.1896,15.4026,-9.4648410094624E-02
CdFeO3_1290304_POSCAR,8.0686482625,0.0843,0.0561,468.1898,15.4218,-8.2530515908103E-02
CdFeO3_1290304_POSCAR,8.6065581467,0.0438,0.0277,468.1899,15.4384,-6.3444092954251E-02
CdFeO3_1290304_POSCAR,8.3376032046,0.0601,0.0390,468.1899,15.4322,-7.2201762871650E-02
CdFeO3_1290304_POSCAR,8.8755130888,0.0326,0.0201,468.1899,15.4422,-5.5958161295884E-02
CdFeO3_1290304_POSCAR,9.1444680309,0.0247,0.0149,468.1899,15.4448,-4.9438147431196E-02
