source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_5472_POSCAR,5.4468495337,16.5506,4.1012,428.8962,10.3708,-2.7321455495826E-01
Nb2Cd2O7_5472_POSCAR,5.1264466199,18.4489,4.2599,428.8962,10.3708,-3.3339282457433E-01
Nb2Cd2O7_5472_POSCAR,4.8060437062,20.4124,4.5659,428.8962,10.3708,-4.1568529584951E-01
Nb2Cd2O7_5472_POSCAR,5.7672524474,14.1074,3.9573,428.8962,10.3708,-2.3512440042416E-01
Nb2Cd2O7_5472_POSCAR,6.0876553612,11.4424,3.7256,428.8962,10.3708,-2.1134308381870E-01
Nb2Cd2O7_5472_POSCAR,6.4080582749,9.2487,3.3089,428.8962,10.3708,-1.9243195410681E-01
Nb2Cd2O7_5472_POSCAR,6.7284611887,7.7674,2.6753,428.8962,10.3710,-1.7247397587234E-01
Nb2Cd2O7_5472_POSCAR,7.0488641024,6.7936,1.9360,428.8962,10.4341,-1.5148659900244E-01
Nb2Cd2O7_5472_POSCAR,7.6896699299,5.2265,0.7957,428.8962,13.0211,-1.4123923341975E-01
Nb2Cd2O7_5472_POSCAR,7.3692670161,6.0240,1.2758,428.8962,12.4232,-1.3261983107311E-01
Nb2Cd2O7_5472_POSCAR,8.0100728436,4.3009,0.4873,428.8963,14.1660,-1.2647547532558E-01
Nb2Cd2O7_5472_POSCAR,8.3304757574,3.3012,0.3002,429.0647,15.0130,-1.1029900883391E-01
Nb2Cd2O7_5472_POSCAR,8.9712815849,1.6249,0.1212,580.2989,15.3678,-9.1983648873380E-02
Nb2Cd2O7_5472_POSCAR,9.2916844986,1.0861,0.0800,686.7360,15.4049,-8.5530247339330E-02
Nb2Cd2O7_5472_POSCAR,9.6120874124,0.7217,0.0542,1454.7714,15.4230,-9.9860880694187E-02
Nb2Cd2O7_5472_POSCAR,8.6508786711,2.3717,0.1884,519.8831,15.2786,-1.0145573965395E-01
Nb2Cd2O7_5472_POSCAR,10.2528932399,0.3270,0.0267,1475.2063,15.4389,-7.9088643463002E-02
Nb2Cd2O7_5472_POSCAR,9.9324903261,0.4826,0.0376,1474.7522,15.4330,-8.8715562372091E-02
Nb2Cd2O7_5472_POSCAR,10.8936990673,0.1581,0.0143,1475.2469,15.4450,-6.3740353997138E-02
Nb2Cd2O7_5472_POSCAR,10.5732961536,0.2252,0.0194,1475.2411,15.4426,-7.0954724890407E-02
Nb2Cd2O7_5472_POSCAR,11.2141019811,0.1130,0.0108,1475.2485,15.4467,-5.7051897025423E-02
Nb2Cd2O7_5472_POSCAR,11.8549078086,0.0608,0.0065,1475.2493,15.4486,-4.4894631813285E-02
Nb2Cd2O7_5472_POSCAR,12.1753107223,0.0457,0.0051,1475.2495,15.4492,-3.9598199992327E-02
Nb2Cd2O7_5472_POSCAR,11.5345048948,0.0822,0.0083,1475.2490,15.4478,-5.0749901175954E-02
Nb2Cd2O7_5472_POSCAR,12.4957136361,0.0348,0.0041,1475.2495,15.4497,-3.4936575346375E-02
Nb2Cd2O7_5472_POSCAR,12.8161165498,0.0270,0.0033,1475.2496,15.4500,-3.0899198057644E-02
Nb2Cd2O7_5472_POSCAR,13.1365194636,0.0212,0.0027,1475.2496,15.4503,-2.7423621447796E-02
Nb2Cd2O7_5472_POSCAR,13.4569223773,0.0168,0.0022,1475.2497,15.4505,-2.4408889364440E-02
Nb2Cd2O7_5472_POSCAR,13.7773252910,0.0135,0.0019,1475.2497,15.4506,-2.1764659369126E-02
Nb2Cd2O7_5472_POSCAR,14.0977282048,0.0109,0.0016,1475.2497,15.4508,-1.9414018182003E-02
Nb2Cd2O7_5472_POSCAR,14.4181311185,0.0089,0.0013,1475.2497,15.4509,-1.7300673397596E-02
Nb2Cd2O7_5472_POSCAR,14.7385340323,0.0074,0.0012,1475.2497,15.4509,-1.5399791946070E-02
Nb2Cd2O7_5472_POSCAR,15.0589369460,0.0062,0.0010,1475.2497,15.4510,-1.3688364512151E-02
Nb2Cd2O7_5472_POSCAR,15.6997427735,0.0044,0.0007,1475.2497,15.4511,-1.0778797621743E-02
Nb2Cd2O7_5472_POSCAR,15.3793398598,0.0052,0.0008,1475.2497,15.4511,-1.2148254371057E-02
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530,0.0000000000,read,real,scaling,value,N/A
Nb2Cd2O7_560530_POSCAR,5.4698221404,16.5274,4.0204,428.8962,10.3708,-2.7198717901578E-01
Nb2Cd2O7_560530_POSCAR,5.1480678968,18.5022,4.3471,428.8962,10.3708,-3.3145952323540E-01
Nb2Cd2O7_560530_POSCAR,4.8263136533,20.5406,4.8630,428.8962,10.3708,-4.1312124052958E-01
Nb2Cd2O7_560530_POSCAR,5.7915763839,14.0379,3.6705,428.8962,10.3708,-2.3432741211353E-01
Nb2Cd2O7_560530_POSCAR,6.1133306275,11.3693,3.2376,428.8962,10.3708,-2.1082953802621E-01
Nb2Cd2O7_560530_POSCAR,7.0785933581,6.6988,2.1586,428.8962,10.3818,-1.5070991372625E-01
Nb2Cd2O7_560530_POSCAR,6.4350848710,9.1880,2.7974,428.8962,10.3709,-1.9196226201635E-01
Nb2Cd2O7_560530_POSCAR,6.7568391146,7.7026,2.4377,428.8962,10.3720,-1.7186802854233E-01
Nb2Cd2O7_560530_POSCAR,7.4003476017,5.8837,1.9060,428.8962,10.4506,-1.3172140279046E-01
Nb2Cd2O7_560530_POSCAR,8.0438560888,4.1548,1.3286,428.8964,12.2606,-1.2582409783382E-01
Nb2Cd2O7_560530_POSCAR,8.3656103323,3.2247,1.0182,429.2007,12.7959,-1.0972111824552E-01
Nb2Cd2O7_560530_POSCAR,7.7221018452,5.0572,1.6326,428.8962,10.9329,-1.4029263436375E-01
Nb2Cd2O7_560530_POSCAR,8.6873645759,2.3653,0.7372,521.6940,13.1366,-1.0104666002997E-01
Nb2Cd2O7_560530_POSCAR,9.0091188194,1.6569,0.5108,580.2020,14.0406,-9.1681322522062E-02
Nb2Cd2O7_560530_POSCAR,9.3308730630,1.1269,0.3447,639.6670,14.8548,-8.3201968995464E-02
Nb2Cd2O7_560530_POSCAR,9.6526273065,0.7570,0.2305,1440.2388,15.1988,-9.9111955546366E-02
Nb2Cd2O7_560530_POSCAR,9.9743815501,0.5090,0.1546,1474.4984,15.3287,-8.8332549546524E-02
Nb2Cd2O7_560530_POSCAR,10.2961357937,0.3455,0.1049,1475.1916,15.3838,-7.8557819678057E-02
Nb2Cd2O7_560530_POSCAR,10.9396442808,0.1665,0.0507,1475.2464,15.4252,-6.2918389955391E-02
Nb2Cd2O7_560530_POSCAR,10.6178900372,0.2378,0.0723,1475.2392,15.4107,-7.0238224838218E-02
Nb2Cd2O7_560530_POSCAR,11.2613985243,0.1187,0.0362,1475.2483,15.4338,-5.6258547396139E-02
Nb2Cd2O7_560530_POSCAR,11.9049070114,0.0635,0.0195,1475.2493,15.4425,-4.4445495014709E-02
Nb2Cd2O7_560530_POSCAR,11.5831527679,0.0861,0.0263,1475.2490,15.4391,-5.0106864123232E-02
