source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875,0.0000000000,read,real,scaling,value,N/A
CdRhO3_1016875_POSCAR,3.3588489500,16.9621,4.7968,263.4508,10.3708,-6.1762979404646E-02
CdRhO3_1016875_POSCAR,2.9636902500,24.9402,6.2769,263.4508,10.3708,-9.3233599011065E-02
CdRhO3_1016875_POSCAR,3.1612696000,21.7673,5.6383,263.4508,10.3708,-7.3735053673751E-02
CdRhO3_1016875_POSCAR,3.5564283000,11.4765,3.8366,263.4508,10.3708,-5.5739963799044E-02
CdRhO3_1016875_POSCAR,3.7540076500,6.8714,3.0416,263.4508,10.3708,-5.2973701027694E-02
CdRhO3_1016875_POSCAR,4.1491663500,2.1280,2.1100,263.4508,10.3869,-4.6791622778042E-02
CdRhO3_1016875_POSCAR,3.9515870000,3.8484,2.5001,263.4508,10.3715,-5.0596867735742E-02
CdRhO3_1016875_POSCAR,4.3467457000,1.2000,1.7502,268.3378,10.6267,-4.2031349982220E-02
CdRhO3_1016875_POSCAR,4.5443250500,0.6998,1.3668,465.0054,12.1176,-4.6589053094267E-02
CdRhO3_1016875_POSCAR,4.9394837500,0.2664,0.6647,468.1863,13.3438,-3.8052069457447E-02
CdRhO3_1016875_POSCAR,4.7419044000,0.4239,0.9862,468.1467,12.8203,-4.0292594843305E-02
CdRhO3_1016875_POSCAR,5.1370631000,0.1734,0.4303,468.1891,14.4654,-3.2962064930460E-02
CdRhO3_1016875_POSCAR,5.3346424500,0.1165,0.2748,468.1896,15.0892,-3.5841648782321E-02
CdRhO3_1016875_POSCAR,5.5322218000,0.0805,0.1764,468.1898,15.2977,-3.1619318676844E-02
CdRhO3_1016875_POSCAR,5.7298011500,0.0572,0.1151,468.1899,15.3740,-2.7179471188732E-02
CdRhO3_1016875_POSCAR,5.9273805000,0.0416,0.0766,468.1899,15.4075,-2.3561707070709E-02
CdRhO3_1016875_POSCAR,6.1249598500,0.0309,0.0522,468.1899,15.4243,-2.0610920905746E-02
CdRhO3_1016875_POSCAR,6.5201185500,0.0180,0.0259,468.1899,15.4393,-1.5983714947409E-02
CdRhO3_1016875_POSCAR,6.3225392000,0.0233,0.0364,468.1899,15.4337,-1.8138726006781E-02
CdRhO3_1016875_POSCAR,6.7176979000,0.0141,0.0188,468.1899,15.4428,-1.4044710018278E-02
CdRhO3_1016875_POSCAR,7.3104359500,0.0073,0.0081,468.1899,15.4479,-9.3657052890196E-03
CdRhO3_1016875_POSCAR,6.9152772500,0.0112,0.0140,468.1899,15.4452,-1.2289536765732E-02
CdRhO3_1016875_POSCAR,7.1128566000,0.0090,0.0105,468.1899,15.4468,-1.0725163797429E-02
CdRhO3_1016875_POSCAR,7.5080153000,0.0060,0.0063,468.1899,15.4487,-8.2039098493217E-03
CdRhO3_1016875_POSCAR,7.9031740000,0.0042,0.0040,468.1899,15.4497,-6.3800820576128E-03
CdRhO3_1016875_POSCAR,7.7055946500,0.0050,0.0050,468.1899,15.4493,-7.2191840216211E-03
CdRhO3_1016875_POSCAR,8.1007533500,0.0036,0.0032,468.1899,15.4500,-5.6552669511926E-03
CdRhO3_1016875_POSCAR,8.2983327000,0.0031,0.0027,468.1899,15.4503,-5.0178813690552E-03
CdRhO3_1016875_POSCAR,8.6934914000,0.0022,0.0018,468.1899,15.4507,-3.9443373526851E-03
CdRhO3_1016875_POSCAR,8.4959120500,0.0026,0.0022,468.1899,15.4505,-4.4511482240691E-03
CdRhO3_1016875_POSCAR,8.8910707500,0.0020,0.0015,468.1899,15.4508,-3.4900557577334E-03
CdRhO3_1016875_POSCAR,9.0886501000,0.0017,0.0013,468.1899,15.4509,-3.0840251159092E-03
CdRhO3_1016875_POSCAR,9.2862294500,0.0015,0.0011,468.1899,15.4510,-2.7238797066737E-03
CdRhO3_1016875_POSCAR,9.4838088000,0.0013,0.0010,468.1899,15.4510,-2.4052515747227E-03
CdRhO3_1016875_POSCAR,9.6813881500,0.0011,0.0008,468.1899,15.4511,-2.1245659972435E-03
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
Cd_RhO2_2_14100,0.0000000000,read,real,scaling,value,N/A
