source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
Cd2Tc2O7_1192130,0.0000000000,read,real,scaling,value,N/A
