source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758,0.0000000000,read,real,scaling,value,N/A
Cr2CoO4_20758_POSCAR,4.6002954977,12.1535,4.0656,153.3435,10.3708,-1.4368412349078E-01
Cr2CoO4_20758_POSCAR,4.0891515535,15.7485,4.4479,153.3435,10.3708,-1.8830831989192E-01
Cr2CoO4_20758_POSCAR,4.3447235256,13.8161,4.2098,153.3435,10.3708,-1.6129940157387E-01
Cr2CoO4_20758_POSCAR,3.8335795814,17.9068,4.9716,153.3435,10.3708,-2.3002607782145E-01
Cr2CoO4_20758_POSCAR,5.1114394419,8.7283,3.6517,153.3435,10.3708,-1.2153296351510E-01
Cr2CoO4_20758_POSCAR,4.8558674698,10.4935,3.9095,153.3435,10.3708,-1.3755582415432E-01
Cr2CoO4_20758_POSCAR,5.3670114140,6.9788,3.2174,153.3435,10.3708,-1.0377182802875E-01
Cr2CoO4_20758_POSCAR,5.6225833861,5.3170,2.6019,285.6905,10.3711,-1.2099044469385E-01
Cr2CoO4_20758_POSCAR,6.3892993024,1.6261,0.8270,285.6992,12.9737,-1.1359370369353E-01
Cr2CoO4_20758_POSCAR,6.1337273303,2.5400,1.2901,285.6905,12.3830,-1.0261818776323E-01
Cr2CoO4_20758_POSCAR,6.6448712745,1.0235,0.5192,337.1470,13.9957,-1.0887764912031E-01
Cr2CoO4_20758_POSCAR,5.8781553582,3.7966,1.9099,285.6905,10.4482,-1.0535653554771E-01
Cr2CoO4_20758_POSCAR,6.9004432466,0.6465,0.3266,680.4637,14.9231,-1.3923067222201E-01
Cr2CoO4_20758_POSCAR,7.4115871908,0.2720,0.1359,690.6983,15.3517,-1.0761482123177E-01
Cr2CoO4_20758_POSCAR,7.6671591629,0.1825,0.0907,690.7305,15.3963,-9.5094143913791E-02
Cr2CoO4_20758_POSCAR,7.1560152187,0.4149,0.2085,690.3862,15.2432,-1.2278775668987E-01
Cr2CoO4_20758_POSCAR,7.9227311350,0.1255,0.0619,690.7373,15.4180,-8.4737199290055E-02
Cr2CoO4_20758_POSCAR,8.6894470512,0.0464,0.0225,690.7409,15.4410,-5.9949028364104E-02
Cr2CoO4_20758_POSCAR,8.1783031071,0.0882,0.0433,690.7395,15.4297,-7.5762690098248E-02
Cr2CoO4_20758_POSCAR,8.4338750792,0.0633,0.0309,690.7404,15.4367,-6.7573596272730E-02
Cr2CoO4_20758_POSCAR,8.9450190233,0.0347,0.0168,690.7411,15.4439,-5.2913513359178E-02
Cr2CoO4_20758_POSCAR,9.4561629675,0.0203,0.0097,690.7414,15.4472,-4.0973576377588E-02
Cr2CoO4_20758_POSCAR,9.7117349396,0.0159,0.0076,690.7415,15.4481,-3.6104890989670E-02
Cr2CoO4_20758_POSCAR,9.2005909954,0.0263,0.0127,690.7413,15.4458,-4.6567421509012E-02
Cr2CoO4_20758_POSCAR,10.2228788838,0.0101,0.0048,690.7415,15.4494,-2.8201670140710E-02
Cr2CoO4_20758_POSCAR,9.9673069117,0.0126,0.0060,690.7415,15.4488,-3.1880698768432E-02
Cr2CoO4_20758_POSCAR,10.4784508559,0.0082,0.0039,690.7416,15.4498,-2.4967686001424E-02
Cr2CoO4_20758_POSCAR,10.7340228280,0.0067,0.0032,690.7416,15.4501,-2.2102056856557E-02
