source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299,0.0000000000,read,real,scaling,value,N/A
Cr2CoS4_21299_POSCAR,4.4917582461,14.1221,13.3941,153.3435,125.8109,-3.1945631275230E-01
Cr2CoS4_21299_POSCAR,5.0906593455,9.5641,7.2441,153.3435,125.8109,-2.4422069153697E-01
Cr2CoS4_21299_POSCAR,5.3901098953,7.9950,5.6676,153.3435,125.8109,-2.0597653885250E-01
Cr2CoS4_21299_POSCAR,4.7912087958,11.6303,9.8777,153.3435,125.8109,-2.7107396649257E-01
Cr2CoS4_21299_POSCAR,5.6895604450,6.9803,4.8110,153.3435,125.8109,-1.7096713060070E-01
Cr2CoS4_21299_POSCAR,5.9890109948,6.2898,4.2921,154.2992,125.8109,-1.4351803774972E-01
Cr2CoS4_21299_POSCAR,6.2884615445,5.6372,3.8460,285.6905,125.8109,-1.5044514943603E-01
Cr2CoS4_21299_POSCAR,6.5879120942,4.8203,3.3134,285.6905,125.8109,-1.2930540682360E-01
Cr2CoS4_21299_POSCAR,6.8873626440,3.8054,2.6525,285.6905,125.8114,-1.1053098229580E-01
Cr2CoS4_21299_POSCAR,7.1868131937,2.7472,1.9476,285.6905,125.9443,-9.6799238248560E-02
Cr2CoS4_21299_POSCAR,7.4862637434,1.8454,1.3286,285.6909,129.8861,-8.5213767337461E-02
Cr2CoS4_21299_POSCAR,7.7857142932,1.1895,0.8658,290.7552,131.1133,-7.6738409370248E-02
Cr2CoS4_21299_POSCAR,8.3846153927,0.4838,0.3558,689.7686,133.2664,-1.0327383997243E-01
Cr2CoS4_21299_POSCAR,8.0851648429,0.7565,0.5544,643.9548,132.1592,-1.0819892117761E-01
Cr2CoS4_21299_POSCAR,8.6840659424,0.3142,0.2314,690.6606,133.6812,-9.6280282344465E-02
Cr2CoS4_21299_POSCAR,8.9835164921,0.2083,0.1535,690.7251,133.8223,-9.0085837136208E-02
Cr2CoS4_21299_POSCAR,9.2829670419,0.1412,0.1041,690.7360,133.8798,-8.3660775761117E-02
Cr2CoS4_21299_POSCAR,9.5824175916,0.0978,0.0721,690.7390,133.9073,-7.6563396404494E-02
Cr2CoS4_21299_POSCAR,10.1813186911,0.0500,0.0370,690.7408,133.9309,-6.1423561874345E-02
Cr2CoS4_21299_POSCAR,9.8818681413,0.0692,0.0511,690.7402,133.9222,-6.8980514477717E-02
Cr2CoS4_21299_POSCAR,10.7802197906,0.0276,0.0204,690.7413,133.9401,-4.8062543149071E-02
Cr2CoS4_21299_POSCAR,10.4807692408,0.0368,0.0272,690.7411,133.9365,-5.4364510185624E-02
Cr2CoS4_21299_POSCAR,11.0796703403,0.0210,0.0156,690.7414,133.9425,-4.2560927768593E-02
Cr2CoS4_21299_POSCAR,11.3791208900,0.0162,0.0121,690.7414,133.9443,-3.7769543174648E-02
Cr2CoS4_21299_POSCAR,11.6785714398,0.0127,0.0095,690.7415,133.9455,-3.3545771176045E-02
Cr2CoS4_21299_POSCAR,11.9780219895,0.0101,0.0075,690.7415,133.9464,-2.9772441351782E-02
Cr2CoS4_21299_POSCAR,12.5769230890,0.0066,0.0049,690.7416,133.9476,-2.3296976152837E-02
Cr2CoS4_21299_POSCAR,12.2774725392,0.0081,0.0061,690.7416,133.9471,-2.6370774788364E-02
Cr2CoS4_21299_POSCAR,12.8763736387,0.0054,0.0041,690.7416,133.9480,-2.0529475857921E-02
Cr2CoS4_21299_POSCAR,13.1758241885,0.0044,0.0034,690.7416,133.9484,-1.8054496446141E-02
Cr2CoS4_21299_POSCAR,13.7747252879,0.0031,0.0024,690.7416,133.9488,-1.3917046455181E-02
Cr2CoS4_21299_POSCAR,13.4752747382,0.0037,0.0028,690.7416,133.9486,-1.5855623968186E-02
Cr2CoS4_21299_POSCAR,14.0741758377,0.0027,0.0020,690.7416,133.9490,-1.2218266326257E-02
Cr2CoS4_21299_POSCAR,14.3736263874,0.0023,0.0017,690.7416,133.9491,-1.0733945983303E-02
Cr2CoS4_21299_POSCAR,14.6730769371,0.0020,0.0015,690.7416,133.9492,-9.4408701114879E-03
