source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738,0.0000000000,read,real,scaling,value,N/A
Fe19Co5O32_757738_POSCAR,5.8460833472,14.8807,4.7188,109.5041,10.3708,-6.0689185641125E-01
Fe19Co5O32_757738_POSCAR,6.6255611269,7.2989,4.1162,109.5041,10.3708,-3.9468456274695E-01
Fe19Co5O32_757738_POSCAR,6.2358222371,10.3733,4.3232,109.5041,10.3708,-4.8312599267719E-01
Fe19Co5O32_757738_POSCAR,7.0153000167,5.6238,3.9263,109.5042,10.3708,-3.3547318258021E-01
Fe19Co5O32_757738_POSCAR,7.4050389065,4.7335,3.6327,204.9925,10.3708,-3.4009816782094E-01
Fe19Co5O32_757738_POSCAR,7.7947777963,4.1439,3.1512,204.9925,10.3708,-3.0955442116529E-01
Fe19Co5O32_757738_POSCAR,8.1845166861,3.5680,2.4976,204.9925,10.3715,-3.3561183423381E-01
Fe19Co5O32_757738_POSCAR,8.5742555760,2.8819,1.8021,204.9925,10.5462,-3.0835506854587E-01
Fe19Co5O32_757738_POSCAR,9.3537333556,1.4486,0.7647,205.0445,13.0773,-3.0004913108233E-01
Fe19Co5O32_757738_POSCAR,8.9639944658,2.1291,1.2039,204.9925,12.5837,-2.9132688291908E-01
Fe19Co5O32_757738_POSCAR,9.7434722454,0.9344,0.4750,245.3544,14.2318,-3.8128318924501E-01
Fe19Co5O32_757738_POSCAR,10.1332111352,0.5899,0.2950,475.0949,15.0296,-4.1741835912860E-01
Fe19Co5O32_757738_POSCAR,10.9126889149,0.2395,0.1197,491.1660,15.3694,-3.2101415919987E-01
Fe19Co5O32_757738_POSCAR,10.5229500250,0.3731,0.1859,490.3551,15.2828,-3.6879786473669E-01
Fe19Co5O32_757738_POSCAR,11.6921666945,0.1055,0.0535,491.3060,15.4235,-2.4505111049394E-01
Fe19Co5O32_757738_POSCAR,11.3024278047,0.1571,0.0790,491.2779,15.4056,-2.7947124313517E-01
Fe19Co5O32_757738_POSCAR,12.4716444741,0.0511,0.0264,491.3208,15.4391,-1.9385711189584E-01
Fe19Co5O32_757738_POSCAR,12.0819055843,0.0726,0.0371,491.3162,15.4333,-2.1704208397882E-01
Fe19Co5O32_757738_POSCAR,12.8613833639,0.0368,0.0191,491.3232,15.4427,-1.7384026702350E-01
Fe19Co5O32_757738_POSCAR,13.2511222538,0.0271,0.0142,491.3246,15.4451,-1.5576119902908E-01
Fe19Co5O32_757738_POSCAR,13.6408611436,0.0202,0.0107,491.3255,15.4467,-1.3900596938580E-01
Fe19Co5O32_757738_POSCAR,14.4203389232,0.0120,0.0064,491.3265,15.4487,-1.0935649817965E-01
Fe19Co5O32_757738_POSCAR,14.8100778130,0.0094,0.0050,491.3268,15.4493,-9.6761786283133E-02
Fe19Co5O32_757738_POSCAR,14.0306000334,0.0154,0.0082,491.3261,15.4479,-1.2348971742729E-01
Fe19Co5O32_757738_POSCAR,15.1998167028,0.0075,0.0040,491.3270,15.4497,-8.5751327628873E-02
Fe19Co5O32_757738_POSCAR,15.5895555927,0.0060,0.0033,491.3271,15.4500,-7.6205902559190E-02
Fe19Co5O32_757738_POSCAR,15.9792944825,0.0049,0.0027,491.3272,15.4503,-6.7923782028366E-02
Fe19Co5O32_757738_POSCAR,16.3690333723,0.0041,0.0022,491.3273,15.4505,-6.0676579757039E-02
Fe19Co5O32_757738_POSCAR,16.7587722621,0.0034,0.0019,491.3274,15.4506,-5.4257434944735E-02
Fe19Co5O32_757738_POSCAR,17.1485111519,0.0029,0.0016,491.3274,15.4508,-4.8507961917070E-02
Fe19Co5O32_757738_POSCAR,17.9279889316,0.0021,0.0011,491.3275,15.4509,-3.8629629158008E-02
Fe19Co5O32_757738_POSCAR,17.5382500417,0.0024,0.0013,491.3275,15.4509,-4.3322746721543E-02
Fe19Co5O32_757738_POSCAR,18.3177278214,0.0018,0.0010,491.3276,15.4510,-3.4397323120373E-02
Fe19Co5O32_757738_POSCAR,18.7074667112,0.0015,0.0009,491.3276,15.4511,-3.0589152919951E-02
