source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978,0.0000000000,read,real,scaling,value,N/A
FeCo3S8_1224978_POSCAR,4.9425324696,7.2176,7.5629,109.5041,125.8109,-1.5047288996550E-01
FeCo3S8_1224978_POSCAR,4.6679473324,8.4466,10.2402,109.5041,125.8109,-1.7947228074852E-01
FeCo3S8_1224978_POSCAR,4.3933621952,10.7825,13.7062,109.5041,125.8109,-2.2043805543372E-01
FeCo3S8_1224978_POSCAR,4.1187770580,14.6427,17.1607,109.5041,125.8109,-2.7398372438439E-01
FeCo3S8_1224978_POSCAR,5.2171176068,6.5745,5.8688,109.5041,125.8109,-1.3070814535230E-01
FeCo3S8_1224978_POSCAR,5.4917027440,6.1546,4.8586,109.5041,125.8109,-1.1600850031767E-01
FeCo3S8_1224978_POSCAR,5.7662878812,5.7233,4.1582,109.5041,125.8109,-1.0996062160563E-01
FeCo3S8_1224978_POSCAR,6.0408730184,5.1152,3.5166,204.9925,125.8109,-1.0233736547927E-01
FeCo3S8_1224978_POSCAR,6.8646284300,2.2808,1.5504,204.9925,127.8042,-7.3378187817121E-02
FeCo3S8_1224978_POSCAR,6.3154581556,4.2603,2.8397,204.9925,125.8110,-8.9354857021258E-02
FeCo3S8_1224978_POSCAR,6.5900432928,3.2483,2.1594,204.9925,125.8361,-8.0438067285468E-02
FeCo3S8_1224978_POSCAR,7.1392135672,1.5126,1.0628,205.0149,130.8646,-7.0456466694593E-02
FeCo3S8_1224978_POSCAR,7.6883838416,0.6268,0.4636,465.7971,132.6976,-8.1248045637662E-02
