source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454,0.0000000000,read,real,scaling,value,N/A
Hf3CoS6_1224454_POSCAR,4.1225380145,17.4943,12.9833,420.9766,125.8109,-2.2081768476505E-01
Hf3CoS6_1224454_POSCAR,4.3973738821,14.5657,9.0985,420.9766,125.8109,-1.8004421895753E-01
Hf3CoS6_1224454_POSCAR,4.6722097497,13.0532,6.6188,420.9766,125.8109,-1.4869429748705E-01
Hf3CoS6_1224454_POSCAR,4.9470456173,12.0437,5.2953,420.9766,125.8109,-1.2597386828478E-01
Hf3CoS6_1224454_POSCAR,5.2218814850,10.9766,4.6019,420.9766,125.8109,-1.0814177873696E-01
Hf3CoS6_1224454_POSCAR,5.4967173526,9.6617,4.1650,420.9766,125.8109,-9.2559493753673E-02
Hf3CoS6_1224454_POSCAR,5.7715532202,8.2476,3.7760,420.9766,125.8109,-7.8722477526798E-02
Hf3CoS6_1224454_POSCAR,6.0463890879,6.9179,3.3345,420.9766,125.8109,-6.8274849882763E-02
Hf3CoS6_1224454_POSCAR,6.3212249555,5.6628,2.8106,420.9766,125.8110,-5.8681973998384E-02
Hf3CoS6_1224454_POSCAR,6.5960608231,4.4149,2.2221,420.9766,125.8262,-5.2654673639399E-02
Hf3CoS6_1224454_POSCAR,6.8708966908,3.2237,1.6343,422.8373,127.0682,-4.8155613843080E-02
Hf3CoS6_1224454_POSCAR,7.1457325584,2.2164,1.1283,780.3780,130.7438,-6.4325756798756E-02
Hf3CoS6_1224454_POSCAR,7.4205684260,1.4656,0.7479,780.6241,131.3422,-6.0491125586131E-02
Hf3CoS6_1224454_POSCAR,7.6954042936,0.9539,0.4875,1104.9686,132.5553,-6.4307350202528E-02
Hf3CoS6_1224454_POSCAR,7.9702401613,0.6219,0.3180,1437.2010,133.4213,-7.0751929742821E-02
Hf3CoS6_1224454_POSCAR,8.2450760289,0.4104,0.2100,1441.0830,133.7276,-6.5412162325334E-02
Hf3CoS6_1224454_POSCAR,8.7947477642,0.1889,0.0967,1441.2342,133.8867,-5.5348418884784E-02
Hf3CoS6_1224454_POSCAR,8.5199118965,0.2757,0.1411,1441.2198,133.8388,-6.0239287539326E-02
Hf3CoS6_1224454_POSCAR,9.0695836318,0.1321,0.0677,1441.2373,133.9107,-5.0582490327007E-02
Hf3CoS6_1224454_POSCAR,9.6192553671,0.0684,0.0351,1441.2386,133.9320,-4.1104817291335E-02
Hf3CoS6_1224454_POSCAR,9.3444194994,0.0942,0.0483,1441.2382,133.9240,-4.5827327969371E-02
Hf3CoS6_1224454_POSCAR,9.8940912347,0.0506,0.0260,1441.2388,133.9371,-3.6554656789207E-02
Hf3CoS6_1224454_POSCAR,10.1689271023,0.0381,0.0196,1441.2389,133.9405,-3.2327672065085E-02
