source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
Co2HgO4_2237174,0.0000000000,read,real,scaling,value,N/A
