source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850,0.0000000000,read,real,scaling,value,N/A
Mn4CoS5_1221850_POSCAR,3.1921696469,7.7000,7.6241,113.8463,125.8109,-9.8595369141508E-02
Mn4CoS5_1221850_POSCAR,2.8374841306,12.4658,11.5226,113.8463,125.8109,-1.4245664706076E-01
