source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
Co2MoS4_1023124,0.0000000000,read,real,scaling,value,N/A
