source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1096547_POSCAR,3.9816763010,14.5792,4.5039,118.2863,10.3708,-1.5193296993396E-01
Co2NiO4_1096547_POSCAR,4.2305310698,12.3513,4.2253,118.2863,10.3708,-1.2329350772676E-01
Co2NiO4_1096547_POSCAR,3.7328215322,16.8374,5.1064,118.2863,10.3708,-1.8916960157078E-01
Co2NiO4_1096547_POSCAR,4.4793858386,10.2476,4.0448,118.2863,10.3708,-1.0467843556575E-01
Co2NiO4_1096547_POSCAR,4.9770953762,6.8326,3.4959,118.2863,10.3708,-8.6349800470204E-02
Co2NiO4_1096547_POSCAR,4.7282406074,8.3830,3.8343,118.2863,10.3708,-9.1229940648984E-02
Co2NiO4_1096547_POSCAR,5.4748049138,4.0701,2.3156,148.0657,10.3739,-7.6224590583294E-02
Co2NiO4_1096547_POSCAR,5.2259501450,5.4391,2.9766,119.2042,10.3708,-7.7833760248210E-02
Co2NiO4_1096547_POSCAR,5.7236596826,2.8120,1.6400,148.3715,10.9079,-6.8952507202419E-02
Co2NiO4_1096547_POSCAR,5.9725144514,1.8214,1.0786,186.2252,12.7458,-8.5544146959484E-02
Co2NiO4_1096547_POSCAR,6.2213692203,1.1412,0.6805,191.3818,13.2921,-8.9377555652655E-02
Co2NiO4_1096547_POSCAR,6.4702239891,0.7111,0.4242,480.7176,14.4960,-1.2319460322923E-01
Co2NiO4_1096547_POSCAR,6.7190787579,0.4483,0.2666,531.1358,15.1118,-1.1715003028055E-01
Co2NiO4_1096547_POSCAR,7.2167882955,0.1902,0.1117,532.7315,15.3774,-9.0381089371851E-02
Co2NiO4_1096547_POSCAR,6.9679335267,0.2885,0.1706,532.5950,15.3064,-1.0336486282809E-01
Co2NiO4_1096547_POSCAR,7.4656430643,0.1286,0.0749,532.7589,15.4087,-7.8971330800258E-02
Co2NiO4_1096547_POSCAR,7.7144978331,0.0890,0.0515,532.7675,15.4247,-6.9434989922726E-02
Co2NiO4_1096547_POSCAR,7.9633526019,0.0631,0.0362,532.7710,15.4338,-6.1676652744457E-02
Co2NiO4_1096547_POSCAR,8.2122073707,0.0457,0.0261,532.7728,15.4392,-5.5326029813900E-02
Co2NiO4_1096547_POSCAR,8.4610621396,0.0337,0.0191,532.7738,15.4427,-4.9921142129251E-02
Co2NiO4_1096547_POSCAR,8.7099169084,0.0254,0.0143,532.7744,15.4450,-4.5070858465266E-02
Co2NiO4_1096547_POSCAR,8.9587716772,0.0194,0.0109,532.7748,15.4466,-4.0537906684597E-02
Co2NiO4_1096547_POSCAR,9.2076264460,0.0151,0.0084,532.7751,15.4478,-3.6259018542129E-02
Co2NiO4_1096547_POSCAR,9.7053359836,0.0095,0.0052,532.7754,15.4492,-2.8683421818112E-02
Co2NiO4_1096547_POSCAR,9.4564812148,0.0119,0.0066,532.7753,15.4486,-3.2283824726243E-02
Co2NiO4_1096547_POSCAR,9.9541907524,0.0077,0.0042,532.7755,15.4496,-2.5501950668791E-02
Co2NiO4_1096547_POSCAR,10.2030455212,0.0063,0.0034,532.7756,15.4500,-2.2736335115215E-02
Co2NiO4_1096547_POSCAR,10.4519002900,0.0052,0.0028,532.7756,15.4502,-2.0339576657906E-02
Co2NiO4_1096547_POSCAR,10.7007550588,0.0043,0.0024,532.7757,15.4504,-1.8249986408564E-02
Co2NiO4_1096547_POSCAR,10.9496098277,0.0036,0.0020,532.7757,15.4506,-1.6403197290691E-02
Co2NiO4_1096547_POSCAR,11.1984645965,0.0031,0.0017,532.7757,15.4507,-1.4747693689088E-02
Co2NiO4_1096547_POSCAR,11.4473193653,0.0026,0.0014,532.7757,15.4508,-1.3247631222646E-02
Co2NiO4_1096547_POSCAR,11.6961741341,0.0023,0.0012,532.7758,15.4509,-1.1881460372118E-02
Co2NiO4_1096547_POSCAR,11.9450289029,0.0020,0.0011,532.7758,15.4510,-1.0635985459268E-02
Co2NiO4_1096547_POSCAR,12.1938836717,0.0017,0.0009,532.7758,15.4510,-9.5062407958672E-03
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
Co2NiO4_1153924,0.0000000000,read,real,scaling,value,N/A
