source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658,0.0000000000,read,real,scaling,value,N/A
Co2NiS4_22658_POSCAR,5.1208121268,7.3276,7.1527,118.2863,125.8109,-1.9859131239360E-01
Co2NiS4_22658_POSCAR,4.2673434390,13.5149,15.4688,118.2863,125.8109,-3.3434495150030E-01
Co2NiS4_22658_POSCAR,4.8363225642,8.5793,9.3815,118.2863,125.8109,-2.3036073533518E-01
Co2NiS4_22658_POSCAR,4.5518330016,10.6378,12.2852,118.2863,125.8109,-2.7160214110767E-01
Co2NiS4_22658_POSCAR,5.4053016894,6.6240,5.7013,118.2863,125.8109,-1.7083330623708E-01
Co2NiS4_22658_POSCAR,5.6897912521,6.1537,4.8176,118.2863,125.8109,-1.4635386106264E-01
Co2NiS4_22658_POSCAR,5.9742808147,5.6717,4.2058,118.2864,125.8109,-1.3112685829916E-01
Co2NiS4_22658_POSCAR,6.2587703773,5.0057,3.6320,148.0657,125.8109,-1.2083591355440E-01
Co2NiS4_22658_POSCAR,6.8277495025,3.0687,2.2634,148.0913,125.8219,-9.1433416476414E-02
Co2NiS4_22658_POSCAR,6.5432599399,4.0995,2.9780,148.0657,125.8109,-1.0510987647650E-01
Co2NiS4_22658_POSCAR,7.1122390651,2.1209,1.5963,181.4235,127.3784,-8.5311349081692E-02
Co2NiS4_22658_POSCAR,7.3967286277,1.3915,1.0663,186.6989,130.8592,-7.6652627940456E-02
Co2NiS4_22658_POSCAR,7.6812181903,0.8924,0.6927,293.7789,131.5108,-8.8384297558406E-02
Co2NiS4_22658_POSCAR,7.9657077529,0.5718,0.4474,524.0063,132.7919,-1.0968791449469E-01
Co2NiS4_22658_POSCAR,8.2501973155,0.3707,0.2915,532.2104,133.5143,-1.0268283391073E-01
Co2NiS4_22658_POSCAR,8.5346868781,0.2448,0.1931,532.6782,133.7598,-9.6959366200312E-02
Co2NiS4_22658_POSCAR,8.8191764407,0.1651,0.1305,532.7455,133.8516,-9.1991769449298E-02
Co2NiS4_22658_POSCAR,9.1036660033,0.1137,0.0901,532.7626,133.8926,-8.6633011945135E-02
Co2NiS4_22658_POSCAR,9.3881555659,0.0800,0.0635,532.7688,133.9137,-8.0293067898601E-02
Co2NiS4_22658_POSCAR,9.6726451285,0.0575,0.0457,532.7717,133.9256,-7.3083994773202E-02
Co2NiS4_22658_POSCAR,9.9571346911,0.0421,0.0336,532.7731,133.9329,-6.5566020005378E-02
Co2NiS4_22658_POSCAR,10.5261138163,0.0237,0.0190,532.7745,133.9408,-5.1798981474204E-02
Co2NiS4_22658_POSCAR,10.2416242537,0.0313,0.0251,532.7740,133.9376,-5.8344014622013E-02
Co2NiS4_22658_POSCAR,10.8106033789,0.0183,0.0147,532.7749,133.9430,-4.6055760292731E-02
Co2NiS4_22658_POSCAR,11.0950929415,0.0142,0.0115,532.7751,133.9445,-4.1052591364881E-02
Co2NiS4_22658_POSCAR,11.6640720667,0.0090,0.0073,532.7754,133.9465,-3.2730756561329E-02
Co2NiS4_22658_POSCAR,11.3795825041,0.0113,0.0091,532.7753,133.9457,-3.6658066778158E-02
Co2NiS4_22658_POSCAR,11.9485616293,0.0073,0.0060,532.7755,133.9472,-2.9174222896606E-02
Co2NiS4_22658_POSCAR,12.2330511919,0.0060,0.0049,532.7756,133.9477,-2.5935357686529E-02
Co2NiS4_22658_POSCAR,12.5175407545,0.0049,0.0040,532.7756,133.9480,-2.2989424597195E-02
Co2NiS4_22658_POSCAR,12.8020303171,0.0041,0.0034,532.7757,133.9483,-2.0328200844900E-02
