source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919,0.0000000000,read,real,scaling,value,N/A
CoPdO2_18919_POSCAR,2.5070011429,10.9386,4.1198,118.2863,10.3708,-6.0728910136707E-02
CoPdO2_18919_POSCAR,2.2284454603,15.5224,4.6927,118.2863,10.3708,-8.5776866071444E-02
CoPdO2_18919_POSCAR,2.0891676191,17.7498,5.5254,118.2863,10.3708,-1.0463266911936E-01
CoPdO2_18919_POSCAR,2.3677233016,13.1906,4.3234,118.2863,10.3708,-7.1110269125746E-02
CoPdO2_18919_POSCAR,2.6462789841,8.9129,3.9307,118.2863,10.3708,-5.2966006432326E-02
CoPdO2_18919_POSCAR,2.7855568254,7.2189,3.6438,118.2863,10.3708,-4.5984009481860E-02
CoPdO2_18919_POSCAR,3.0641125080,4.3255,2.5144,148.0657,10.3714,-3.6894827546752E-02
CoPdO2_18919_POSCAR,2.9248346667,5.7407,3.1717,118.2863,10.3708,-3.9572303455043E-02
CoPdO2_18919_POSCAR,3.2033903492,3.0202,1.7999,148.1066,10.5490,-3.1597729335847E-02
CoPdO2_18919_POSCAR,3.4819460318,1.2441,0.7504,187.7343,13.1071,-3.9976769804328E-02
CoPdO2_18919_POSCAR,3.3426681905,1.9742,1.1885,185.1713,12.6103,-3.2280384737156E-02
CoPdO2_18919_POSCAR,3.6212238730,0.7771,0.4675,426.5759,14.2714,-4.7861647280667E-02
CoPdO2_18919_POSCAR,3.7605017143,0.4902,0.2934,529.8696,15.0344,-4.6372338953253E-02
CoPdO2_18919_POSCAR,4.0390573968,0.2076,0.1226,532.7187,15.3663,-3.5356206555879E-02
CoPdO2_18919_POSCAR,3.8997795556,0.3152,0.1875,532.5135,15.2801,-4.0726927654769E-02
CoPdO2_18919_POSCAR,4.1783352381,0.1401,0.0821,532.7553,15.4032,-3.0664009009543E-02
CoPdO2_18919_POSCAR,4.3176130794,0.0968,0.0564,532.7661,15.4217,-2.6732362260761E-02
CoPdO2_18919_POSCAR,4.5961687619,0.0495,0.0284,532.7725,15.4380,-2.0729199399557E-02
CoPdO2_18919_POSCAR,4.7354466032,0.0365,0.0208,532.7736,15.4419,-1.8373254639778E-02
CoPdO2_18919_POSCAR,4.4568909207,0.0685,0.0396,532.7704,15.4319,-2.3470372408886E-02
CoPdO2_18919_POSCAR,4.8747244445,0.0274,0.0155,532.7743,15.4444,-1.6298528081305E-02
CoPdO2_18919_POSCAR,5.0140022857,0.0209,0.0118,532.7747,15.4462,-1.4437441263005E-02
CoPdO2_18919_POSCAR,5.2925579683,0.0127,0.0071,532.7752,15.4483,-1.1238917331579E-02
CoPdO2_18919_POSCAR,5.1532801270,0.0162,0.0091,532.7750,15.4474,-1.2754298803079E-02
CoPdO2_18919_POSCAR,5.4318358095,0.0102,0.0057,532.7754,15.4490,-9.8893272055581E-03
CoPdO2_18919_POSCAR,5.5711136508,0.0082,0.0045,532.7755,15.4495,-8.7022481324708E-03
CoPdO2_18919_POSCAR,5.8496693334,0.0055,0.0030,532.7756,15.4501,-6.7747377740856E-03
CoPdO2_18919_POSCAR,5.7103914921,0.0067,0.0037,532.7755,15.4498,-7.6693828721022E-03
CoPdO2_18919_POSCAR,5.9889471746,0.0046,0.0025,532.7756,15.4504,-5.9993100543101E-03
CoPdO2_18919_POSCAR,6.1282250159,0.0038,0.0021,532.7757,15.4505,-5.3238820546102E-03
CoPdO2_18919_POSCAR,6.2675028572,0.0033,0.0018,532.7757,15.4507,-4.7313202444057E-03
CoPdO2_18919_POSCAR,6.4067806984,0.0028,0.0015,532.7757,15.4508,-4.2073470792488E-03
CoPdO2_18919_POSCAR,6.5460585397,0.0024,0.0013,532.7758,15.4509,-3.7415470766597E-03
CoPdO2_18919_POSCAR,6.6853363810,0.0020,0.0011,532.7758,15.4510,-3.3263567277481E-03
