source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173,0.0000000000,read,real,scaling,value,N/A
Ta2Co4O9_773173_POSCAR,4.4185965866,14.9587,4.1588,458.7677,10.3708,-5.5555282044729E-01
Ta2Co4O9_773173_POSCAR,4.6785140329,12.1854,3.9714,458.7677,10.3708,-4.6965035637294E-01
Ta2Co4O9_773173_POSCAR,3.8987616941,22.5010,4.8756,458.7677,10.3708,-8.2906956446694E-01
Ta2Co4O9_773173_POSCAR,4.1586791403,18.4486,4.3974,458.7677,10.3708,-6.7224475521809E-01
Ta2Co4O9_773173_POSCAR,4.9384314792,10.1338,3.7165,458.7677,10.3708,-4.0263420153677E-01
Ta2Co4O9_773173_POSCAR,5.1983489254,8.6409,3.3207,458.7677,10.3708,-3.7076850142157E-01
Ta2Co4O9_773173_POSCAR,5.7181838180,6.5179,2.2357,458.7677,10.3767,-3.2338261602305E-01
Ta2Co4O9_773173_POSCAR,5.4582663717,7.5017,2.7962,458.7677,10.3709,-3.3085321643819E-01
Ta2Co4O9_773173_POSCAR,5.9781012642,5.5726,1.7281,458.7677,10.6700,-2.9962909544212E-01
Ta2Co4O9_773173_POSCAR,6.2380187105,4.6329,1.3037,458.7677,12.3422,-4.0923149015643E-01
Ta2Co4O9_773173_POSCAR,6.7578536031,2.8393,0.6728,465.7959,13.3167,-3.6575097859170E-01
Ta2Co4O9_773173_POSCAR,6.4979361568,3.7091,0.9548,458.7773,12.8444,-4.0233312563092E-01
Ta2Co4O9_773173_POSCAR,7.2776884956,1.4598,0.3040,659.8183,15.0007,-3.2495056216454E-01
Ta2Co4O9_773173_POSCAR,7.0177710493,2.0764,0.4574,644.7008,14.3251,-3.6068068676052E-01
Ta2Co4O9_773173_POSCAR,7.5376059419,0.9989,0.2008,842.0289,15.2573,-3.0917933001004E-01
Ta2Co4O9_773173_POSCAR,7.7975233881,0.6748,0.1335,1158.2380,15.3545,-3.0295960668152E-01
Ta2Co4O9_773173_POSCAR,8.3173582807,0.3103,0.0617,1163.8047,15.4181,-2.4162731808195E-01
Ta2Co4O9_773173_POSCAR,8.0574408344,0.4557,0.0900,1163.6378,15.3969,-2.7044263864933E-01
Ta2Co4O9_773173_POSCAR,8.5772757269,0.2142,0.0432,1163.8198,15.4298,-2.1609703997713E-01
Ta2Co4O9_773173_POSCAR,8.8371931732,0.1503,0.0308,1163.8225,15.4367,-1.9322751694275E-01
