source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269,0.0000000000,read,real,scaling,value,N/A
Ti2CoS4_1025269_POSCAR,5.3147509451,11.5488,5.7249,321.5890,125.8109,-9.1625368983945E-02
Ti2CoS4_1025269_POSCAR,4.4289591210,16.6605,14.1995,321.5890,125.8109,-1.6088280138981E-01
Ti2CoS4_1025269_POSCAR,5.0194870037,12.9802,7.4027,321.5890,125.8109,-1.0871026806446E-01
Ti2CoS4_1025269_POSCAR,4.7242230624,14.4469,10.2971,321.5890,125.8109,-1.3128950593871E-01
Ti2CoS4_1025269_POSCAR,6.2005427693,7.2178,3.8913,321.5890,125.8109,-5.9351178997431E-02
Ti2CoS4_1025269_POSCAR,5.9052788279,8.5026,4.3164,321.5890,125.8109,-6.7320987961492E-02
Ti2CoS4_1025269_POSCAR,5.6100148865,9.9930,4.8384,321.5890,125.8109,-7.8148053492193E-02
Ti2CoS4_1025269_POSCAR,6.4958067107,6.0715,3.4151,321.5890,125.8109,-5.3006887593047E-02
Ti2CoS4_1025269_POSCAR,7.6768624763,1.7782,1.0646,302.0008,130.8617,-4.1001059593711E-02
Ti2CoS4_1025269_POSCAR,7.0863345935,3.7435,2.1922,321.5890,125.8303,-4.2545896951692E-02
Ti2CoS4_1025269_POSCAR,6.7910706521,4.9227,2.8369,321.5890,125.8110,-4.6569932092217E-02
