source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396,0.0000000000,read,real,scaling,value,N/A
Y_CoS2_2_1045396_POSCAR,4.9354591592,17.6778,10.0467,451.0845,125.8109,-2.1751025704684E-01
Y_CoS2_2_1045396_POSCAR,5.2439253566,12.1751,8.0390,451.0845,125.8109,-1.8100475478030E-01
Y_CoS2_2_1045396_POSCAR,4.6269929617,24.6936,12.8940,451.0845,125.8109,-2.6724048648750E-01
Y_CoS2_2_1045396_POSCAR,5.5523915541,8.6104,6.5909,451.0845,125.8109,-1.5439417822869E-01
Y_CoS2_2_1045396_POSCAR,5.8608577515,6.5066,5.4908,451.0845,125.8109,-1.3579339598860E-01
Y_CoS2_2_1045396_POSCAR,6.1693239490,5.3325,4.6640,451.0845,125.8109,-1.2116104063138E-01
Y_CoS2_2_1045396_POSCAR,6.7862563438,4.1911,3.2968,451.0849,125.8109,-9.8675115482554E-02
Y_CoS2_2_1045396_POSCAR,6.4777901464,4.6593,3.9781,451.0845,125.8109,-1.1411221372358E-01
Y_CoS2_2_1045396_POSCAR,7.0947225413,3.7383,2.5908,451.0982,125.8117,-8.4636409237342E-02
Y_CoS2_2_1045396_POSCAR,7.4031887387,3.1940,1.9247,452.0372,125.9701,-7.7734305752281E-02
Y_CoS2_2_1045396_POSCAR,7.7116549362,2.5495,1.3634,574.5131,129.6233,-7.3482913214669E-02
Y_CoS2_2_1045396_POSCAR,8.0201211336,1.8887,0.9299,1116.2448,131.0314,-8.8604567730972E-02
Y_CoS2_2_1045396_POSCAR,8.3285873311,1.3160,0.6177,1136.1569,131.8235,-9.8868654355697E-02
Y_CoS2_2_1045396_POSCAR,8.9455197260,0.5839,0.2666,2361.0761,133.5906,-9.8700713475229E-02
Y_CoS2_2_1045396_POSCAR,8.6370535285,0.8832,0.4055,2021.3247,133.0241,-1.0329370611987E-01
Y_CoS2_2_1045396_POSCAR,9.2539859234,0.3867,0.1773,2365.6570,133.7868,-9.1366554031102E-02
Y_CoS2_2_1045396_POSCAR,9.5624521209,0.2591,0.1199,2365.8592,133.8635,-8.4222122836070E-02
Y_CoS2_2_1045396_POSCAR,10.1793845158,0.1224,0.0582,2365.8884,133.9174,-6.9145636658737E-02
Y_CoS2_2_1045396_POSCAR,9.8709183183,0.1764,0.0827,2365.8831,133.8989,-7.6794656335723E-02
Y_CoS2_2_1045396_POSCAR,10.4878507132,0.0865,0.0418,2365.8901,133.9281,-6.1626525565459E-02
Y_CoS2_2_1045396_POSCAR,10.7963169107,0.0624,0.0306,2365.8909,133.9346,-5.4604962311607E-02
Y_CoS2_2_1045396_POSCAR,11.1047831081,0.0458,0.0228,2365.8912,133.9388,-4.8287913355566E-02
Y_CoS2_2_1045396_POSCAR,11.4132493056,0.0343,0.0173,2365.8914,133.9417,-4.2726882273219E-02
Y_CoS2_2_1045396_POSCAR,11.7217155030,0.0260,0.0133,2365.8916,133.9437,-3.7852729440174E-02
Y_CoS2_2_1045396_POSCAR,12.0301817005,0.0200,0.0104,2365.8916,133.9451,-3.3556857878303E-02
Y_CoS2_2_1045396_POSCAR,12.3386478979,0.0156,0.0082,2365.8917,133.9461,-2.9739411820324E-02
