source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1103973_POSCAR,4.6911610331,11.8675,4.0424,153.3435,10.3708,-1.5911818155838E-01
Cr2CuO4_1103973_POSCAR,4.4305409757,13.5669,4.1867,153.3435,10.3708,-1.7609346618695E-01
Cr2CuO4_1103973_POSCAR,3.9093008609,17.5979,4.8870,153.3435,10.3708,-2.4426506181288E-01
Cr2CuO4_1103973_POSCAR,4.1699209183,15.4743,4.4083,153.3435,10.3708,-2.0213782265280E-01
Cr2CuO4_1103973_POSCAR,5.4730212053,6.5951,3.0934,153.3435,10.3708,-1.0532712317605E-01
Cr2CuO4_1103973_POSCAR,5.7336412626,4.9452,2.4412,285.6905,10.3720,-1.1698915758891E-01
Cr2CuO4_1103973_POSCAR,4.9517810905,10.1380,3.8696,153.3435,10.3708,-1.4336248343571E-01
Cr2CuO4_1103973_POSCAR,5.2124011479,8.3416,3.5760,153.3435,10.3708,-1.2485232555503E-01
Cr2CuO4_1103973_POSCAR,6.7761214922,0.9017,0.4567,476.7359,14.3285,-1.0641837651284E-01
Cr2CuO4_1103973_POSCAR,5.9942613200,3.4622,1.7472,285.6905,10.6322,-1.0007730140632E-01
Cr2CuO4_1103973_POSCAR,6.2548813774,2.2760,1.1565,285.6905,12.6586,-9.1189336350967E-02
Cr2CuO4_1103973_POSCAR,6.5155014348,1.4406,0.7319,285.8209,13.1492,-8.6106384719656E-02
Cr2CuO4_1103973_POSCAR,7.2973616070,0.3655,0.1833,690.5692,15.2870,-1.0541441508818E-01
Cr2CuO4_1103973_POSCAR,7.0367415496,0.5689,0.2868,687.3817,15.0545,-1.1864920296454E-01
Cr2CuO4_1103973_POSCAR,7.5579816644,0.2403,0.1198,690.7147,15.3693,-9.3523192590449E-02
Cr2CuO4_1103973_POSCAR,7.8186017218,0.1618,0.0802,690.7337,15.4048,-8.3638072803241E-02
Cr2CuO4_1103973_POSCAR,8.6004618940,0.0567,0.0276,690.7406,15.4384,-6.0394641664429E-02
Cr2CuO4_1103973_POSCAR,8.3398418366,0.0787,0.0386,690.7399,15.4324,-6.7624374789931E-02
Cr2CuO4_1103973_POSCAR,8.0792217792,0.1116,0.0550,690.7383,15.4225,-7.5237494631290E-02
Cr2CuO4_1103973_POSCAR,8.8610819514,0.0417,0.0202,690.7410,15.4422,-5.3512189856956E-02
Cr2CuO4_1103973_POSCAR,9.6429421235,0.0184,0.0088,690.7414,15.4476,-3.6430853275911E-02
Cr2CuO4_1103973_POSCAR,9.3823220662,0.0238,0.0114,690.7413,15.4464,-4.1421211759173E-02
Cr2CuO4_1103973_POSCAR,9.1217020088,0.0313,0.0151,690.7412,15.4447,-4.7133558161660E-02
Cr2CuO4_1103973_POSCAR,9.9035621809,0.0145,0.0069,690.7415,15.4484,-3.2117336941793E-02
Cr2CuO4_1103973_POSCAR,10.4248022957,0.0093,0.0044,690.7416,15.4495,-2.5112695676582E-02
Cr2CuO4_1103973_POSCAR,10.1641822383,0.0115,0.0055,690.7415,15.4491,-2.8381417319130E-02
Cr2CuO4_1103973_POSCAR,10.6854223531,0.0075,0.0036,690.7416,15.4499,-2.2216943810461E-02
Cr2CuO4_1103973_POSCAR,10.9460424105,0.0062,0.0029,690.7416,15.4502,-1.9634690250478E-02
Cr2CuO4_1103973_POSCAR,11.2066624679,0.0051,0.0024,690.7416,15.4504,-1.7325503546558E-02
Cr2CuO4_1103973_POSCAR,11.7279025827,0.0037,0.0017,690.7416,15.4507,-1.3434684046621E-02
Cr2CuO4_1103973_POSCAR,11.4672825253,0.0043,0.0020,690.7416,15.4506,-1.5264857712249E-02
Cr2CuO4_1103973_POSCAR,11.9885226401,0.0031,0.0015,690.7416,15.4508,-1.1816195258664E-02
Cr2CuO4_1103973_POSCAR,12.5097627549,0.0023,0.0011,690.7416,15.4510,-9.1459913892636E-03
Cr2CuO4_1103973_POSCAR,12.2491426975,0.0027,0.0013,690.7416,15.4509,-1.0392590229424E-02
Cr2CuO4_1103973_POSCAR,12.7703828123,0.0020,0.0009,690.7416,15.4510,-8.0564650166626E-03
Cr2CuO4_1272781,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1272781,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1272781,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1272781,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1272781,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1272781,0.0000000000,read,real,scaling,value,N/A
Cr2CuO4_1272781,0.0000000000,read,real,scaling,value,N/A
