source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184,0.0000000000,read,real,scaling,value,N/A
Cr10Fe5O24_771184_POSCAR,4.4919989485,15.3653,4.5968,153.3435,10.3708,-5.0720449973794E-01
Cr10Fe5O24_771184_POSCAR,4.7914655451,13.9861,4.2762,153.3435,10.3708,-4.0986116266122E-01
Cr10Fe5O24_771184_POSCAR,5.0909321417,12.6666,4.1192,153.3435,10.3708,-3.4325428335553E-01
Cr10Fe5O24_771184_POSCAR,5.3903987382,11.2835,3.9964,153.3435,10.3708,-2.9555943973880E-01
Cr10Fe5O24_771184_POSCAR,5.9893319314,8.0160,3.4892,153.3435,10.3708,-2.4948421011538E-01
Cr10Fe5O24_771184_POSCAR,6.5882651245,4.7678,2.2599,285.6905,10.3757,-2.5520667217255E-01
Cr10Fe5O24_771184_POSCAR,5.6898653348,9.7107,3.8168,153.3435,10.3708,-2.8711740301987E-01
Cr10Fe5O24_771184_POSCAR,6.2887985279,6.3424,2.9536,153.3673,10.3708,-2.3129801924119E-01
Cr10Fe5O24_771184_POSCAR,6.8877317211,3.3718,1.5667,285.6905,11.1916,-2.2797502945296E-01
Cr10Fe5O24_771184_POSCAR,7.4866649142,1.4436,0.6315,285.8152,13.4661,-1.9777263531490E-01
Cr10Fe5O24_771184_POSCAR,7.1871983176,2.2505,1.0122,285.6905,12.8006,-2.0806762163209E-01
Cr10Fe5O24_771184_POSCAR,7.7861315108,0.9111,0.3916,462.7747,14.6536,-2.5851756138556E-01
Cr10Fe5O24_771184_POSCAR,8.0855981073,0.5767,0.2456,686.9798,15.1645,-2.9261471399251E-01
Cr10Fe5O24_771184_POSCAR,8.3850647039,0.3705,0.1572,690.5561,15.3252,-2.5993035731640E-01
