source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707,0.0000000000,read,real,scaling,value,N/A
Cr12Fe3S20_1226707_POSCAR,7.0055628666,9.0360,7.9271,153.3435,125.8109,-5.0381216175302E-01
Cr12Fe3S20_1226707_POSCAR,6.2271669925,11.9971,13.2540,153.3435,125.8109,-7.2982075229581E-01
Cr12Fe3S20_1226707_POSCAR,6.6163649296,10.2144,10.2102,153.3435,125.8109,-6.0516817338577E-01
Cr12Fe3S20_1226707_POSCAR,5.8379690555,15.0706,16.4708,153.3435,125.8109,-8.8187169425919E-01
Cr12Fe3S20_1226707_POSCAR,8.5623546148,5.2603,3.6815,285.6905,125.8109,-3.7019398192710E-01
Cr12Fe3S20_1226707_POSCAR,7.3947608036,8.1106,6.4477,153.3435,125.8109,-4.2332485828058E-01
Cr12Fe3S20_1226707_POSCAR,8.1731566777,6.3064,4.5897,153.6426,125.8109,-3.1055439232196E-01
Cr12Fe3S20_1226707_POSCAR,7.7839587407,7.2355,5.4495,153.3435,125.8109,-3.6016649790892E-01
Cr12Fe3S20_1226707_POSCAR,9.3407504888,2.9418,1.8861,285.6905,126.0251,-2.8469895571066E-01
Cr12Fe3S20_1226707_POSCAR,9.7299484259,1.9753,1.2308,285.6906,130.4269,-2.5464117427353E-01
Cr12Fe3S20_1226707_POSCAR,8.9515525518,4.0953,2.7372,285.6905,125.8112,-3.2360057450386E-01
Cr12Fe3S20_1226707_POSCAR,10.1191463629,1.2746,0.7826,287.1597,131.2593,-2.3152879886316E-01
Cr12Fe3S20_1226707_POSCAR,10.5083442999,0.8118,0.4964,598.5254,132.5019,-2.5716079250979E-01
Cr12Fe3S20_1226707_POSCAR,10.8975422370,0.5198,0.3186,689.0968,133.4191,-3.2136291820839E-01
Cr12Fe3S20_1226707_POSCAR,11.6759381110,0.2244,0.1396,690.7205,133.8407,-2.7807881174385E-01
Cr12Fe3S20_1226707_POSCAR,11.2867401740,0.3380,0.2085,690.6265,133.7305,-3.0059708743058E-01
Cr12Fe3S20_1226707_POSCAR,12.4543339851,0.1056,0.0670,690.7386,133.9111,-2.3256996811069E-01
Cr12Fe3S20_1226707_POSCAR,12.8435319221,0.0748,0.0480,690.7400,133.9242,-2.0957005998831E-01
Cr12Fe3S20_1226707_POSCAR,13.2327298592,0.0541,0.0351,690.7407,133.9320,-1.8723112714679E-01
Cr12Fe3S20_1226707_POSCAR,12.0651360481,0.1522,0.0956,690.7348,133.8877,-2.5551683485350E-01
Cr12Fe3S20_1226707_POSCAR,13.6219277962,0.0399,0.0262,690.7410,133.9370,-1.6628854573070E-01
Cr12Fe3S20_1226707_POSCAR,14.0111257332,0.0299,0.0199,690.7412,133.9404,-1.4722559889526E-01
Cr12Fe3S20_1226707_POSCAR,14.7895216073,0.0177,0.0119,690.7414,133.9443,-1.1514820529261E-01
Cr12Fe3S20_1226707_POSCAR,14.4003236703,0.0228,0.0153,690.7413,133.9427,-1.3020670163603E-01
Cr12Fe3S20_1226707_POSCAR,15.1787195443,0.0138,0.0094,690.7415,133.9455,-1.0184259440942E-01
Cr12Fe3S20_1226707_POSCAR,15.5679174814,0.0110,0.0076,690.7415,133.9464,-9.0051338447114E-02
Cr12Fe3S20_1226707_POSCAR,15.9571154184,0.0088,0.0062,690.7416,133.9471,-7.9562764368337E-02
Cr12Fe3S20_1226707_POSCAR,16.3463133554,0.0072,0.0051,690.7416,133.9476,-7.0215733955996E-02
Cr12Fe3S20_1226707_POSCAR,16.7355112925,0.0059,0.0042,690.7416,133.9480,-6.1886723768553E-02
Cr12Fe3S20_1226707_POSCAR,17.5139071665,0.0041,0.0030,690.7416,133.9485,-4.7925757021144E-02
Cr12Fe3S20_1226707_POSCAR,17.1247092295,0.0049,0.0035,690.7416,133.9483,-5.4483492521526E-02
Cr12Fe3S20_1226707_POSCAR,17.9031051036,0.0035,0.0025,690.7416,133.9487,-4.2140086849722E-02
Cr12Fe3S20_1226707_POSCAR,18.2923030406,0.0029,0.0022,690.7416,133.9489,-3.7058089281022E-02
Cr12Fe3S20_1226707_POSCAR,18.6815009776,0.0025,0.0019,690.7416,133.9490,-3.2607217429782E-02
Cr12Fe3S20_1226707_POSCAR,19.0706989147,0.0022,0.0016,690.7416,133.9492,-2.8716668534023E-02
Cr2FeS4_1078247,0.0000000000,read,real,scaling,value,N/A
Cr2FeS4_1078247,0.0000000000,read,real,scaling,value,N/A
Cr2FeS4_1078247,0.0000000000,read,real,scaling,value,N/A
