source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474,0.0000000000,read,real,scaling,value,N/A
Mn2Cr13S20_1222474_POSCAR,5.7563782971,13.6702,15.8097,113.8463,125.8109,-8.4324735289726E-01
Mn2Cr13S20_1222474_POSCAR,6.5238954034,9.9081,9.6978,113.8463,125.8109,-5.7641268192024E-01
Mn2Cr13S20_1222474_POSCAR,6.9076539566,8.7695,7.6126,113.8463,125.8109,-4.8055084828720E-01
Mn2Cr13S20_1222474_POSCAR,6.1401368503,11.3488,12.5842,113.8463,125.8109,-6.9515670908240E-01
Mn2Cr13S20_1222474_POSCAR,7.2914125097,7.7211,6.2632,113.8463,125.8109,-4.0411636435671E-01
Mn2Cr13S20_1222474_POSCAR,8.4426881691,4.2357,3.4947,239.5554,125.8109,-3.5530083858781E-01
Mn2Cr13S20_1222474_POSCAR,8.0589296160,5.4894,4.4460,239.5554,125.8109,-3.3653304056350E-01
Mn2Cr13S20_1222474_POSCAR,7.6751710629,6.6509,5.3163,113.8463,125.8109,-3.4413324944854E-01
Mn2Cr13S20_1222474_POSCAR,9.2102052754,2.0048,1.6876,239.5555,126.7087,-2.7343743631382E-01
Mn2Cr13S20_1222474_POSCAR,9.9777223817,0.8016,0.6771,505.9610,131.5677,-2.4187574428306E-01
Mn2Cr13S20_1222474_POSCAR,9.5939638286,1.2771,1.0777,240.4551,130.8409,-2.4580256872784E-01
Mn2Cr13S20_1222474_POSCAR,8.8264467223,3.0166,2.5224,239.5554,125.8123,-3.1026678395602E-01
Mn2Cr13S20_1222474_POSCAR,10.3614809349,0.5057,0.4275,790.6847,132.9051,-2.7406437327283E-01
Mn2Cr13S20_1222474_POSCAR,10.7452394880,0.3243,0.2744,801.6116,133.5679,-3.2734214702062E-01
Mn2Cr13S20_1222474_POSCAR,11.5127565943,0.1428,0.1210,802.6434,133.8624,-2.8359530618295E-01
Mn2Cr13S20_1222474_POSCAR,11.1289980411,0.2127,0.1801,802.4855,133.7823,-3.0634257568121E-01
Mn2Cr13S20_1222474_POSCAR,11.8965151474,0.0981,0.0833,802.6899,133.8984,-2.6014132478023E-01
Mn2Cr13S20_1222474_POSCAR,12.2802737006,0.0690,0.0587,802.7085,133.9171,-2.3604045935013E-01
Mn2Cr13S20_1222474_POSCAR,12.6640322537,0.0496,0.0423,802.7175,133.9278,-2.1192539284322E-01
Mn2Cr13S20_1222474_POSCAR,13.0477908069,0.0364,0.0311,802.7224,133.9343,-1.8867553239732E-01
Mn2Cr13S20_1222474_POSCAR,13.8153079131,0.0206,0.0177,802.7272,133.9415,-1.4758397874634E-01
Mn2Cr13S20_1222474_POSCAR,13.4315493600,0.0272,0.0233,802.7254,133.9386,-1.6707291072428E-01
Mn2Cr13S20_1222474_POSCAR,14.1990664663,0.0159,0.0137,802.7285,133.9435,-1.3030033473435E-01
Mn2Cr13S20_1222474_POSCAR,14.5828250194,0.0125,0.0107,802.7294,133.9449,-1.1507135791330E-01
Mn2Cr13S20_1222474_POSCAR,14.9665835726,0.0099,0.0085,802.7300,133.9460,-1.0163093348976E-01
Mn2Cr13S20_1222474_POSCAR,15.3503421257,0.0079,0.0069,802.7305,133.9467,-8.9714355334570E-02
Mn2Cr13S20_1222474_POSCAR,16.1178592320,0.0053,0.0046,802.7311,133.9478,-6.9643745297922E-02
Mn2Cr13S20_1222474_POSCAR,15.7341006789,0.0065,0.0056,802.7308,133.9473,-7.9104071653424E-02
Mn2Cr13S20_1222474_POSCAR,16.8853763383,0.0037,0.0032,802.7315,133.9484,-5.3750407671243E-02
Mn2Cr13S20_1222474_POSCAR,16.5016177851,0.0044,0.0038,802.7313,133.9481,-6.1221358228232E-02
Mn2Cr13S20_1222474_POSCAR,17.2691348914,0.0031,0.0027,802.7316,133.9487,-4.7156504622021E-02
Mn2Cr13S20_1222474_POSCAR,17.6528934446,0.0026,0.0023,802.7317,133.9488,-4.1364960122814E-02
Mn2Cr13S20_1222474_POSCAR,18.0366519977,0.0023,0.0020,802.7318,133.9490,-3.6299215603238E-02
Mn2Cr13S20_1222474_POSCAR,18.4204105509,0.0019,0.0017,802.7319,133.9491,-3.1881196209018E-02
Mn2Cr13S20_1222474_POSCAR,18.8041691040,0.0017,0.0015,802.7319,133.9492,-2.8036504909827E-02
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000,0.0000000000,read,real,scaling,value,N/A
Mn_CrS2_2_1078000_POSCAR,4.6083654436,11.3550,12.8876,113.8463,125.8109,-1.4196515604516E-01
Mn_CrS2_2_1078000_POSCAR,5.5300385324,7.7401,6.2163,113.8463,125.8109,-7.7966039364158E-02
Mn_CrS2_2_1078000_POSCAR,5.2228141694,8.7151,7.5623,113.8463,125.8109,-9.4476842609486E-02
Mn_CrS2_2_1078000_POSCAR,4.9155898065,9.8264,9.7971,113.8463,125.8109,-1.1587728069834E-01
Mn_CrS2_2_1078000_POSCAR,5.8372628953,6.7143,5.3719,113.8463,125.8109,-6.5688070985379E-02
Mn_CrS2_2_1078000_POSCAR,6.1444872582,5.5450,4.6468,239.5553,125.8109,-6.4300078179141E-02
Mn_CrS2_2_1078000_POSCAR,6.4517116211,4.2382,3.8307,239.5554,125.8109,-6.9924612688866E-02
Mn_CrS2_2_1078000_POSCAR,6.7589359840,2.9538,2.9182,239.5554,125.8110,-6.1570314908480E-02
Mn_CrS2_2_1078000_POSCAR,7.0661603469,1.9062,2.0434,239.5556,125.8740,-5.3779190903311E-02
Mn_CrS2_2_1078000_POSCAR,7.6806090727,0.7210,0.8452,648.5354,131.1441,-5.0474191865139E-02
Mn_CrS2_2_1078000_POSCAR,7.3733847098,1.1787,1.3386,242.8209,129.8142,-4.7216242166956E-02
Mn_CrS2_2_1078000_POSCAR,7.9878334356,0.4456,0.5284,797.2028,132.3102,-5.0884045819289E-02
Mn_CrS2_2_1078000_POSCAR,8.2950577985,0.2813,0.3334,802.1016,133.3614,-6.0027243321660E-02
Mn_CrS2_2_1078000_POSCAR,8.9095065243,0.1210,0.1409,802.6694,133.8390,-5.0991821611608E-02
