source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480,0.0000000000,read,real,scaling,value,N/A
Cr14MoO24_674480_POSCAR,4.0540297760,14.6260,4.4668,153.3435,10.3708,-4.7172757554089E-01
