source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
Cr_MoS2_2_542188,0.0000000000,read,real,scaling,value,N/A
