source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584,0.0000000000,read,real,scaling,value,N/A
CrPtO2_755584_POSCAR,2.1551460212,15.1701,4.3353,153.3435,10.3708,-6.7886723900273E-02
CrPtO2_755584_POSCAR,2.0283727258,17.2007,4.7020,153.3435,10.3708,-8.1979481603547E-02
CrPtO2_755584_POSCAR,2.2819193166,13.1527,4.1480,153.3435,10.3708,-5.6870346740010E-02
CrPtO2_755584_POSCAR,1.9015994305,19.2088,5.5404,153.3435,10.3708,-1.0085995119905E-01
CrPtO2_755584_POSCAR,2.5354659073,9.2829,3.8027,153.3435,10.3708,-4.0427658511636E-02
CrPtO2_755584_POSCAR,2.7890124980,5.7811,2.9296,285.6905,10.3708,-3.9113885524682E-02
CrPtO2_755584_POSCAR,2.4086926119,11.2042,4.0021,153.3435,10.3708,-4.7632243743642E-02
CrPtO2_755584_POSCAR,2.6622392027,7.4637,3.4625,153.3435,10.3708,-3.5434833218550E-02
CrPtO2_755584_POSCAR,3.0425590888,2.9008,1.5817,285.6905,11.1275,-3.3422066588292E-02
CrPtO2_755584_POSCAR,2.9157857934,4.2312,2.2542,285.6905,10.3759,-3.5861741717344E-02
CrPtO2_755584_POSCAR,3.2961056795,1.2011,0.6605,289.9670,13.3586,-3.0745248745534E-02
CrPtO2_755584_POSCAR,3.1693323841,1.8902,1.0390,285.6907,12.7796,-3.3158746342598E-02
CrPtO2_755584_POSCAR,3.4228789749,0.7614,0.4171,640.8990,14.5315,-3.7761641149089E-02
CrPtO2_755584_POSCAR,3.8031988610,0.2137,0.1147,690.7236,15.3744,-2.8351734784475E-02
CrPtO2_755584_POSCAR,3.6764255656,0.3195,0.1728,690.6540,15.3032,-3.1556259625733E-02
CrPtO2_755584_POSCAR,3.5496522702,0.4885,0.2660,689.6993,15.1132,-3.5181610312238E-02
CrPtO2_755584_POSCAR,3.9299721563,0.1462,0.0779,690.7355,15.4065,-2.5554190676436E-02
CrPtO2_755584_POSCAR,4.3102920424,0.0534,0.0278,690.7407,15.4383,-1.8250649011787E-02
CrPtO2_755584_POSCAR,4.1835187471,0.0733,0.0384,690.7401,15.4325,-2.0581690001397E-02
CrPtO2_755584_POSCAR,4.0567454517,0.1024,0.0541,690.7388,15.4231,-2.3006856532617E-02
CrPtO2_755584_POSCAR,4.4370653378,0.0397,0.0205,690.7410,15.4420,-1.6061334959568E-02
CrPtO2_755584_POSCAR,4.5638386332,0.0300,0.0154,690.7412,15.4445,-1.4075185396855E-02
CrPtO2_755584_POSCAR,4.6906119285,0.0231,0.0118,690.7413,15.4462,-1.2326163683824E-02
CrPtO2_755584_POSCAR,4.8173852239,0.0180,0.0091,690.7414,15.4474,-1.0812179903927E-02
CrPtO2_755584_POSCAR,5.0709318146,0.0114,0.0057,690.7415,15.4490,-8.3723983674654E-03
CrPtO2_755584_POSCAR,4.9441585192,0.0142,0.0072,690.7415,15.4483,-9.5059625286906E-03
CrPtO2_755584_POSCAR,5.3244784053,0.0075,0.0038,690.7416,15.4498,-6.5008777367754E-03
CrPtO2_755584_POSCAR,5.1977051100,0.0092,0.0046,690.7416,15.4494,-7.3787764236745E-03
CrPtO2_755584_POSCAR,5.4512517007,0.0062,0.0031,690.7416,15.4501,-5.7215597548258E-03
CrPtO2_755584_POSCAR,5.5780249961,0.0052,0.0026,690.7416,15.4503,-5.0305367363166E-03
CrPtO2_755584_POSCAR,5.7047982914,0.0044,0.0022,690.7416,15.4505,-4.4194965759759E-03
CrPtO2_755584_POSCAR,5.8315715868,0.0037,0.0018,690.7416,15.4507,-3.8813645877789E-03
CrPtO2_755584_POSCAR,5.9583448822,0.0031,0.0016,690.7416,15.4508,-3.4092738932082E-03
CrPtO2_755584_POSCAR,6.0851181775,0.0027,0.0013,690.7416,15.4509,-2.9969652980499E-03
CrPtO2_755584_POSCAR,6.2118914729,0.0023,0.0012,690.7416,15.4509,-2.6378391178875E-03
