source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739,0.0000000000,read,real,scaling,value,N/A
ZrCrS4_1247739_POSCAR,5.2406512967,12.5186,5.5475,458.6896,125.8109,-1.4902518393659E-01
