source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_760128_POSCAR,4.8581329250,14.7534,4.3321,113.8463,10.3708,-4.2017047436865E-01
Mn11Cu7O24_760128_POSCAR,5.1617662328,12.7928,4.1398,113.8463,10.3708,-3.4496318363635E-01
Mn11Cu7O24_760128_POSCAR,4.5544996172,16.9036,4.7243,113.8463,10.3708,-5.2483181262228E-01
Mn11Cu7O24_760128_POSCAR,5.4653995406,10.9420,3.9885,113.8463,10.3708,-2.9498045737000E-01
Mn11Cu7O24_760128_POSCAR,5.7690328485,9.0850,3.7709,113.8463,10.3708,-2.5961323328475E-01
Mn11Cu7O24_760128_POSCAR,6.3762994641,5.6998,2.8107,237.1741,10.3709,-2.5706649643457E-01
Mn11Cu7O24_760128_POSCAR,6.6799327719,4.1834,2.1081,239.5554,10.3872,-2.4126581744931E-01
Mn11Cu7O24_760128_POSCAR,6.0726661563,7.3249,3.3917,113.8463,10.3708,-2.3103299256394E-01
Mn11Cu7O24_760128_POSCAR,7.2871993875,1.8464,0.9263,239.5559,12.8675,-2.0064092613686E-01
Mn11Cu7O24_760128_POSCAR,6.9835660797,2.8603,1.4425,239.5554,11.7812,-2.1966845560846E-01
Mn11Cu7O24_760128_POSCAR,7.8944660032,0.7215,0.3580,647.8110,14.8012,-3.0961867668534E-01
Mn11Cu7O24_760128_POSCAR,7.5908326953,1.1569,0.5770,243.8972,13.7041,-1.9738051350854E-01
Mn11Cu7O24_760128_POSCAR,8.5017326188,0.2934,0.1442,801.9902,15.3418,-2.8077782291322E-01
Mn11Cu7O24_760128_POSCAR,8.1980993110,0.4555,0.2249,796.4490,15.2106,-3.1414676566556E-01
Mn11Cu7O24_760128_POSCAR,8.8053659266,0.1937,0.0948,802.5435,15.3928,-2.4732719935706E-01
Mn11Cu7O24_760128_POSCAR,9.1089992344,0.1310,0.0638,802.6584,15.4167,-2.1788745223366E-01
Mn11Cu7O24_760128_POSCAR,9.4126325422,0.0908,0.0441,802.6953,15.4293,-1.9341707282742E-01
Mn11Cu7O24_760128_POSCAR,9.7162658500,0.0644,0.0311,802.7108,15.4365,-1.7323356750629E-01
Mn11Cu7O24_760128_POSCAR,10.3235324657,0.0345,0.0166,802.7230,15.4440,-1.4046619895918E-01
Mn11Cu7O24_760128_POSCAR,10.0198991579,0.0466,0.0225,802.7186,15.4410,-1.5599934666131E-01
Mn11Cu7O24_760128_POSCAR,10.9307990813,0.0198,0.0095,802.7275,15.4473,-1.1219566310782E-01
Mn11Cu7O24_760128_POSCAR,10.6271657735,0.0259,0.0124,802.7257,15.4459,-1.2591340549291E-01
Mn11Cu7O24_760128_POSCAR,11.2344323891,0.0154,0.0073,802.7286,15.4482,-9.9485756943897E-02
Mn11Cu7O24_760128_POSCAR,11.5380656969,0.0122,0.0058,802.7295,15.4489,-8.8013942809404E-02
Mn11Cu7O24_760128_POSCAR,12.1453323126,0.0078,0.0037,802.7305,15.4498,-6.9116093784789E-02
Mn11Cu7O24_760128_POSCAR,11.8416990047,0.0097,0.0046,802.7301,15.4494,-7.7903487235117E-02
Mn11Cu7O24_760128_POSCAR,12.4489656204,0.0064,0.0030,802.7309,15.4501,-6.1496740631731E-02
Mn11Cu7O24_760128_POSCAR,12.7525989282,0.0053,0.0025,802.7311,15.4504,-5.4850746919695E-02
Mn11Cu7O24_760128_POSCAR,13.3598655438,0.0037,0.0018,802.7315,15.4507,-4.3748756063819E-02
Mn11Cu7O24_760128_POSCAR,13.0562322360,0.0044,0.0021,802.7313,15.4505,-4.8984745872841E-02
Mn11Cu7O24_760128_POSCAR,13.6634988516,0.0032,0.0015,802.7316,15.4508,-3.9039455440775E-02
Mn11Cu7O24_760128_POSCAR,13.9671321594,0.0027,0.0013,802.7317,15.4509,-3.4787499631411E-02
Mn11Cu7O24_760128_POSCAR,14.5743987751,0.0020,0.0010,802.7318,15.4510,-2.7512099999311E-02
Mn11Cu7O24_760128_POSCAR,14.2707654672,0.0023,0.0011,802.7318,15.4510,-3.0953283448177E-02
Mn11Cu7O24_760128_POSCAR,14.8780320829,0.0017,0.0008,802.7319,15.4511,-2.4433237854160E-02
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492,0.0000000000,read,real,scaling,value,N/A
Mn11Cu7O24_765492_POSCAR,4.3920924180,16.8930,4.7062,113.8463,10.3708,-5.2065142198254E-01
Mn11Cu7O24_765492_POSCAR,4.6848985792,14.7356,4.3218,113.8463,10.3708,-4.1694214397950E-01
Mn11Cu7O24_765492_POSCAR,5.2705109016,10.8604,3.9676,113.8463,10.3708,-2.9331750271006E-01
Mn11Cu7O24_765492_POSCAR,4.9777047404,12.7444,4.1286,113.8463,10.3708,-3.4271094644267E-01
Mn11Cu7O24_765492_POSCAR,6.1489293852,5.6732,2.7597,239.1391,10.3709,-2.5257829997753E-01
Mn11Cu7O24_765492_POSCAR,5.8561232240,7.2667,3.3361,113.8463,10.3708,-2.2970876102869E-01
Mn11Cu7O24_765492_POSCAR,5.5633170628,9.0004,3.7316,113.8463,10.3708,-2.5820081236666E-01
Mn11Cu7O24_765492_POSCAR,6.4417355464,4.1776,2.0814,239.5554,10.3910,-2.3966304795597E-01
Mn11Cu7O24_765492_POSCAR,7.3201540300,1.1586,0.5819,243.7987,13.6810,-1.9772056362718E-01
Mn11Cu7O24_765492_POSCAR,6.7345417076,2.8622,1.4372,239.5554,11.8065,-2.1856818432120E-01
Mn11Cu7O24_765492_POSCAR,7.6129601912,0.7225,0.3618,646.3944,14.7855,-3.0773211742986E-01
Mn11Cu7O24_765492_POSCAR,7.0273478688,1.8491,0.9300,239.5559,12.8645,-1.9975094284406E-01
Mn11Cu7O24_765492_POSCAR,8.1985725136,0.2937,0.1458,801.9880,15.3399,-2.7848130889529E-01
Mn11Cu7O24_765492_POSCAR,8.4913786748,0.1938,0.0957,802.5433,15.3920,-2.4521794550387E-01
Mn11Cu7O24_765492_POSCAR,7.9057663524,0.4559,0.2274,796.4114,15.2054,-3.1192494513743E-01
Mn11Cu7O24_765492_POSCAR,8.7841848360,0.1310,0.0644,802.6583,15.4163,-2.1604077473393E-01
Mn11Cu7O24_765492_POSCAR,9.0769909972,0.0908,0.0444,802.6953,15.4290,-1.9176097979005E-01
Mn11Cu7O24_765492_POSCAR,9.3697971584,0.0644,0.0314,802.7109,15.4364,-1.7165687790002E-01
Mn11Cu7O24_765492_POSCAR,9.9554094808,0.0345,0.0166,802.7230,15.4439,-1.3894726811661E-01
Mn11Cu7O24_765492_POSCAR,9.6626033196,0.0466,0.0226,802.7186,15.4410,-1.5444072368420E-01
Mn11Cu7O24_765492_POSCAR,10.2482156420,0.0259,0.0125,802.7257,15.4459,-1.2450408425652E-01
Mn11Cu7O24_765492_POSCAR,10.5410218032,0.0198,0.0095,802.7275,15.4473,-1.1094749787892E-01
Mn11Cu7O24_765492_POSCAR,10.8338279644,0.0154,0.0074,802.7287,15.4482,-9.8412932761136E-02
Mn11Cu7O24_765492_POSCAR,11.1266341256,0.0121,0.0058,802.7295,15.4489,-8.7095404830470E-02
Mn11Cu7O24_765492_POSCAR,11.4194402868,0.0097,0.0046,802.7301,15.4494,-7.7106509025507E-02
Mn11Cu7O24_765492_POSCAR,11.7122464480,0.0078,0.0037,802.7305,15.4498,-6.8404503225098E-02
Mn11Cu7O24_765492_POSCAR,12.0050526092,0.0064,0.0030,802.7309,15.4501,-6.0849768573031E-02
Mn11Cu7O24_765492_POSCAR,12.2978587704,0.0053,0.0025,802.7311,15.4504,-5.4255429786498E-02
Mn11Cu7O24_765492_POSCAR,12.5906649316,0.0044,0.0021,802.7313,15.4505,-4.8438058400100E-02
Mn11Cu7O24_765492_POSCAR,13.1762772540,0.0031,0.0015,802.7316,15.4508,-3.8592534152393E-02
Mn11Cu7O24_765492_POSCAR,12.8834710928,0.0037,0.0018,802.7315,15.4507,-4.3253109803712E-02
Mn11Cu7O24_765492_POSCAR,13.7618895764,0.0023,0.0011,802.7318,15.4510,-3.0603537877070E-02
Mn11Cu7O24_765492_POSCAR,13.4690834152,0.0027,0.0013,802.7317,15.4509,-3.4390299176491E-02
Mn11Cu7O24_765492_POSCAR,14.3475018988,0.0017,0.0008,802.7319,15.4511,-2.4162879696339E-02
Mn11Cu7O24_765492_POSCAR,14.0546957376,0.0020,0.0010,802.7318,15.4510,-2.7202818788007E-02
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
Mn13Cu11O32_759736,0.0000000000,read,real,scaling,value,N/A
