source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781,0.0000000000,read,real,scaling,value,N/A
Cu3_Mo3S4_4_675781_POSCAR,5.5407469148,6.0449,7.3706,174.9969,125.8109,-6.5711705276835E-01
Cu3_Mo3S4_4_675781_POSCAR,5.8666732039,5.0770,6.2001,174.9969,125.8109,-5.4811729621032E-01
Cu3_Mo3S4_4_675781_POSCAR,5.2148206257,7.6431,9.5118,174.9969,125.8109,-7.8842975259552E-01
Cu3_Mo3S4_4_675781_POSCAR,4.8888943366,10.3231,12.9091,174.9969,125.8109,-9.5233305932995E-01
Cu3_Mo3S4_4_675781_POSCAR,6.1925994930,4.4224,5.5785,174.9969,125.8109,-4.5683973058884E-01
Cu3_Mo3S4_4_675781_POSCAR,6.5185257821,3.8580,5.1865,174.9969,125.8109,-3.8163954132335E-01
Cu3_Mo3S4_4_675781_POSCAR,6.8444520712,3.2352,4.8127,174.9969,125.8109,-3.2019379208690E-01
