source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962,0.0000000000,read,real,scaling,value,N/A
Nb24_CuS8_5_690962_POSCAR,9.9264239915,17.6748,13.1652,428.8962,125.8109,-2.0371083238232E+00
Nb24_CuS8_5_690962_POSCAR,11.2499471903,13.3238,8.0954,428.8962,125.8109,-1.3788726996787E+00
Nb24_CuS8_5_690962_POSCAR,10.5881855909,14.9038,10.3408,428.8962,125.8109,-1.6701582079810E+00
Nb24_CuS8_5_690962_POSCAR,11.9117087898,12.3586,6.6378,428.8962,125.8109,-1.1492591596458E+00
Nb24_CuS8_5_690962_POSCAR,13.2352319886,10.3350,5.2635,428.8962,125.8109,-7.9956323780226E-01
Nb24_CuS8_5_690962_POSCAR,12.5734703892,11.4672,5.7969,428.8962,125.8109,-9.5887961987562E-01
Nb24_CuS8_5_690962_POSCAR,13.8969935880,8.9471,4.7853,428.8962,125.8109,-6.7442785223932E-01
Nb24_CuS8_5_690962_POSCAR,14.5587551875,7.4860,4.2009,428.8962,125.8109,-5.8132229448032E-01
Nb24_CuS8_5_690962_POSCAR,15.8822783863,4.6847,2.6396,428.8962,125.8115,-4.6081368144485E-01
Nb24_CuS8_5_690962_POSCAR,17.2058015852,2.3387,1.2539,528.9447,130.3235,-4.4027759364888E-01
Nb24_CuS8_5_690962_POSCAR,15.2205167869,6.0632,3.4613,428.8962,125.8109,-5.1251738996691E-01
Nb24_CuS8_5_690962_POSCAR,16.5440399858,3.4056,1.8699,428.9713,126.0531,-4.2196620808233E-01
Nb24_CuS8_5_690962_POSCAR,18.5293247841,1.0070,0.5271,867.9242,132.3184,-5.3429236985490E-01
Nb24_CuS8_5_690962_POSCAR,19.8528479829,0.4334,0.2264,1475.0191,133.6928,-6.2023363343737E-01
Nb24_CuS8_5_690962_POSCAR,19.1910863835,0.6567,0.3428,1467.7280,133.3226,-6.6474287279222E-01
Nb24_CuS8_5_690962_POSCAR,17.8675631846,1.5465,0.8161,580.5023,131.1929,-4.3890506822465E-01
Nb24_CuS8_5_690962_POSCAR,21.8381327812,0.1394,0.0736,1475.2477,133.9062,-4.6344820591212E-01
Nb24_CuS8_5_690962_POSCAR,20.5146095824,0.2911,0.1524,1475.2251,133.8239,-5.7118549995246E-01
Nb24_CuS8_5_690962_POSCAR,22.4998943806,0.0993,0.0527,1475.2488,133.9212,-4.0972739475601E-01
Nb24_CuS8_5_690962_POSCAR,21.1763711818,0.1994,0.1048,1475.2441,133.8791,-5.1835618620874E-01
Nb24_CuS8_5_690962_POSCAR,24.4851791789,0.0401,0.0216,1475.2495,133.9395,-2.7755394427743E-01
Nb24_CuS8_5_690962_POSCAR,23.1616559801,0.0722,0.0385,1475.2492,133.9301,-3.6010037096234E-01
Nb24_CuS8_5_690962_POSCAR,23.8234175795,0.0533,0.0286,1475.2494,133.9357,-3.1600130224620E-01
Nb24_CuS8_5_690962_POSCAR,25.1469407784,0.0305,0.0166,1475.2496,133.9420,-2.4408054561197E-01
Nb24_CuS8_5_690962_POSCAR,25.8087023778,0.0237,0.0129,1475.2496,133.9439,-2.1472793391874E-01
Nb24_CuS8_5_690962_POSCAR,27.7939871761,0.0119,0.0066,1475.2497,133.9469,-1.4510159666993E-01
Nb24_CuS8_5_690962_POSCAR,27.1322255767,0.0147,0.0081,1475.2497,133.9462,-1.6564876429759E-01
Nb24_CuS8_5_690962_POSCAR,26.4704639772,0.0186,0.0102,1475.2496,133.9452,-1.8875623660600E-01
Nb24_CuS8_5_690962_POSCAR,28.4557487755,0.0096,0.0053,1475.2497,133.9474,-1.2690522026795E-01
Nb24_CuS8_5_690962_POSCAR,29.1175103750,0.0079,0.0044,1475.2497,133.9479,-1.1088715355946E-01
Nb24_CuS8_5_690962_POSCAR,29.7792719744,0.0065,0.0037,1475.2497,133.9482,-9.6867677664962E-02
Nb24_CuS8_5_690962_POSCAR,30.4410335738,0.0054,0.0031,1475.2497,133.9485,-8.4656791936938E-02
Nb24_CuS8_5_690962_POSCAR,31.7645567727,0.0038,0.0022,1475.2497,133.9489,-6.4865559836466E-02
Nb24_CuS8_5_690962_POSCAR,31.1027951732,0.0046,0.0026,1475.2497,133.9487,-7.4049948905155E-02
Nb24_CuS8_5_690962_POSCAR,32.4263183721,0.0033,0.0019,1475.2497,133.9490,-5.6922104493032E-02
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305,0.0000000000,read,real,scaling,value,N/A
Nb2CuS4_1025305_POSCAR,3.2438019510,9.5092,5.3074,428.8962,125.8109,-1.1032412080200E-01
Nb2CuS4_1025305_POSCAR,2.8833795120,12.8275,9.1056,428.8962,125.8109,-1.5235014007953E-01
Nb2CuS4_1025305_POSCAR,2.7031682925,15.8774,12.8567,428.8962,125.8109,-1.8461720463983E-01
Nb2CuS4_1025305_POSCAR,3.0635907315,10.9553,6.6784,428.8962,125.8109,-1.2945401259114E-01
Nb2CuS4_1025305_POSCAR,3.4240131705,8.0427,4.5124,428.8962,125.8109,-9.2916060692116E-02
Nb2CuS4_1025305_POSCAR,3.6042243900,6.6367,3.9117,428.8962,125.8109,-7.8006474383244E-02
Nb2CuS4_1025305_POSCAR,3.9646468290,4.7524,2.6568,428.8962,125.8114,-5.6584422912567E-02
Nb2CuS4_1025305_POSCAR,3.7844356095,5.5322,3.3003,428.8962,125.8109,-6.6032132548732E-02
Nb2CuS4_1025305_POSCAR,4.1448580485,4.1510,2.0711,428.8964,125.8616,-4.9051968624827E-02
Nb2CuS4_1025305_POSCAR,4.3250692680,3.5733,1.6057,428.9167,127.2975,-4.2998630383146E-02
Nb2CuS4_1025305_POSCAR,4.5052804875,2.9417,1.2479,431.5785,130.3518,-3.8443081292077E-02
Nb2CuS4_1025305_POSCAR,4.6854917070,2.2778,0.9576,543.6627,130.9992,-3.9149418357135E-02
Nb2CuS4_1025305_POSCAR,5.0459141460,1.1549,0.5083,619.5034,132.4304,-3.5708401033728E-02
Nb2CuS4_1025305_POSCAR,4.8657029265,1.6602,0.7115,580.1909,131.4479,-3.7653801108872E-02
Nb2CuS4_1025305_POSCAR,5.2261253655,0.7815,0.3519,1424.8234,133.2836,-4.6454095696803E-02
Nb2CuS4_1025305_POSCAR,5.4063365850,0.5233,0.2396,1474.3093,133.6618,-4.3328258233184E-02
Nb2CuS4_1025305_POSCAR,5.5865478045,0.3514,0.1628,1475.1860,133.8092,-3.9772394338876E-02
Nb2CuS4_1025305_POSCAR,5.7667590240,0.2385,0.1114,1475.2390,133.8725,-3.6351155781976E-02
Nb2CuS4_1025305_POSCAR,5.9469702435,0.1643,0.0773,1475.2466,133.9033,-3.2971043042875E-02
Nb2CuS4_1025305_POSCAR,6.1271814630,0.1152,0.0545,1475.2484,133.9200,-2.9624757357726E-02
Nb2CuS4_1025305_POSCAR,6.3073926825,0.0822,0.0391,1475.2490,133.9297,-2.6388389942736E-02
Nb2CuS4_1025305_POSCAR,6.8480263410,0.0331,0.0160,1475.2496,133.9423,-1.8186079013368E-02
Nb2CuS4_1025305_POSCAR,6.4876039020,0.0597,0.0286,1475.2493,133.9357,-2.3361996253252E-02
Nb2CuS4_1025305_POSCAR,6.6678151215,0.0441,0.0212,1475.2495,133.9397,-2.0619330930487E-02
Nb2CuS4_1025305_POSCAR,7.0282375605,0.0252,0.0123,1475.2496,133.9441,-1.6049695544099E-02
Nb2CuS4_1025305_POSCAR,7.2084487800,0.0195,0.0096,1475.2496,133.9455,-1.4178212474203E-02
Nb2CuS4_1025305_POSCAR,7.3886599995,0.0153,0.0076,1475.2497,133.9464,-1.2530947184774E-02
Nb2CuS4_1025305_POSCAR,7.5688712190,0.0121,0.0060,1475.2497,133.9471,-1.1072216005836E-02
