source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702,0.0000000000,read,real,scaling,value,N/A
CuNi3S8_1225702_POSCAR,4.2569657676,12.2612,15.4977,174.9969,125.8109,-2.7845270319130E-01
CuNi3S8_1225702_POSCAR,4.5407634854,9.3783,11.7336,174.9969,125.8109,-2.2461945644928E-01
CuNi3S8_1225702_POSCAR,4.8245612032,7.6666,8.4886,174.9969,125.8109,-1.8666782359829E-01
