source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
Cu_PtS2_2_28888,0.0000000000,read,real,scaling,value,N/A
