source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085,0.0000000000,read,real,scaling,value,N/A
Sc13Cu13O33_686085_POSCAR,5.0659277912,17.0877,4.2046,313.9846,10.3708,-6.3461169907958E-01
Sc13Cu13O33_686085_POSCAR,5.3639235436,15.1751,4.0923,313.9846,10.3708,-5.2954248290836E-01
Sc13Cu13O33_686085_POSCAR,4.7679320388,18.9040,4.4164,313.9846,10.3708,-7.6517841666870E-01
Sc13Cu13O33_686085_POSCAR,4.4699362864,21.0485,4.8930,313.9846,10.3708,-9.3543628214792E-01
Sc13Cu13O33_686085_POSCAR,5.9599150485,11.3578,3.8611,313.9846,10.3708,-3.8573992805690E-01
Sc13Cu13O33_686085_POSCAR,5.6619192960,13.2438,3.9988,313.9846,10.3708,-4.4647168477756E-01
Sc13Cu13O33_686085_POSCAR,6.5559065533,7.6390,3.1825,313.9846,10.3708,-3.1090897223351E-01
Sc13Cu13O33_686085_POSCAR,6.2579108009,9.4771,3.6096,313.9846,10.3708,-3.4311816816100E-01
Sc13Cu13O33_686085_POSCAR,7.1518980582,4.3378,1.9112,313.9846,10.4475,-2.5725379324164E-01
Sc13Cu13O33_686085_POSCAR,7.7478895630,2.0074,0.8539,324.0175,12.9394,-2.2606590099367E-01
Sc13Cu13O33_686085_POSCAR,6.8539023057,5.9076,2.5821,313.9846,10.3712,-2.8300318219715E-01
Sc13Cu13O33_686085_POSCAR,7.4498938106,3.0155,1.3091,314.0343,12.3254,-2.3661629391211E-01
Sc13Cu13O33_686085_POSCAR,8.0458853154,1.3052,0.5459,327.0622,13.8575,-2.1961132713449E-01
Sc13Cu13O33_686085_POSCAR,8.6418768203,0.5512,0.2261,1516.5175,15.2082,-3.7317990171377E-01
Sc13Cu13O33_686085_POSCAR,8.3438810679,0.8446,0.3491,1175.4876,14.8373,-3.7877622128922E-01
Sc13Cu13O33_686085_POSCAR,8.9398725727,0.3656,0.1491,1522.0918,15.3357,-3.3001640607451E-01
Sc13Cu13O33_686085_POSCAR,9.2378683251,0.2473,0.1005,1522.4031,15.3878,-2.9221190700209E-01
Sc13Cu13O33_686085_POSCAR,9.8338598300,0.1205,0.0487,1522.4579,15.4265,-2.3210334229663E-01
Sc13Cu13O33_686085_POSCAR,9.5358640776,0.1708,0.0692,1522.4470,15.4129,-2.6002007860827E-01
Sc13Cu13O33_686085_POSCAR,10.1318555824,0.0867,0.0349,1522.4617,15.4345,-2.0719381310871E-01
Sc13Cu13O33_686085_POSCAR,10.7278470873,0.0474,0.0190,1522.4643,15.4428,-1.6364874647262E-01
Sc13Cu13O33_686085_POSCAR,10.4298513348,0.0636,0.0256,1522.4634,15.4395,-1.8449102739950E-01
Sc13Cu13O33_686085_POSCAR,11.0258428397,0.0359,0.0144,1522.4648,15.4450,-1.4466555450892E-01
Sc13Cu13O33_686085_POSCAR,11.3238385921,0.0277,0.0111,1522.4652,15.4465,-1.2763702140021E-01
Sc13Cu13O33_686085_POSCAR,11.9198300969,0.0171,0.0068,1522.4655,15.4485,-9.9527684936584E-02
Sc13Cu13O33_686085_POSCAR,11.6218343445,0.0216,0.0086,1522.4654,15.4477,-1.1261526768073E-01
Sc13Cu13O33_686085_POSCAR,12.2178258494,0.0137,0.0055,1522.4656,15.4491,-8.8186507241830E-02
Sc13Cu13O33_686085_POSCAR,12.5158216018,0.0111,0.0044,1522.4657,15.4495,-7.8345025170313E-02
Sc13Cu13O33_686085_POSCAR,13.4098088591,0.0062,0.0025,1522.4658,15.4504,-5.5420173487866E-02
Sc13Cu13O33_686085_POSCAR,12.8138173542,0.0091,0.0036,1522.4657,15.4499,-6.9744211147227E-02
Sc13Cu13O33_686085_POSCAR,13.1118131066,0.0075,0.0030,1522.4658,15.4502,-6.2161711724650E-02
Sc13Cu13O33_686085_POSCAR,13.7078046115,0.0052,0.0021,1522.4659,15.4505,-4.9391010812225E-02
Sc13Cu13O33_686085_POSCAR,14.0058003639,0.0044,0.0018,1522.4659,15.4507,-4.3988120914578E-02
Sc13Cu13O33_686085_POSCAR,14.3037961163,0.0038,0.0015,1522.4659,15.4508,-3.9144866609279E-02
Sc13Cu13O33_686085_POSCAR,14.6017918688,0.0032,0.0013,1522.4659,15.4509,-3.4815576896944E-02
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833,0.0000000000,read,real,scaling,value,N/A
Sc14Cu14O37_685833_POSCAR,4.7120523155,18.7149,4.3834,313.9846,10.3708,-8.2543689016634E-01
Sc14Cu14O37_685833_POSCAR,5.0065555852,16.9059,4.1880,313.9846,10.3708,-6.8507474407618E-01
Sc14Cu14O37_685833_POSCAR,4.4175490458,20.7876,4.8210,313.9846,10.3708,-1.0077441035843E+00
Sc14Cu14O37_685833_POSCAR,5.3010588549,14.9816,4.0810,313.9846,10.3708,-5.7147377627616E-01
Sc14Cu14O37_685833_POSCAR,5.5955621247,13.0417,3.9847,313.9846,10.3708,-4.8219366978483E-01
Sc14Cu14O37_685833_POSCAR,6.1845686641,9.2279,3.5591,313.9846,10.3708,-3.7163891629638E-01
Sc14Cu14O37_685833_POSCAR,5.8900653944,11.1351,3.8348,313.9846,10.3708,-4.1738060583204E-01
Sc14Cu14O37_685833_POSCAR,6.4790719338,7.3744,3.0997,313.9846,10.3708,-3.3641976876715E-01
Sc14Cu14O37_685833_POSCAR,6.7735752035,5.6418,2.4739,313.9846,10.3717,-3.0597153757065E-01
Sc14Cu14O37_685833_POSCAR,7.0680784732,4.0907,1.7999,313.9846,10.5490,-2.7798111197436E-01
Sc14Cu14O37_685833_POSCAR,7.6570850127,1.8533,0.7859,324.3666,13.0377,-2.4315091918537E-01
Sc14Cu14O37_685833_POSCAR,7.3625817430,2.8096,1.2158,314.2532,12.5614,-2.5480067449112E-01
Sc14Cu14O37_685833_POSCAR,7.9515882824,1.1984,0.5001,337.0208,14.0976,-2.4045983622268E-01
Sc14Cu14O37_685833_POSCAR,8.5405948218,0.5049,0.2069,1519.4784,15.2463,-3.9734431542185E-01
Sc14Cu14O37_685833_POSCAR,8.2460915521,0.7737,0.3193,1376.2331,14.9491,-4.2054645225926E-01
Sc14Cu14O37_685833_POSCAR,8.8350980916,0.3353,0.1367,1522.2285,15.3508,-3.5119325477614E-01
Sc14Cu14O37_685833_POSCAR,9.1296013613,0.2272,0.0923,1522.4198,15.3950,-3.1128367016807E-01
Sc14Cu14O37_685833_POSCAR,9.4241046310,0.1573,0.0637,1522.4507,15.4168,-2.7732163159610E-01
Sc14Cu14O37_685833_POSCAR,9.7186079007,0.1112,0.0449,1522.4591,15.4288,-2.4774737307361E-01
Sc14Cu14O37_685833_POSCAR,10.3076144401,0.0590,0.0237,1522.4637,15.4404,-1.9692193670338E-01
Sc14Cu14O37_685833_POSCAR,10.0131111704,0.0803,0.0323,1522.4622,15.4359,-2.2121116780961E-01
Sc14Cu14O37_685833_POSCAR,10.8966209796,0.0335,0.0134,1522.4649,15.4454,-1.5424290196502E-01
Sc14Cu14O37_685833_POSCAR,10.6021177099,0.0441,0.0177,1522.4645,15.4434,-1.7457579699775E-01
Sc14Cu14O37_685833_POSCAR,11.4856275190,0.0202,0.0081,1522.4654,15.4479,-1.2005198919184E-01
Sc14Cu14O37_685833_POSCAR,11.1911242493,0.0259,0.0103,1522.4652,15.4469,-1.3605154283464E-01
Sc14Cu14O37_685833_POSCAR,11.7801307887,0.0161,0.0064,1522.4655,15.4487,-1.0614323625199E-01
Sc14Cu14O37_685833_POSCAR,12.0746340585,0.0129,0.0051,1522.4656,15.4492,-9.4100537028374E-02
Sc14Cu14O37_685833_POSCAR,12.6636405979,0.0085,0.0034,1522.4658,15.4500,-7.4479895945366E-02
Sc14Cu14O37_685833_POSCAR,12.3691373282,0.0104,0.0041,1522.4657,15.4496,-8.3640984232962E-02
Sc14Cu14O37_685833_POSCAR,13.2526471373,0.0059,0.0023,1522.4658,15.4504,-5.9170554923730E-02
Sc14Cu14O37_685833_POSCAR,12.9581438676,0.0071,0.0028,1522.4658,15.4502,-6.6384318287500E-02
Sc14Cu14O37_685833_POSCAR,13.5471504071,0.0050,0.0020,1522.4659,15.4506,-5.2708557358963E-02
Sc14Cu14O37_685833_POSCAR,13.8416536768,0.0042,0.0017,1522.4659,15.4507,-4.6915575714077E-02
Sc14Cu14O37_685833_POSCAR,14.1361569465,0.0036,0.0014,1522.4659,15.4508,-4.1722240282965E-02
Sc14Cu14O37_685833_POSCAR,14.4306602162,0.0031,0.0012,1522.4659,15.4509,-3.7084376596199E-02
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_1219443_POSCAR,2.5650277500,21.6203,5.0087,313.9846,10.3708,-1.4176224793763E-01
Sc2Cu2O5_1219443_POSCAR,2.9070314500,17.8864,4.2293,313.9846,10.3708,-9.6020442179531E-02
Sc2Cu2O5_1219443_POSCAR,2.7360296000,19.5415,4.4670,313.9846,10.3708,-1.1583405033990E-01
Sc2Cu2O5_1219443_POSCAR,3.0780333000,16.2162,4.1094,313.9846,10.3708,-8.0130955660837E-02
Sc2Cu2O5_1219443_POSCAR,3.2490351500,14.3713,4.0214,313.9846,10.3708,-6.7616132631774E-02
Sc2Cu2O5_1219443_POSCAR,3.4200370000,12.2866,3.9067,313.9846,10.3708,-5.8511188644699E-02
Sc2Cu2O5_1219443_POSCAR,3.5910388500,10.0455,3.7039,313.9846,10.3708,-5.2101262222411E-02
Sc2Cu2O5_1219443_POSCAR,3.7620407000,7.8378,3.3523,313.9846,10.3708,-4.7170284257073E-02
Sc2Cu2O5_1219443_POSCAR,4.2750462500,2.7529,1.5744,314.4083,11.1585,-3.5937295718442E-02
Sc2Cu2O5_1219443_POSCAR,4.1040444000,4.1031,2.1979,313.9846,10.3788,-3.8904934100196E-02
Sc2Cu2O5_1219443_POSCAR,3.9330425500,5.8234,2.8305,313.9846,10.3709,-4.2813618016371E-02
Sc2Cu2O5_1219443_POSCAR,4.4460481000,1.7871,1.0613,324.4269,12.7611,-3.4532668176371E-02
Sc2Cu2O5_1219443_POSCAR,4.6170499500,1.1457,0.6916,351.8176,13.2576,-3.3964964196848E-02
Sc2Cu2O5_1219443_POSCAR,4.7880518000,0.7374,0.4461,1433.2516,14.3843,-6.0598898591866E-02
Sc2Cu2O5_1219443_POSCAR,5.1300555000,0.3205,0.1903,1522.2757,15.2755,-5.0209282687728E-02
Sc2Cu2O5_1219443_POSCAR,4.9590536500,0.4814,0.2893,1520.3604,15.0471,-5.6874170928429E-02
Sc2Cu2O5_1219443_POSCAR,5.3010573500,0.2180,0.1276,1522.4259,15.3610,-4.4460176747851E-02
Sc2Cu2O5_1219443_POSCAR,5.6430610500,0.1076,0.0610,1522.4596,15.4186,-3.5342455380627E-02
Sc2Cu2O5_1219443_POSCAR,5.4720592000,0.1516,0.0873,1522.4521,15.3991,-3.9581385827386E-02
Sc2Cu2O5_1219443_POSCAR,5.8140629000,0.0780,0.0435,1522.4624,15.4296,-3.1541603922827E-02
Sc2Cu2O5_1219443_POSCAR,5.9850647500,0.0576,0.0316,1522.4638,15.4363,-2.8060211995349E-02
Sc2Cu2O5_1219443_POSCAR,6.3270684500,0.0329,0.0175,1522.4650,15.4435,-2.1941661833578E-02
Sc2Cu2O5_1219443_POSCAR,6.1560666000,0.0432,0.0233,1522.4645,15.4406,-2.4856469857986E-02
Sc2Cu2O5_1219443_POSCAR,6.4980703000,0.0255,0.0134,1522.4652,15.4455,-1.9335447890983E-02
Sc2Cu2O5_1219443_POSCAR,6.6690721500,0.0200,0.0104,1522.4654,15.4469,-1.7045540688283E-02
Sc2Cu2O5_1219443_POSCAR,6.8400740000,0.0160,0.0081,1522.4655,15.4479,-1.5057408317795E-02
Sc2Cu2O5_1219443_POSCAR,7.0110758500,0.0128,0.0065,1522.4656,15.4486,-1.3338226317907E-02
Sc2Cu2O5_1219443_POSCAR,7.1820777000,0.0104,0.0052,1522.4657,15.4492,-1.1847050192774E-02
Sc2Cu2O5_1219443_POSCAR,7.3530795500,0.0086,0.0042,1522.4658,15.4496,-1.0542801340614E-02
Sc2Cu2O5_1219443_POSCAR,7.5240814000,0.0071,0.0035,1522.4658,15.4499,-9.3915490996102E-03
Sc2Cu2O5_1219443_POSCAR,7.6950832500,0.0059,0.0029,1522.4658,15.4502,-8.3665627037046E-03
Sc2Cu2O5_1219443_POSCAR,7.8660851000,0.0050,0.0024,1522.4659,15.4504,-7.4498535453482E-03
Sc2Cu2O5_1219443_POSCAR,8.0370869500,0.0042,0.0020,1522.4659,15.4506,-6.6284542503239E-03
Sc2Cu2O5_1219443_POSCAR,8.2080888000,0.0036,0.0017,1522.4659,15.4507,-5.8930815454915E-03
Sc2Cu2O5_1219443_POSCAR,8.3790906500,0.0031,0.0015,1522.4659,15.4508,-5.2365597140083E-03
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336,0.0000000000,read,real,scaling,value,N/A
Sc2Cu2O5_15336_POSCAR,2.4365977500,23.1021,4.9621,313.9846,10.3708,-6.0510329456227E-01
Sc2Cu2O5_15336_POSCAR,2.5990376000,20.5095,4.4517,313.9846,10.3708,-4.9319705795528E-01
Sc2Cu2O5_15336_POSCAR,2.9239173000,15.9745,4.0846,313.9846,10.3708,-3.3531153262419E-01
Sc2Cu2O5_15336_POSCAR,2.7614774500,18.2837,4.2168,313.9846,10.3708,-4.0448927871468E-01
Sc2Cu2O5_15336_POSCAR,3.0863571500,13.5359,3.9625,313.9846,10.3708,-2.8241451578563E-01
