source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992,0.0000000000,read,real,scaling,value,N/A
V12Cu10O33_1100992_POSCAR,4.1098077467,14.1835,3.5626,269.3349,10.3708,-6.8711884701396E-01
V12Cu10O33_1100992_POSCAR,4.3837949298,12.4047,3.2605,269.3349,10.3708,-5.6483540585408E-01
V12Cu10O33_1100992_POSCAR,4.6577821129,10.9511,3.1138,269.3349,10.3708,-4.6901896337811E-01
V12Cu10O33_1100992_POSCAR,4.9317692960,9.5597,3.0056,269.3349,10.3708,-3.9347238737869E-01
V12Cu10O33_1100992_POSCAR,5.2057564791,8.2788,2.8631,269.3349,10.3708,-3.3332461046839E-01
V12Cu10O33_1100992_POSCAR,6.0277180284,5.3543,1.9222,269.3349,10.4412,-2.1807898348414E-01
V12Cu10O33_1100992_POSCAR,5.7537308453,6.1687,2.2973,269.3349,10.3744,-2.4766553499508E-01
V12Cu10O33_1100992_POSCAR,5.4797436622,7.1466,2.6307,269.3349,10.3711,-2.8544570547409E-01
V12Cu10O33_1100992_POSCAR,6.3017052116,4.6842,1.5884,269.3349,11.0999,-1.9520772487013E-01
V12Cu10O33_1100992_POSCAR,6.8496795778,3.5152,1.1338,269.3379,12.6877,-1.7331833720643E-01
