source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259,0.0000000000,read,real,scaling,value,N/A
V2CuS4_1104259_POSCAR,5.4176162270,10.1908,5.5658,269.3349,125.8109,-1.8722128487346E-01
V2CuS4_1104259_POSCAR,5.1166375478,11.8143,7.0698,269.3349,125.8109,-2.1709704076813E-01
V2CuS4_1104259_POSCAR,4.5146801892,16.4598,13.4976,269.3349,125.8109,-3.1465165943241E-01
V2CuS4_1104259_POSCAR,4.8156588685,13.7142,9.7227,269.3349,125.8109,-2.5808174292686E-01
V2CuS4_1104259_POSCAR,5.7185949063,8.7526,4.7874,269.3349,125.8109,-1.6341780774076E-01
V2CuS4_1104259_POSCAR,6.3205522649,6.6634,4.0398,269.3349,125.8109,-1.2333343019115E-01
V2CuS4_1104259_POSCAR,6.0195735856,7.5878,4.3571,269.3349,125.8109,-1.4243666977367E-01
V2CuS4_1104259_POSCAR,6.6215309442,5.8227,3.6867,269.3349,125.8109,-1.0632827532796E-01
V2CuS4_1104259_POSCAR,6.9225096234,4.9106,3.2076,269.3349,125.8109,-9.1563185043236E-02
V2CuS4_1104259_POSCAR,7.2234883027,3.8921,2.5954,269.3350,125.8117,-7.8911653054846E-02
V2CuS4_1104259_POSCAR,7.5244669820,2.8710,1.9370,269.8349,125.9556,-6.8435147738471E-02
V2CuS4_1104259_POSCAR,7.8254456613,1.9895,1.3490,289.4245,129.7364,-6.1839537110578E-02
V2CuS4_1104259_POSCAR,8.4274030198,0.8642,0.5866,906.7728,131.9817,-8.1751809881963E-02
V2CuS4_1104259_POSCAR,8.1264243406,1.3232,0.8984,292.0307,131.0697,-5.5947265984123E-02
V2CuS4_1104259_POSCAR,8.7283816991,0.5641,0.3826,1113.3301,133.1410,-8.1974386779325E-02
V2CuS4_1104259_POSCAR,9.0293603784,0.3722,0.2522,1115.9514,133.6302,-7.5126144784277E-02
V2CuS4_1104259_POSCAR,9.3303390577,0.2497,0.1690,1116.0759,133.7999,-6.9236852695078E-02
V2CuS4_1104259_POSCAR,9.6313177370,0.1707,0.1155,1116.0917,133.8683,-6.3996497985447E-02
V2CuS4_1104259_POSCAR,10.2332750955,0.0848,0.0573,1116.0966,133.9180,-5.4011204577279E-02
V2CuS4_1104259_POSCAR,9.9322964162,0.1192,0.0805,1116.0953,133.9007,-5.8996964682784E-02
V2CuS4_1104259_POSCAR,10.5342537748,0.0615,0.0415,1116.0971,133.9282,-4.9006226436958E-02
V2CuS4_1104259_POSCAR,10.8352324541,0.0454,0.0307,1116.0974,133.9346,-4.4099063513369E-02
V2CuS4_1104259_POSCAR,11.1362111334,0.0341,0.0230,1116.0976,133.9387,-3.9453755599289E-02
V2CuS4_1104259_POSCAR,11.4371898126,0.0260,0.0176,1116.0977,133.9415,-3.5208405703264E-02
V2CuS4_1104259_POSCAR,11.7381684919,0.0201,0.0136,1116.0977,133.9435,-3.1418599020806E-02
V2CuS4_1104259_POSCAR,12.0391471712,0.0158,0.0107,1116.0978,133.9449,-2.8073764470341E-02
V2CuS4_1104259_POSCAR,12.3401258505,0.0125,0.0085,1116.0978,133.9460,-2.5122635626899E-02
V2CuS4_1104259_POSCAR,12.6411045298,0.0101,0.0068,1116.0978,133.9468,-2.2499728042618E-02
V2CuS4_1104259_POSCAR,12.9420832090,0.0081,0.0055,1116.0978,133.9474,-2.0146694350108E-02
V2CuS4_1104259_POSCAR,13.2430618883,0.0067,0.0045,1116.0979,133.9478,-1.8015223868449E-02
V2CuS4_1104259_POSCAR,13.5440405676,0.0055,0.0038,1116.0979,133.9482,-1.6080198143774E-02
V2CuS4_1104259_POSCAR,13.8450192469,0.0046,0.0031,1116.0979,133.9485,-1.4324218609288E-02
V2CuS4_1104259_POSCAR,14.1459979262,0.0039,0.0026,1116.0979,133.9487,-1.2736840631335E-02
V2CuS4_1104259_POSCAR,14.4469766054,0.0033,0.0023,1116.0979,133.9489,-1.1308909714132E-02
V2CuS4_1104259_POSCAR,14.7479552847,0.0028,0.0019,1116.0979,133.9490,-1.0034166578800E-02
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
V2CuS4_2221507,0.0000000000,read,real,scaling,value,N/A
