source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1221805_POSCAR,2.6702213908,15.4792,13.5445,113.8463,125.8109,-1.6241175863856E-01
Mn4FeS5_1221805_POSCAR,2.8482361502,11.9934,10.1778,113.8463,125.8109,-1.2978215147664E-01
Mn4FeS5_1221805_POSCAR,3.0262509096,9.2210,8.0633,113.8463,125.8109,-1.0664869462149E-01
Mn4FeS5_1221805_POSCAR,3.2042656689,7.4958,6.8923,113.8463,125.8109,-9.1193507000654E-02
Mn4FeS5_1221805_POSCAR,3.7383099471,4.2238,4.2561,239.5554,125.8109,-9.5227882646646E-02
Mn4FeS5_1221805_POSCAR,3.3822804283,6.3761,6.1036,113.8463,125.8109,-8.0207025876133E-02
Mn4FeS5_1221805_POSCAR,3.9163247065,3.0210,3.0970,239.5554,125.8109,-8.5144588233613E-02
Mn4FeS5_1221805_POSCAR,3.5602951877,5.3665,5.2875,239.5554,125.8109,-1.0474353257175E-01
Mn4FeS5_1221805_POSCAR,4.0943394659,1.9844,2.0572,239.5555,125.8674,-7.4430692147021E-02
Mn4FeS5_1221805_POSCAR,4.2723542253,1.2393,1.2918,241.0317,130.1225,-6.4921009546451E-02
Mn4FeS5_1221805_POSCAR,4.4503689846,0.7616,0.7950,580.9521,131.2333,-9.3680175127279E-02
Mn4FeS5_1221805_POSCAR,4.6283837440,0.4715,0.4917,794.9930,132.5300,-1.0518173292948E-01
Mn4FeS5_1221805_POSCAR,4.8063985034,0.2977,0.3097,801.9471,133.4519,-9.2468774757241E-02
Mn4FeS5_1221805_POSCAR,5.3404427816,0.0872,0.0898,802.6977,133.8929,-6.6254606044952E-02
Mn4FeS5_1221805_POSCAR,5.1624280222,0.1279,0.1322,802.6619,133.8496,-7.3377856264805E-02
Mn4FeS5_1221805_POSCAR,4.9844132628,0.1926,0.1997,802.5464,133.7476,-8.1889254515297E-02
Mn4FeS5_1221805_POSCAR,5.6964723003,0.0435,0.0445,802.7198,133.9264,-5.3825661442438E-02
Mn4FeS5_1221805_POSCAR,5.8744870597,0.0318,0.0324,802.7239,133.9336,-4.7907822827320E-02
Mn4FeS5_1221805_POSCAR,5.5184575410,0.0609,0.0625,802.7125,133.9144,-5.9889514910515E-02
Mn4FeS5_1221805_POSCAR,6.0525018191,0.0237,0.0240,802.7264,133.9382,-4.2254482880799E-02
Mn4FeS5_1221805_POSCAR,6.2305165785,0.0179,0.0181,802.7280,133.9413,-3.7076133748974E-02
Mn4FeS5_1221805_POSCAR,6.5865460973,0.0108,0.0109,802.7298,133.9448,-2.8620907759769E-02
Mn4FeS5_1221805_POSCAR,6.4085313379,0.0138,0.0139,802.7291,133.9433,-3.2522736191196E-02
Mn4FeS5_1221805_POSCAR,6.7645608567,0.0086,0.0086,802.7303,133.9459,-2.5292150003523E-02
Mn4FeS5_1221805_POSCAR,6.9425756161,0.0069,0.0069,802.7307,133.9467,-2.2424785619070E-02
Mn4FeS5_1221805_POSCAR,7.1205903754,0.0056,0.0056,802.7310,133.9473,-1.9908544591042E-02
Mn4FeS5_1221805_POSCAR,7.2986051348,0.0046,0.0046,802.7313,133.9478,-1.7664023875546E-02
Mn4FeS5_1221805_POSCAR,7.4766198942,0.0038,0.0038,802.7314,133.9482,-1.5643913118708E-02
Mn4FeS5_1221805_POSCAR,7.6546346536,0.0032,0.0031,802.7316,133.9485,-1.3820703804152E-02
Mn4FeS5_1221805_POSCAR,8.0106641724,0.0023,0.0022,802.7318,133.9489,-1.0726782099278E-02
Mn4FeS5_1221805_POSCAR,7.8326494130,0.0027,0.0027,802.7317,133.9487,-1.2184801923808E-02
Mn4FeS5_1221805_POSCAR,8.1886789318,0.0020,0.0019,802.7318,133.9490,-9.4337003286113E-03
Mn4FeS5_1221805_POSCAR,8.3666936911,0.0017,0.0017,802.7319,133.9491,-8.2954688897845E-03
Mn4FeS5_1221805_POSCAR,8.5447084505,0.0015,0.0015,802.7320,133.9492,-7.3000985420044E-03
Mn4FeS5_1221805_POSCAR,8.7227232099,0.0013,0.0013,802.7320,133.9493,-6.4293428603046E-03
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234,0.0000000000,read,real,scaling,value,N/A
Mn4FeS5_1222234_POSCAR,4.0695249335,15.7391,13.6188,113.8463,125.8109,-1.6594268504800E-01
Mn4FeS5_1222234_POSCAR,4.8834299202,7.6339,6.8818,113.8463,125.8109,-9.2692591902475E-02
Mn4FeS5_1222234_POSCAR,4.6121282580,9.4208,8.0678,113.8463,125.8109,-1.0871990833112E-01
Mn4FeS5_1222234_POSCAR,4.3408265957,12.2586,10.2066,113.8463,125.8109,-1.3265351810409E-01
Mn4FeS5_1222234_POSCAR,5.4260332446,5.5299,5.2243,239.5554,125.8109,-1.0012329916775E-01
Mn4FeS5_1222234_POSCAR,5.1547315824,6.5034,6.0720,113.8463,125.8109,-8.1389188372613E-02
Mn4FeS5_1222234_POSCAR,5.6973349069,4.4330,4.1624,239.5554,125.8109,-9.6578899351353E-02
Mn4FeS5_1222234_POSCAR,5.9686365691,3.2383,2.9944,239.5554,125.8109,-8.6613223290084E-02
Mn4FeS5_1222234_POSCAR,6.2399382313,2.1645,1.9705,239.5554,125.9225,-7.5991261690751E-02
Mn4FeS5_1222234_POSCAR,6.5112398936,1.3663,1.2303,239.8348,130.4290,-6.6236233510959E-02
Mn4FeS5_1222234_POSCAR,6.7825415558,0.8437,0.7552,429.0476,131.3234,-8.1986922282579E-02
Mn4FeS5_1222234_POSCAR,7.0538432180,0.5228,0.4669,787.7317,132.6781,-1.0711407141026E-01
Mn4FeS5_1222234_POSCAR,7.5964465425,0.2127,0.1901,802.4853,133.7651,-8.3568284818771E-02
Mn4FeS5_1222234_POSCAR,7.3251448803,0.3296,0.2943,801.5308,133.5052,-9.4498375898270E-02
Mn4FeS5_1222234_POSCAR,7.8677482047,0.1409,0.1260,802.6459,133.8568,-7.4788000282193E-02
