source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
Nb2Fe4O9_1210013,0.0000000000,read,real,scaling,value,N/A
