source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349,0.0000000000,read,real,scaling,value,N/A
FeRhO3_1184349_POSCAR,3.3136757000,8.4724,3.3691,109.5041,10.3708,-5.0040691649170E-02
FeRhO3_1184349_POSCAR,2.9238315000,18.5751,5.6129,109.5041,10.3708,-7.3712450950714E-02
FeRhO3_1184349_POSCAR,3.5085978000,4.7354,2.7124,204.9925,10.3709,-5.5064344050509E-02
FeRhO3_1184349_POSCAR,3.1187536000,13.5061,4.3997,109.5041,10.3708,-5.9296779024858E-02
FeRhO3_1184349_POSCAR,3.7035199000,2.5178,2.3495,204.9925,10.3732,-5.2852513594664E-02
FeRhO3_1184349_POSCAR,3.8984420000,1.3446,2.1300,205.1975,10.3846,-4.9951081204202E-02
FeRhO3_1184349_POSCAR,4.0933641000,0.7419,1.9406,401.9910,10.4318,-5.7409362297160E-02
FeRhO3_1184349_POSCAR,4.2882862000,0.4270,1.7074,489.3459,10.7160,-5.3429377680555E-02
FeRhO3_1184349_POSCAR,5.0679746000,0.0705,0.4825,491.3167,14.1916,-3.2692006098747E-02
FeRhO3_1184349_POSCAR,4.4832083000,0.2567,1.4014,491.1232,11.9713,-4.5800826876768E-02
FeRhO3_1184349_POSCAR,4.6781304000,0.1609,1.0541,491.2750,12.7672,-3.9158175390089E-02
FeRhO3_1184349_POSCAR,4.8730525000,0.1047,0.7323,491.3064,13.1482,-3.7337296319874E-02
FeRhO3_1184349_POSCAR,5.4578188000,0.0348,0.1994,491.3235,15.2598,-3.2425068439342E-02
FeRhO3_1184349_POSCAR,5.2628967000,0.0489,0.3105,491.3212,14.9795,-3.3524683484182E-02
FeRhO3_1184349_POSCAR,5.6527409000,0.0255,0.1296,491.3249,15.3588,-2.7683391958479E-02
FeRhO3_1184349_POSCAR,5.8476630000,0.0191,0.0858,491.3257,15.4003,-2.3906996966869E-02
FeRhO3_1184349_POSCAR,6.0425851000,0.0146,0.0580,491.3262,15.4206,-2.0935616713393E-02
FeRhO3_1184349_POSCAR,6.2375072000,0.0112,0.0401,491.3266,15.4316,-1.8525692223347E-02
FeRhO3_1184349_POSCAR,6.6273514000,0.0071,0.0204,491.3270,15.4421,-1.4600062896022E-02
FeRhO3_1184349_POSCAR,6.4324293000,0.0089,0.0283,491.3268,15.4381,-1.6461764982030E-02
FeRhO3_1184349_POSCAR,6.8222735000,0.0058,0.0150,491.3272,15.4447,-1.2881821587734E-02
FeRhO3_1184349_POSCAR,7.2121177000,0.0039,0.0086,491.3273,15.4477,-9.9143483657824E-03
FeRhO3_1184349_POSCAR,7.0171956000,0.0048,0.0112,491.3273,15.4465,-1.1311616794101E-02
FeRhO3_1184349_POSCAR,7.4070398000,0.0033,0.0066,491.3274,15.4485,-8.6994527753060E-03
FeRhO3_1184349_POSCAR,7.6019619000,0.0027,0.0052,491.3275,15.4492,-7.6603915497693E-03
FeRhO3_1184349_POSCAR,8.1867282000,0.0018,0.0027,491.3276,15.4503,-5.3413647457814E-03
FeRhO3_1184349_POSCAR,7.7968840000,0.0024,0.0041,491.3275,15.4497,-6.7727488659622E-03
FeRhO3_1184349_POSCAR,7.9918061000,0.0020,0.0033,491.3275,15.4500,-6.0088902755500E-03
FeRhO3_1184349_POSCAR,8.3816503000,0.0015,0.0023,491.3276,15.4505,-4.7489081440850E-03
FeRhO3_1184349_POSCAR,8.5765724000,0.0013,0.0018,491.3276,15.4506,-4.2187929320134E-03
FeRhO3_1184349_POSCAR,8.9664166000,0.0010,0.0013,491.3276,15.4509,-3.3157576856521E-03
FeRhO3_1184349_POSCAR,8.7714945000,0.0012,0.0016,491.3276,15.4508,-3.7430498218218E-03
FeRhO3_1184349_POSCAR,9.1613387000,0.0009,0.0011,491.3276,15.4510,-2.9347326474297E-03
FeRhO3_1184349_POSCAR,9.3562608000,0.0008,0.0010,491.3276,15.4510,-2.5962211422264E-03
FeRhO3_1184349_POSCAR,9.5511829000,0.0007,0.0008,491.3276,15.4511,-2.2966379440321E-03
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648,0.0000000000,read,real,scaling,value,N/A
FeRhO3_973648_POSCAR,3.0160584000,14.2966,5.6717,109.5041,10.3708,-6.3903404599102E-02
FeRhO3_973648_POSCAR,2.8275547500,16.5351,6.4961,109.5041,10.3708,-8.0281886393582E-02
FeRhO3_973648_POSCAR,3.2045620500,12.0452,4.7244,109.5041,10.3708,-5.2994242354761E-02
FeRhO3_973648_POSCAR,3.3930657000,9.8508,3.7347,109.5041,10.3708,-4.6838399638675E-02
FeRhO3_973648_POSCAR,3.9585766500,5.9655,2.0646,109.5041,10.3939,-4.5704408266344E-02
FeRhO3_973648_POSCAR,3.5815693500,8.1214,2.9605,109.5041,10.3708,-4.3960534253997E-02
FeRhO3_973648_POSCAR,4.1470803000,4.9790,1.7036,204.9925,10.7252,-6.5475833471035E-02
FeRhO3_973648_POSCAR,3.7700730000,6.9194,2.4441,109.5041,10.3719,-4.2391609126772E-02
FeRhO3_973648_POSCAR,4.3355839500,3.8714,1.3169,204.9925,12.3003,-6.5296426529527E-02
FeRhO3_973648_POSCAR,4.5240876000,2.7682,0.9394,204.9925,12.8567,-5.6495817863385E-02
FeRhO3_973648_POSCAR,4.7125912500,1.8497,0.6275,204.9928,13.4824,-4.8729067818176E-02
FeRhO3_973648_POSCAR,4.9010949000,1.1896,0.4040,206.5696,14.5954,-4.2272240348284E-02
FeRhO3_973648_POSCAR,5.2781022000,0.4844,0.1653,487.1260,15.3141,-3.9710442073052E-02
FeRhO3_973648_POSCAR,5.0895985500,0.7565,0.2574,389.4824,15.1355,-4.3881299488460E-02
FeRhO3_973648_POSCAR,5.6551095000,0.2095,0.0720,491.2212,15.4109,-2.8140555683054E-02
FeRhO3_973648_POSCAR,5.4666058500,0.3152,0.1079,490.8770,15.3810,-3.3427963918217E-02
FeRhO3_973648_POSCAR,5.8436131500,0.1425,0.0492,491.2879,15.4262,-2.3795646857159E-02
FeRhO3_973648_POSCAR,6.0321168000,0.0990,0.0344,491.3084,15.4348,-2.0244992092789E-02
