source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340,0.0000000000,read,real,scaling,value,N/A
ScFe3O8_1219340_POSCAR,4.2890469261,12.8809,2.4079,313.9846,10.3723,-6.9327897264734E-02
ScFe3O8_1219340_POSCAR,4.5413438041,10.9363,2.1930,313.9846,10.3791,-5.8751762694788E-02
ScFe3O8_1219340_POSCAR,4.0367500481,14.9342,2.8531,313.9846,10.3708,-8.4122277435416E-02
ScFe3O8_1219340_POSCAR,3.7844531701,17.4905,3.8008,313.9846,10.3708,-1.0333269831608E-01
ScFe3O8_1219340_POSCAR,5.2982344381,6.8992,1.7584,313.9846,10.6120,-5.2424519998309E-02
ScFe3O8_1219340_POSCAR,4.7936406821,9.2554,2.0621,313.9846,10.3943,-6.0520206028232E-02
ScFe3O8_1219340_POSCAR,5.5505313161,5.9751,1.5126,313.9846,11.4410,-4.7388455191830E-02
ScFe3O8_1219340_POSCAR,5.0459375601,7.9371,1.9345,313.9846,10.4348,-5.3982642091924E-02
ScFe3O8_1219340_POSCAR,5.8028281942,4.9956,1.2154,313.9846,12.5621,-4.2767650244113E-02
ScFe3O8_1219340_POSCAR,6.3074219502,2.8406,0.6381,314.1935,13.4406,-3.4407048036819E-02
ScFe3O8_1219340_POSCAR,6.5597188282,1.9367,0.4262,324.2293,14.4862,-3.3966116414883E-02
ScFe3O8_1219340_POSCAR,6.0551250722,3.9128,0.9097,313.9846,12.8820,-3.8805344765470E-02
ScFe3O8_1219340_POSCAR,7.0643125842,0.8248,0.1792,1245.1211,15.2935,-4.4316000111892E-02
ScFe3O8_1219340_POSCAR,6.8120157062,1.2721,0.2772,328.6913,15.0825,-3.6905238353838E-02
ScFe3O8_1219340_POSCAR,7.5689063402,0.3543,0.0773,1522.1502,15.4070,-3.4905141089923E-02
ScFe3O8_1219340_POSCAR,7.3166094622,0.5369,0.1167,1517.6609,15.3724,-4.0152993270524E-02
ScFe3O8_1219340_POSCAR,7.8212032182,0.2381,0.0522,1522.4114,15.4243,-3.0628247059456E-02
ScFe3O8_1219340_POSCAR,8.0735000962,0.1633,0.0360,1522.4491,15.4339,-2.7202342393457E-02
ScFe3O8_1219340_POSCAR,8.3257969742,0.1144,0.0254,1522.4587,15.4396,-2.4432452469889E-02
ScFe3O8_1219340_POSCAR,8.5780938522,0.0817,0.0183,1522.4621,15.4431,-2.2121069990679E-02
ScFe3O8_1219340_POSCAR,8.8303907302,0.0595,0.0134,1522.4637,15.4454,-2.0102837540620E-02
ScFe3O8_1219340_POSCAR,9.0826876082,0.0441,0.0100,1522.4645,15.4470,-1.8272095361816E-02
ScFe3O8_1219340_POSCAR,9.3349844862,0.0332,0.0076,1522.4649,15.4481,-1.6579775407801E-02
ScFe3O8_1219340_POSCAR,9.5872813643,0.0254,0.0059,1522.4652,15.4489,-1.5011668137242E-02
ScFe3O8_1219340_POSCAR,10.3441719983,0.0124,0.0030,1522.4657,15.4502,-1.1068118234579E-02
ScFe3O8_1219340_POSCAR,9.8395782423,0.0198,0.0046,1522.4654,15.4494,-1.3568260361399E-02
ScFe3O8_1219340_POSCAR,10.0918751203,0.0156,0.0037,1522.4656,15.4499,-1.2254026498299E-02
ScFe3O8_1219340_POSCAR,10.5964688763,0.0100,0.0024,1522.4657,15.4504,-1.0004961337026E-02
ScFe3O8_1219340_POSCAR,10.8487657543,0.0082,0.0020,1522.4658,15.4506,-9.0533668776729E-03
ScFe3O8_1219340_POSCAR,11.1010626323,0.0067,0.0016,1522.4658,15.4507,-8.1984048635740E-03
ScFe3O8_1219340_POSCAR,11.6056563883,0.0047,0.0012,1522.4659,15.4509,-6.7244689231455E-03
