source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124,0.0000000000,read,real,scaling,value,N/A
Fe2WO6_22124_POSCAR,4.1623812000,8.4570,3.0771,109.5041,10.3708,-2.3332164750252E-01
Fe2WO6_22124_POSCAR,3.4686510000,15.1841,3.9917,109.5041,10.3708,-3.9885229209985E-01
Fe2WO6_22124_POSCAR,3.6998944000,12.8042,3.4567,109.5041,10.3708,-3.2677997795442E-01
Fe2WO6_22124_POSCAR,3.9311378000,10.4519,3.2155,109.5041,10.3708,-2.7271345429170E-01
