source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436,0.0000000000,read,real,scaling,value,N/A
Zn2FeS3_1215436_POSCAR,3.0634768560,7.8144,6.0414,153.4528,125.8109,-9.1573182278710E-02
Zn2FeS3_1215436_POSCAR,3.4464114630,4.9249,4.4704,153.4528,125.8109,-7.5592499719795E-02
Zn2FeS3_1215436_POSCAR,3.2549441595,5.8893,4.9712,153.4528,125.8109,-8.5611185852631E-02
Zn2FeS3_1215436_POSCAR,2.8720095525,11.1162,8.3172,153.4528,125.8109,-1.0907063999223E-01
Zn2FeS3_1215436_POSCAR,3.6378787665,4.4287,4.1958,153.4528,125.8109,-6.6878112193675E-02
Zn2FeS3_1215436_POSCAR,3.8293460700,4.0991,3.9678,153.4528,125.8109,-5.7626627670494E-02
Zn2FeS3_1215436_POSCAR,4.0208133735,3.7544,3.6656,153.4528,125.8109,-4.8221087290209E-02
Zn2FeS3_1215436_POSCAR,4.2122806770,3.2795,3.2043,153.4528,125.8109,-3.9967962809160E-02
Zn2FeS3_1215436_POSCAR,4.4037479805,2.6487,2.5778,153.4528,125.8118,-3.3433021234617E-02
Zn2FeS3_1215436_POSCAR,4.5952152840,1.9539,1.8910,153.4528,126.0172,-2.8478372346828E-02
Zn2FeS3_1215436_POSCAR,4.7866825875,1.3346,1.2852,153.9459,130.1606,-2.5143608003607E-02
Zn2FeS3_1215436_POSCAR,4.9781498910,0.8692,0.8341,301.9719,131.1618,-3.3005996441731E-02
Zn2FeS3_1215436_POSCAR,5.1696171945,0.5557,0.5321,340.1528,132.2886,-3.2167976578865E-02
Zn2FeS3_1215436_POSCAR,5.3610844980,0.3559,0.3403,340.5047,133.3328,-2.9409519099029E-02
Zn2FeS3_1215436_POSCAR,5.5525518015,0.2312,0.2208,340.5189,133.7049,-2.7050552065328E-02
