source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638,0.0000000000,read,real,scaling,value,N/A
Zr2FeS4_1215638_POSCAR,3.1426119958,13.8013,4.9540,458.6896,125.8109,-9.3914294410046E-02
Zr2FeS4_1215638_POSCAR,2.7728929375,17.8003,10.7964,458.6896,125.8109,-1.4108384579332E-01
Zr2FeS4_1215638_POSCAR,3.3274715249,12.7144,3.9679,458.6896,125.8109,-8.0133889094968E-02
Zr2FeS4_1215638_POSCAR,2.9577524666,15.2296,7.0073,458.6896,125.8109,-1.1352971325995E-01
Zr2FeS4_1215638_POSCAR,3.8820501124,8.5680,3.0289,458.6896,125.8109,-5.1071583301990E-02
Zr2FeS4_1215638_POSCAR,3.5123310541,11.4957,3.4907,458.6896,125.8109,-6.9228267172945E-02
Zr2FeS4_1215638_POSCAR,3.6971905833,10.0589,3.2283,458.6896,125.8109,-5.9617513804824E-02
Zr2FeS4_1215638_POSCAR,4.0669096416,7.1568,2.7976,458.6896,125.8111,-4.7802545055069E-02
Zr2FeS4_1215638_POSCAR,4.4366286999,4.5001,2.0354,458.6896,125.8780,-3.6802534211235E-02
Zr2FeS4_1215638_POSCAR,4.2517691708,5.8141,2.4708,458.6896,125.8130,-4.1627867954508E-02
Zr2FeS4_1215638_POSCAR,4.8063477583,2.2486,1.0938,568.6760,130.8129,-3.2570095182597E-02
Zr2FeS4_1215638_POSCAR,4.6214882291,3.2728,1.5468,459.0773,127.8396,-3.2977970717446E-02
Zr2FeS4_1215638_POSCAR,5.1760668166,0.9701,0.4835,1080.6027,132.5788,-4.4706143372836E-02
Zr2FeS4_1215638_POSCAR,5.3609263457,0.6332,0.3162,1813.3934,133.4279,-4.9899418639618E-02
Zr2FeS4_1215638_POSCAR,5.5457858749,0.4182,0.2086,1822.3817,133.7304,-4.5426739634651E-02
Zr2FeS4_1215638_POSCAR,4.9912072874,1.4884,0.7362,568.9434,131.3741,-3.1728518591577E-02
Zr2FeS4_1215638_POSCAR,6.1003644624,0.1347,0.0664,1822.7139,133.9116,-3.4625230523784E-02
Zr2FeS4_1215638_POSCAR,5.9155049332,0.1926,0.0954,1822.7079,133.8879,-3.7944228875589E-02
Zr2FeS4_1215638_POSCAR,6.2852239916,0.0960,0.0471,1822.7158,133.9247,-3.1373884074642E-02
Zr2FeS4_1215638_POSCAR,5.7306454041,0.2810,0.1397,1822.6778,133.8405,-4.1471790162664E-02
Zr2FeS4_1215638_POSCAR,6.8398025791,0.0388,0.0189,1822.7172,133.9409,-2.2279312035887E-02
Zr2FeS4_1215638_POSCAR,6.4700835207,0.0698,0.0341,1822.7166,133.9326,-2.8180997226329E-02
Zr2FeS4_1215638_POSCAR,6.6549430499,0.0516,0.0252,1822.7169,133.9376,-2.5119160766954E-02
Zr2FeS4_1215638_POSCAR,7.0246621082,0.0296,0.0144,1822.7173,133.9431,-1.9719494178439E-02
Zr2FeS4_1215638_POSCAR,7.3943811666,0.0180,0.0087,1822.7174,133.9459,-1.5475664539239E-02
Zr2FeS4_1215638_POSCAR,7.5792406957,0.0143,0.0069,1822.7175,133.9467,-1.3736594482473E-02
Zr2FeS4_1215638_POSCAR,7.2095216374,0.0229,0.0111,1822.7174,133.9447,-1.7458376160203E-02
Zr2FeS4_1215638_POSCAR,7.7641002249,0.0115,0.0056,1822.7175,133.9473,-1.2200460199889E-02
Zr2FeS4_1215638_POSCAR,7.9489597540,0.0094,0.0045,1822.7175,133.9478,-1.0835555797050E-02
