source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841,0.0000000000,read,real,scaling,value,N/A
HfHgO3_1016841_POSCAR,3.0920542500,21.4201,6.2989,420.9766,10.3708,-8.6124972810087E-02
HfHgO3_1016841_POSCAR,3.7104651000,15.7879,3.9250,420.9766,10.3708,-4.8840588785041E-02
HfHgO3_1016841_POSCAR,3.5043281500,17.9993,4.8738,420.9766,10.3708,-5.7782431869171E-02
HfHgO3_1016841_POSCAR,3.2981912000,19.7965,5.6854,420.9766,10.3708,-6.9775747046067E-02
HfHgO3_1016841_POSCAR,3.9166020500,13.3685,3.1296,420.9766,10.3708,-4.2703559793695E-02
HfHgO3_1016841_POSCAR,4.1227390000,11.0164,2.6121,420.9766,10.3711,-3.8933788014923E-02
HfHgO3_1016841_POSCAR,4.3288759500,9.0400,2.3009,420.9766,10.3743,-3.6750074752799E-02
HfHgO3_1016841_POSCAR,4.5350129000,7.5550,2.0851,420.9766,10.3904,-3.4966505947132E-02
HfHgO3_1016841_POSCAR,4.7411498500,6.3952,1.8781,420.9766,10.4697,-3.2552778491030E-02
HfHgO3_1016841_POSCAR,5.1534237500,4.2200,1.3181,420.9766,12.2962,-2.8220453036912E-02
HfHgO3_1016841_POSCAR,4.9472868000,5.3231,1.6259,420.9766,10.9566,-3.1643537988983E-02
HfHgO3_1016841_POSCAR,5.3595607000,3.1364,0.9913,428.1837,12.8164,-2.4315275425436E-02
HfHgO3_1016841_POSCAR,5.5656976500,2.1984,0.6987,780.3803,13.2369,-2.5450671427607E-02
HfHgO3_1016841_POSCAR,5.7718346000,1.4826,0.4722,780.5694,14.2467,-2.1894874934355E-02
HfHgO3_1016841_POSCAR,5.9779715500,0.9830,0.3130,1031.9557,14.9708,-2.0923650089714E-02
HfHgO3_1016841_POSCAR,6.1841085000,0.6515,0.2072,1434.8934,15.2455,-2.0584720795619E-02
HfHgO3_1016841_POSCAR,6.5963824000,0.2964,0.0939,1441.2124,15.3936,-1.5463504004658E-02
HfHgO3_1016841_POSCAR,6.3902454500,0.4361,0.1384,1441.0073,15.3488,-1.7781453429935E-02
HfHgO3_1016841_POSCAR,6.8025193500,0.2052,0.0649,1441.2328,15.4160,-1.3586332030783E-02
HfHgO3_1016841_POSCAR,7.0086563000,0.1447,0.0457,1441.2368,15.4283,-1.2053085708796E-02
HfHgO3_1016841_POSCAR,7.4209302000,0.0760,0.0239,1441.2385,15.4403,-9.6177962900301E-03
HfHgO3_1016841_POSCAR,7.2147932500,0.1039,0.0327,1441.2380,15.4357,-1.0760778564623E-02
