source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219,0.0000000000,read,real,scaling,value,N/A
HfNiO3_1178219_POSCAR,4.0037647500,27.1997,5.9309,420.9766,10.3708,-3.2350296492183E-01
HfNiO3_1178219_POSCAR,4.5376000500,20.0817,4.4325,420.9766,10.3708,-2.1670472186682E-01
HfNiO3_1178219_POSCAR,4.2706824000,23.3942,5.0854,420.9766,10.3708,-2.6223406095272E-01
HfNiO3_1178219_POSCAR,4.8045177000,16.9438,3.8494,420.9766,10.3708,-1.8234441864174E-01
HfNiO3_1178219_POSCAR,5.3383530000,11.6755,2.8128,420.9766,10.3709,-1.3368610687053E-01
HfNiO3_1178219_POSCAR,5.0714353500,14.1232,3.2955,420.9766,10.3708,-1.5503180487018E-01
