source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473,0.0000000000,read,real,scaling,value,N/A
Hf2NiS4_1224473_POSCAR,5.1470946223,14.1211,6.7507,420.9766,125.8109,-1.1338576434828E-01
Hf2NiS4_1224473_POSCAR,5.4498648942,13.0929,5.3708,420.9766,125.8109,-9.6259516726910E-02
Hf2NiS4_1224473_POSCAR,4.5415540785,18.6850,13.3137,420.9766,125.8109,-1.6622546808477E-01
Hf2NiS4_1224473_POSCAR,4.8443243504,15.6798,9.3214,420.9766,125.8109,-1.3632297190764E-01
Hf2NiS4_1224473_POSCAR,6.0554054380,10.5942,4.2195,420.9766,125.8109,-7.0560708693304E-02
Hf2NiS4_1224473_POSCAR,6.3581757099,8.9956,3.8468,420.9766,125.8109,-6.0278777125601E-02
Hf2NiS4_1224473_POSCAR,5.7526351661,12.0004,4.6546,420.9766,125.8109,-8.2429701990526E-02
Hf2NiS4_1224473_POSCAR,6.6609459818,7.4477,3.4239,420.9766,125.8109,-5.3177640475892E-02
Hf2NiS4_1224473_POSCAR,7.2664865256,4.6513,2.3256,420.9766,125.8176,-4.0163237506532E-02
Hf2NiS4_1224473_POSCAR,6.9637162537,6.0154,2.9117,420.9766,125.8110,-4.5706372378668E-02
Hf2NiS4_1224473_POSCAR,7.5692567975,3.3870,1.7286,421.1212,126.4911,-3.8278027685374E-02
Hf2NiS4_1224473_POSCAR,7.8720270694,2.3298,1.2044,780.3331,130.5286,-5.3272024102995E-02
Hf2NiS4_1224473_POSCAR,8.1747973413,1.5428,0.8033,780.4593,131.2169,-5.0345934738235E-02
Hf2NiS4_1224473_POSCAR,9.0831081570,0.4335,0.2265,1441.0163,133.6925,-5.3002982664533E-02
Hf2NiS4_1224473_POSCAR,8.7803378851,0.6563,0.3431,1434.4026,133.3212,-5.7554870956031E-02
Hf2NiS4_1224473_POSCAR,8.4775676132,1.0056,0.5253,979.9954,132.3290,-5.2068283899206E-02
Hf2NiS4_1224473_POSCAR,9.3858784289,0.2914,0.1520,1441.2144,133.8244,-4.8426140786301E-02
Hf2NiS4_1224473_POSCAR,9.9914189727,0.1397,0.0727,1441.2370,133.9069,-3.9980152160967E-02
Hf2NiS4_1224473_POSCAR,10.2941892446,0.0997,0.0518,1441.2381,133.9217,-3.6020067759645E-02
Hf2NiS4_1224473_POSCAR,9.6886487008,0.1998,0.1041,1441.2333,133.8798,-4.4093664805488E-02
Hf2NiS4_1224473_POSCAR,10.5969595165,0.0724,0.0376,1441.2385,133.9306,-3.2198911782174E-02
Hf2NiS4_1224473_POSCAR,11.2025000603,0.0403,0.0209,1441.2389,133.9398,-2.5237806078159E-02
Hf2NiS4_1224473_POSCAR,11.5052703322,0.0308,0.0160,1441.2389,133.9423,-2.2229958415241E-02
Hf2NiS4_1224473_POSCAR,10.8997297884,0.0536,0.0278,1441.2388,133.9361,-2.8578838651696E-02
Hf2NiS4_1224473_POSCAR,11.8080406041,0.0238,0.0124,1441.2390,133.9441,-1.9565107891898E-02
Hf2NiS4_1224473_POSCAR,12.7163514198,0.0120,0.0063,1441.2391,133.9470,-1.3359263951093E-02
Hf2NiS4_1224473_POSCAR,12.4135811479,0.0149,0.0078,1441.2390,133.9463,-1.5169087462064E-02
Hf2NiS4_1224473_POSCAR,12.1108108760,0.0187,0.0097,1441.2390,133.9454,-1.7224085727061E-02
Hf2NiS4_1224473_POSCAR,13.0191216917,0.0097,0.0051,1441.2391,133.9476,-1.1760063621713E-02
Hf2NiS4_1224473_POSCAR,13.3218919636,0.0080,0.0042,1441.2391,133.9480,-1.0346839695911E-02
Hf2NiS4_1224473_POSCAR,13.6246622355,0.0066,0.0035,1441.2391,133.9483,-9.0967786064746E-03
Hf2NiS4_1224473_POSCAR,13.9274325074,0.0055,0.0029,1441.2391,133.9486,-7.9941257870290E-03
Hf2NiS4_1224473_POSCAR,14.2302027793,0.0046,0.0025,1441.2391,133.9488,-7.0247121685927E-03
Hf2NiS4_1224473_POSCAR,14.5329730512,0.0039,0.0021,1441.2391,133.9489,-6.1757971842701E-03
Hf2NiS4_1224473_POSCAR,14.8357433231,0.0033,0.0018,1441.2391,133.9491,-5.4333101603479E-03
