source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_531956_POSCAR,4.6006048670,24.3584,5.4920,420.9766,10.3708,-8.6417557467313E-01
Hf3Sc4O12_531956_POSCAR,5.5207258403,16.5328,4.1409,420.9766,10.3708,-4.9594894714685E-01
Hf3Sc4O12_531956_POSCAR,5.2140188492,18.6199,4.3271,420.9766,10.3708,-5.9320265996866E-01
Hf3Sc4O12_531956_POSCAR,4.9073118581,20.9237,4.6856,420.9766,10.3708,-7.1315918230703E-01
Hf3Sc4O12_531956_POSCAR,5.8274328315,14.2514,3.9960,420.9766,10.3708,-4.1472059259491E-01
Hf3Sc4O12_531956_POSCAR,6.1341398226,11.9099,3.8136,420.9766,10.3708,-3.4816587938949E-01
Hf3Sc4O12_531956_POSCAR,6.4408468137,9.7978,3.5437,420.9766,10.3708,-2.9656870234711E-01
Hf3Sc4O12_531956_POSCAR,6.7475538049,8.0726,3.1691,420.9766,10.3708,-2.5847392600886E-01
Hf3Sc4O12_531956_POSCAR,7.0542607960,6.6661,2.6953,420.9766,10.3710,-2.3069416655280E-01
Hf3Sc4O12_531956_POSCAR,7.6676747783,4.1696,1.5891,420.9766,11.0971,-1.9475524585593E-01
Hf3Sc4O12_531956_POSCAR,7.9743817694,3.0334,1.1020,454.6619,12.7230,-2.1896551791663E-01
Hf3Sc4O12_531956_POSCAR,7.3609677871,5.3979,2.1473,420.9766,10.3828,-2.0956682636006E-01
Hf3Sc4O12_531956_POSCAR,8.5877957517,1.4004,0.4772,781.0328,14.2197,-3.2941632861680E-01
Hf3Sc4O12_531956_POSCAR,8.2810887605,2.0947,0.7321,780.3859,13.1488,-2.1258536473478E-01
Hf3Sc4O12_531956_POSCAR,9.2012097339,0.6129,0.2047,1437.7195,15.2503,-3.7478836999244E-01
Hf3Sc4O12_531956_POSCAR,8.8945027428,0.9251,0.3109,1177.8095,14.9780,-4.1049675421724E-01
Hf3Sc4O12_531956_POSCAR,9.8146237162,0.2803,0.0936,1441.2183,15.3939,-2.9742049437304E-01
Hf3Sc4O12_531956_POSCAR,9.5079167250,0.4110,0.1370,1441.0816,15.3504,-3.3302880522544E-01
Hf3Sc4O12_531956_POSCAR,10.4280376984,0.1379,0.0463,1441.2370,15.4279,-2.3977345999288E-01
Hf3Sc4O12_531956_POSCAR,10.1213307073,0.1948,0.0652,1441.2338,15.4158,-2.6689289642277E-01
Hf3Sc4O12_531956_POSCAR,10.7347446896,0.0994,0.0335,1441.2381,15.4353,-2.1479120143849E-01
Hf3Sc4O12_531956_POSCAR,11.0414516807,0.0731,0.0247,1441.2385,15.4399,-1.9139639113355E-01
Hf3Sc4O12_531956_POSCAR,11.6548656630,0.0415,0.0141,1441.2389,15.4451,-1.4967601303908E-01
Hf3Sc4O12_531956_POSCAR,11.3481586718,0.0546,0.0185,1441.2387,15.4430,-1.6960070764415E-01
Hf3Sc4O12_531956_POSCAR,11.9615726541,0.0319,0.0109,1441.2389,15.4466,-1.3187018271030E-01
Hf3Sc4O12_531956_POSCAR,12.2682796452,0.0249,0.0085,1441.2390,15.4477,-1.1624648763524E-01
Hf3Sc4O12_531956_POSCAR,12.5749866364,0.0197,0.0068,1441.2390,15.4485,-1.0266418650942E-01
Hf3Sc4O12_531956_POSCAR,12.8816936275,0.0158,0.0054,1441.2390,15.4491,-9.0883437610918E-02
Hf3Sc4O12_531956_POSCAR,13.1884006186,0.0128,0.0044,1441.2391,15.4495,-8.0614684992640E-02
Hf3Sc4O12_531956_POSCAR,13.4951076097,0.0104,0.0036,1441.2391,15.4499,-7.1584654339325E-02
Hf3Sc4O12_531956_POSCAR,13.8018146009,0.0086,0.0030,1441.2391,15.4501,-6.3590554705577E-02
Hf3Sc4O12_531956_POSCAR,14.1085215920,0.0072,0.0025,1441.2391,15.4504,-5.6471869288977E-02
Hf3Sc4O12_531956_POSCAR,14.4152285831,0.0060,0.0021,1441.2391,15.4505,-5.0122244576957E-02
Hf3Sc4O12_531956_POSCAR,14.7219355743,0.0051,0.0018,1441.2391,15.4507,-4.4464074217760E-02
Hf3Sc4O12_531956_POSCAR,15.0286425654,0.0044,0.0015,1441.2391,15.4508,-3.9428194810055E-02
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490,0.0000000000,read,real,scaling,value,N/A
Hf3Sc4O12_685490_POSCAR,4.6271311458,24.2815,5.4575,420.9766,10.3708,-1.4356764484126E+00
Hf3Sc4O12_685490_POSCAR,4.9356065555,20.8662,4.6679,420.9766,10.3708,-1.1845972420786E+00
Hf3Sc4O12_685490_POSCAR,5.2440819653,18.5774,4.3171,420.9766,10.3708,-9.8587938926313E-01
Hf3Sc4O12_685490_POSCAR,5.5525573750,16.4972,4.1315,420.9766,10.3708,-8.2445601924529E-01
Hf3Sc4O12_685490_POSCAR,5.8610327847,14.2260,3.9813,420.9766,10.3708,-6.8888923213848E-01
Hf3Sc4O12_685490_POSCAR,6.1695081944,11.8949,3.7897,420.9766,10.3708,-5.7773231017471E-01
Hf3Sc4O12_685490_POSCAR,6.7864590139,8.0482,3.1415,420.9766,10.3708,-4.2917477064520E-01
Hf3Sc4O12_685490_POSCAR,6.4779836041,9.7823,3.5129,420.9766,10.3708,-4.9202026729227E-01
Hf3Sc4O12_685490_POSCAR,7.4034098333,5.3577,2.1482,420.9766,10.3827,-3.4875257430017E-01
Hf3Sc4O12_685490_POSCAR,7.0949344236,6.6313,2.6805,420.9766,10.3710,-3.8352380776471E-01
Hf3Sc4O12_685490_POSCAR,7.7118852430,4.1346,1.6015,420.9766,11.0476,-3.2488653753042E-01
Hf3Sc4O12_685490_POSCAR,8.0203606527,3.0111,1.1185,467.0539,12.7054,-3.7262085502174E-01
Hf3Sc4O12_685490_POSCAR,8.3288360625,2.0843,0.7472,780.3861,13.1141,-3.5503400576771E-01
Hf3Sc4O12_685490_POSCAR,8.9457868819,0.9246,0.3188,1179.2443,14.9507,-6.8822200196865E-01
Hf3Sc4O12_685490_POSCAR,9.2542622916,0.6132,0.2100,1437.7057,15.2403,-6.2481784586577E-01
Hf3Sc4O12_685490_POSCAR,8.6373114722,1.3970,0.4887,781.0682,14.1585,-5.5254875359932E-01
Hf3Sc4O12_685490_POSCAR,10.1796885208,0.1949,0.0667,1441.2337,15.4147,-4.4448736502751E-01
Hf3Sc4O12_685490_POSCAR,9.5627377014,0.4114,0.1406,1441.0807,15.3462,-5.5519258449169E-01
Hf3Sc4O12_685490_POSCAR,9.8712131111,0.2806,0.0959,1441.2182,15.3919,-4.9568236557820E-01
Hf3Sc4O12_685490_POSCAR,10.4881639305,0.1380,0.0473,1441.2370,15.4273,-3.9893567029788E-01
Hf3Sc4O12_685490_POSCAR,10.7966393402,0.0995,0.0342,1441.2381,15.4349,-3.5703167669622E-01
Hf3Sc4O12_685490_POSCAR,11.1051147500,0.0731,0.0252,1441.2385,15.4397,-3.1791137766006E-01
Hf3Sc4O12_685490_POSCAR,11.4135901597,0.0546,0.0189,1441.2387,15.4428,-2.8158496513839E-01
