source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452,0.0000000000,read,real,scaling,value,N/A
Hf9W4O3_1212452_POSCAR,6.9350715440,18.6233,6.6120,420.9766,10.3708,-9.0711411846862E-01
Hf9W4O3_1212452_POSCAR,6.5016295725,22.4021,7.3337,420.9766,10.3708,-1.0779318354022E+00
Hf9W4O3_1212452_POSCAR,7.3685135155,16.3962,6.2858,420.9766,10.3708,-7.6999887838103E-01
Hf9W4O3_1212452_POSCAR,7.8019554870,15.1027,6.0989,420.9766,10.3708,-6.5353723184997E-01
