source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767,0.0000000000,read,real,scaling,value,N/A
Hf9W4S_1193767_POSCAR,6.9604368960,18.0003,10.4505,420.9766,125.8109,-8.7946406626327E-01
Hf9W4S_1193767_POSCAR,7.8304915080,14.6133,8.9926,420.9766,125.8109,-6.3613037959915E-01
Hf9W4S_1193767_POSCAR,7.3954642020,15.8573,9.5835,420.9766,125.8109,-7.4638376243740E-01
Hf9W4S_1193767_POSCAR,6.5254095900,21.9545,12.2447,420.9766,125.8109,-1.0472514452065E+00
Hf9W4S_1193767_POSCAR,8.7005461200,12.2386,7.5159,420.9766,125.8109,-4.4295300091848E-01
Hf9W4S_1193767_POSCAR,8.2655188140,13.5561,8.3431,420.9766,125.8109,-5.3631042311303E-01
Hf9W4S_1193767_POSCAR,9.5706007320,8.3246,5.4427,420.9766,125.8109,-2.9636993761893E-01
Hf9W4S_1193767_POSCAR,9.1355734260,10.4700,6.5397,420.9766,125.8109,-3.6128163350912E-01
Hf9W4S_1193767_POSCAR,10.0056280380,6.1046,4.2427,420.9766,125.8109,-2.4890946433964E-01
Hf9W4S_1193767_POSCAR,10.4406553440,4.1654,3.0581,420.9766,125.8109,-2.3744292378744E-01
Hf9W4S_1193767_POSCAR,10.8756826500,2.7038,2.0602,762.3505,125.8661,-3.2460998101067E-01
Hf9W4S_1193767_POSCAR,11.3107099560,1.7137,1.3319,780.3924,129.8625,-3.1244741845508E-01
Hf9W4S_1193767_POSCAR,11.7457372620,1.0838,0.8487,855.9103,131.1385,-3.5322175637228E-01
Hf9W4S_1193767_POSCAR,12.1807645680,0.6934,0.5432,1429.2422,132.2238,-5.1574209078373E-01
Hf9W4S_1193767_POSCAR,12.6157918740,0.4522,0.3528,1440.9421,133.2794,-5.2007269749974E-01
Hf9W4S_1193767_POSCAR,13.0508191800,0.3014,0.2338,1441.2102,133.6757,-5.0347390593600E-01
Hf9W4S_1193767_POSCAR,13.4858464860,0.2056,0.1583,1441.2327,133.8157,-4.7450914385682E-01
Hf9W4S_1193767_POSCAR,13.9208737920,0.1433,0.1096,1441.2368,133.8743,-4.3561987747711E-01
Hf9W4S_1193767_POSCAR,14.3559010980,0.1021,0.0775,1441.2380,133.9032,-3.9139854340957E-01
Hf9W4S_1193767_POSCAR,14.7909284040,0.0742,0.0559,1441.2385,133.9190,-3.4642728515455E-01
Hf9W4S_1193767_POSCAR,15.2259557100,0.0548,0.0411,1441.2387,133.9285,-3.0396886370495E-01
Hf9W4S_1193767_POSCAR,15.6609830160,0.0413,0.0307,1441.2389,133.9345,-2.6566747033005E-01
Hf9W4S_1193767_POSCAR,16.0960103220,0.0315,0.0234,1441.2389,133.9385,-2.3190116652044E-01
Hf9W4S_1193767_POSCAR,16.5310376280,0.0245,0.0180,1441.2390,133.9413,-2.0239976698548E-01
Hf9W4S_1193767_POSCAR,16.9660649340,0.0192,0.0141,1441.2390,133.9433,-1.7660325953930E-01
Hf9W4S_1193767_POSCAR,17.4010922400,0.0153,0.0112,1441.2390,133.9447,-1.5398915218566E-01
Hf9W4S_1193767_POSCAR,17.8361195460,0.0124,0.0090,1441.2391,133.9457,-1.3413439704413E-01
Hf9W4S_1193767_POSCAR,18.2711468520,0.0100,0.0073,1441.2391,133.9465,-1.1671484357316E-01
Hf9W4S_1193767_POSCAR,18.7061741580,0.0082,0.0059,1441.2391,133.9472,-1.0147279302687E-01
Hf9W4S_1193767_POSCAR,19.1412014640,0.0068,0.0049,1441.2391,133.9477,-8.8193162969713E-02
Hf9W4S_1193767_POSCAR,19.5762287700,0.0057,0.0041,1441.2391,133.9480,-7.6663844744633E-02
Hf9W4S_1193767_POSCAR,20.0112560760,0.0048,0.0034,1441.2391,133.9483,-6.6696381027269E-02
Hf9W4S_1193767_POSCAR,20.4462833820,0.0041,0.0029,1441.2391,133.9486,-5.8089321993727E-02
Hf9W4S_1193767_POSCAR,20.8813106880,0.0035,0.0025,1441.2391,133.9488,-5.0673864474650E-02
Hf9W4S_1193767_POSCAR,21.3163379940,0.0030,0.0021,1441.2391,133.9489,-4.4284743432771E-02
