source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248,0.0000000000,read,real,scaling,value,N/A
HfZrO4_1178248_POSCAR,8.6951608500,20.5649,4.3792,420.9766,10.3708,-1.1024170476574E+00
HfZrO4_1178248_POSCAR,7.6722007500,24.6780,5.7172,420.9766,10.3708,-1.6035251191954E+00
HfZrO4_1178248_POSCAR,9.2066409000,19.1384,4.1862,420.9766,10.3708,-9.2031411191186E-01
HfZrO4_1178248_POSCAR,8.1836808000,22.0736,4.7822,420.9766,10.3708,-1.3241280020002E+00
HfZrO4_1178248_POSCAR,9.7181209500,17.1639,4.0638,420.9766,10.3708,-7.6219596878294E-01
HfZrO4_1178248_POSCAR,10.2296010000,14.5795,3.9315,420.9766,10.3708,-6.3198020485141E-01
HfZrO4_1178248_POSCAR,10.7410810500,11.8603,3.7167,420.9766,10.3708,-5.3479724991114E-01
