source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851,0.0000000000,read,real,scaling,value,N/A
HgRuO3_1016851_POSCAR,3.5498979000,16.5148,4.6217,298.8616,10.3708,-5.8550586231848E-02
HgRuO3_1016851_POSCAR,3.3526813500,21.4268,5.4284,298.8616,10.3708,-6.5551085617709E-02
HgRuO3_1016851_POSCAR,3.1554648000,24.7209,5.9882,298.8616,10.3708,-7.8815622251779E-02
HgRuO3_1016851_POSCAR,2.9582482500,26.7923,6.4481,298.8616,10.3708,-9.9929524362419E-02
