source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842,0.0000000000,read,real,scaling,value,N/A
TiHgO3_1016842_POSCAR,3.1370496000,18.2433,6.0630,321.5890,10.3708,-7.4772759937041E-02
TiHgO3_1016842_POSCAR,3.5291808000,14.2828,4.7312,321.5890,10.3708,-5.0890933283639E-02
TiHgO3_1016842_POSCAR,2.9409840000,20.1158,6.5620,321.5890,10.3708,-9.4082352820003E-02
TiHgO3_1016842_POSCAR,3.3331152000,16.2427,5.5127,321.5890,10.3708,-6.0758434305399E-02
TiHgO3_1016842_POSCAR,3.7252464000,12.2780,3.8355,321.5890,10.3708,-4.4365545783467E-02
TiHgO3_1016842_POSCAR,3.9213120000,10.2507,3.0803,321.5890,10.3708,-4.0134034134755E-02
TiHgO3_1016842_POSCAR,4.3134432000,7.0648,2.1782,321.5890,10.3802,-3.5156125669925E-02
TiHgO3_1016842_POSCAR,4.1173776000,8.4778,2.5539,321.5890,10.3713,-3.7318290432864E-02
TiHgO3_1016842_POSCAR,4.5095088000,5.8530,1.8457,321.5890,10.4973,-3.2909801887264E-02
TiHgO3_1016842_POSCAR,4.7055744000,4.6682,1.4949,321.5890,11.5271,-3.2074038909343E-02
TiHgO3_1016842_POSCAR,4.9016400000,3.4979,1.1301,321.5885,12.6921,-2.9993199769221E-02
TiHgO3_1016842_POSCAR,5.0977056000,2.4589,0.7983,302.0309,13.0167,-2.5447667902901E-02
TiHgO3_1016842_POSCAR,5.4898368000,1.0839,0.3532,352.9231,14.8207,-2.0088761911814E-02
TiHgO3_1016842_POSCAR,5.2937712000,1.6509,0.5373,302.0118,13.9013,-2.2139713141905E-02
TiHgO3_1016842_POSCAR,5.6859024000,0.7093,0.2313,1292.4759,15.1969,-2.6672711650620E-02
TiHgO3_1016842_POSCAR,5.8819680000,0.4685,0.1529,1359.7464,15.3309,-2.3396384158628E-02
TiHgO3_1016842_POSCAR,6.0780336000,0.3144,0.1026,1361.6907,15.3859,-2.0153447105059E-02
TiHgO3_1016842_POSCAR,6.4701648000,0.1499,0.0490,1361.8980,15.4263,-1.5169920913962E-02
TiHgO3_1016842_POSCAR,6.2740992000,0.2149,0.0702,1361.8654,15.4122,-1.7425213314710E-02
TiHgO3_1016842_POSCAR,6.6662304000,0.1066,0.0349,1361.9076,15.4345,-1.3319550664837E-02
TiHgO3_1016842_POSCAR,7.0583616000,0.0571,0.0187,1361.9132,15.4429,-1.0488478976551E-02
