source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664,0.0000000000,read,real,scaling,value,N/A
V2Hg2O7_1179664_POSCAR,2.9387041500,12.3278,2.3058,269.3349,10.3742,-3.3621526149184E-01
V2Hg2O7_1179664_POSCAR,2.5929742500,16.1611,3.1904,269.3349,10.3708,-4.7605595673498E-01
V2Hg2O7_1179664_POSCAR,2.7658392000,14.1912,2.7856,269.3349,10.3709,-3.9447948447412E-01
V2Hg2O7_1179664_POSCAR,3.1115691000,10.6073,1.8211,269.3349,10.5231,-2.9096260033008E-01
V2Hg2O7_1179664_POSCAR,3.4572990000,7.7730,1.2493,269.3349,12.4899,-2.1759987864928E-01
V2Hg2O7_1179664_POSCAR,3.8030289000,5.3053,1.0505,269.3349,12.7702,-1.6448575827722E-01
V2Hg2O7_1179664_POSCAR,3.2844340500,9.0818,1.4631,269.3349,11.6819,-2.5176218959094E-01
V2Hg2O7_1179664_POSCAR,3.6301639500,6.5590,1.1283,269.3349,12.6943,-1.8859172962699E-01
V2Hg2O7_1179664_POSCAR,3.9758938500,4.0355,0.9808,269.3349,12.8243,-1.4971236645598E-01
V2Hg2O7_1179664_POSCAR,4.4944887000,1.2872,0.6307,293.4213,13.4694,-1.1555323409945E-01
V2Hg2O7_1179664_POSCAR,4.3216237500,1.9600,0.7769,289.5714,13.0539,-1.2537092179480E-01
V2Hg2O7_1179664_POSCAR,4.1487588000,2.8846,0.8945,269.7848,12.8962,-1.3509308601735E-01
V2Hg2O7_1179664_POSCAR,4.6673536500,0.8318,0.4764,975.3609,14.2239,-1.2930477567883E-01
V2Hg2O7_1179664_POSCAR,5.1859485000,0.2333,0.1558,1116.0809,15.3270,-1.2132840602260E-01
V2Hg2O7_1179664_POSCAR,4.8402186000,0.5374,0.3389,1114.2571,14.8772,-1.3157689071402E-01
V2Hg2O7_1179664_POSCAR,5.0130835500,0.3510,0.2318,1115.9921,15.1958,-1.3744102780864E-01
V2Hg2O7_1179664_POSCAR,5.3588134500,0.1582,0.1045,1116.0928,15.3842,-1.0708301302793E-01
V2Hg2O7_1179664_POSCAR,5.5316784000,0.1096,0.0707,1116.0958,15.4118,-9.5047048652393E-02
V2Hg2O7_1179664_POSCAR,5.7045433500,0.0775,0.0485,1116.0968,15.4266,-8.4864281600632E-02
V2Hg2O7_1179664_POSCAR,5.8774083000,0.0559,0.0338,1116.0972,15.4351,-7.6088580584545E-02
V2Hg2O7_1179664_POSCAR,6.0502732500,0.0411,0.0240,1116.0975,15.4403,-6.8351369008005E-02
V2Hg2O7_1179664_POSCAR,6.3960031500,0.0234,0.0127,1116.0977,15.4458,-5.5133918895422E-02
V2Hg2O7_1179664_POSCAR,6.2231382000,0.0307,0.0173,1116.0976,15.4436,-6.1413963769864E-02
V2Hg2O7_1179664_POSCAR,6.5688681000,0.0180,0.0095,1116.0978,15.4473,-4.9433733504258E-02
V2Hg2O7_1179664_POSCAR,6.7417330500,0.0141,0.0072,1116.0978,15.4483,-4.4274001190538E-02
V2Hg2O7_1179664_POSCAR,7.0874629500,0.0090,0.0043,1116.0978,15.4496,-3.5482609849802E-02
V2Hg2O7_1179664_POSCAR,6.9145980000,0.0112,0.0055,1116.0978,15.4490,-3.9629707814939E-02
V2Hg2O7_1179664_POSCAR,7.2603279000,0.0073,0.0034,1116.0978,15.4500,-3.1805468414075E-02
V2Hg2O7_1179664_POSCAR,7.4331928500,0.0060,0.0027,1116.0979,15.4503,-2.8550530000765E-02
V2Hg2O7_1179664_POSCAR,7.6060578000,0.0049,0.0022,1116.0979,15.4505,-2.5665751384405E-02
V2Hg2O7_1179664_POSCAR,7.7789227500,0.0041,0.0018,1116.0979,15.4507,-2.3098656971033E-02
V2Hg2O7_1179664_POSCAR,7.9517877000,0.0035,0.0015,1116.0979,15.4508,-2.0800066144829E-02
V2Hg2O7_1179664_POSCAR,8.1246526500,0.0029,0.0012,1116.0979,15.4509,-1.8733158035390E-02
V2Hg2O7_1179664_POSCAR,8.2975176000,0.0025,0.0010,1116.0979,15.4510,-1.6868703397082E-02
